DOI,Title,Journal,pH,Subspecies,Species,CarbonSource,TargetMolecule,TiterUnits,FinalTiter,InitialTiter,Temperature,Medium,CultureSystem,Oxygen,FinalYield,GeneMutation,GeneName,Overexpress,Knocked out,others gene,DOI_replaced,SMILES,InChIKey
10.1016/j.ymben.2011.01.004,Engineering a non-native hydrogen production pathway into Escherichia coli via a cyanobacterial [NiFe]-hydrogenase,Metabolic Engineering,,BL21(DE3),Escherichia coli,Glucose,,umol H2/L,20.0,0.0,37.0,Rich,bottle,Anaerobic,,"[del, del, del, del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[hyfG, hybC, hyaB, pflB, hoxH, hoxU, hoxF, hoxE, hoxY]","['hoxh', 'hoxu', 'hoxf', 'hoxe', 'hoxy']","['hyfg', 'hybc', 'hyab', 'pflb']",[],10.1016.j.ymben.2011.01.004,[HH],UFHFLCQGNIYNRP-UHFFFAOYSA-N
10.1016/j.ymben.2012.07.007,Engineering and adaptive evolution of Escherichia coli for D-lactate fermentation reveals GatC as a xylose transporter,Metabolic Engineering,7.0,MG1655,Escherichia coli,Xylose,D-lactate,g/L h,0.79,0.53,37.0,AM1,bioreactor,Aerobic,0.95,"[del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, del, aa_snps, del]","[ccmH, alkB, pflB, adhE, napF, napG, frdA, napH, insH, narP, napA, dsbE, napB, napC, napD, xylF, xylH, xylG, mqo, rcsD, rcsC, rcsB, ccmF, ada, apbE, ompC, yojO, apbE, eco, ccmE, ccmD, ccmC, ccmB, gatC, ccmA]",[],"['ccmH', 'alkB', 'pflB', 'adhE', 'napF', 'napG', 'frdA', 'napH', 'insH', 'narP', 'napA', 'dsbE', 'napB', 'napC', 'napD', 'xylF', 'xylH', 'xylG', 'mqo', 'rcsD', 'rcsC', 'rcsB', 'ccmF', 'ada', 'apbE', 'ompC', 'yojO', 'apbE', 'eco', 'ccmE', 'ccmD', 'ccmC', 'ccmB', 'ccmA']",['gatC'],10.1016.j.ymben.2012.07.007,CC(C(=O)O)O,JVTAAEKCZFNVCJ-UWTATZPHSA-N
10.1128/AEM.05046-11,Engineering E. coli for biodiesel production utilizing a bacterial fatty acid methyltransferase,Applied and Environmental Microbiology,,BL21(DE3),Escherichia coli,Glucose,biodiesel,mg/L,16.0,0.0,37.0,M9,nbflask,Aerobic,,"[codonoptimized,oe,plasmid, del, oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid]","[TesB, metJ, PhaG, methionine adenosyltransferase, fatty acid O-methyltransferase]","['TesB', 'PhaG', 'methionine adenosyltransferase', 'fatty acid O-methyltransferase']",['metJ'],[],10.1128.AEM.05046-11,,
10.1016/j.ymben.2011.05.003,Engineering Escherichia coli for efficient production of 5-aminolevulinic acid from glucose,Metabolic Engineering,6.0,DH5alpha,Escherichia coli,Glucose,5-aminolevulinic acid,mg/L,,0.0,37.0,M9,,Aerobic,0.168,"[oe,plasmid, oe,plasmid, indel,oe,plasmid]","[hemL, rhtA, hemA]","['heml', 'rhta']",['hema'],[],10.1016.j.ymben.2011.05.003,C(CC(=O)O)C(=O)CN,ZGXJTSGNIOSYLO-UHFFFAOYSA-N
10.1002/bit.24828,Engineering Escherichia coli for Renewable Production of the 5-Carbon Polyamide Building-Blocks 5-Aminovalerate and Glutarate,Biotechnology and Bioengineering,,BW25113(DE3),Escherichia coli,Glucose,L-lysine,g/L,2.25,0.25,30.0,M10,flask,Aerobic,138.0,"[del, del, aa_snps,oe,plasmid, oe,plasmid]","[cadA, ldcC, lysC, dapA]","['lysc', 'dapa']","['cada', 'ldcc']",[],10.1002.bit.24828,C(CCN)CC(C(=O)O)N,KDXKERNSBIXSRK-YFKPBYRVSA-N
10.1016/j.ymben.2014.07.010,Engineering Escherichia coli for enhanced production of poly(3-hydroxybutyrate-co-4-hydroxybutyrate)in larger cellular space,Metabolic Engineering,7.0,JM109,Escherichia coli,Glucose,PHA,% CDW,,0.68,37.0,M9,flask,Aerobic,,"[oe,plasmid, del, del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[sulA, sad, gabD, 4-hydroxybutyrate CoA-transferase, phaC, phaA, sucD, phaB, 4-hydroxybutyrate dehydrogenase]","['sula', 'phac', 'sucd']","['sad', 'gabd']",[],10.1016.j.ymben.2014.07.010,,
10.1016/j.ymben.2008.08.005,Engineering Escherichia coli for the efficient conversion of glycerol to ethanol and co-products,Metabolic Engineering,7.0,MG1655,Escherichia coli,Glycerol,ethanol,g/L-h,3.52,1.01,37.0,M9,nbflask,Aerobic,1.02,"[oe,plasmid, oe,plasmid, del, oe,plasmid, del, del, oe,plasmid]","[dhaL, dhaK, frdA, dhaM, pta, fdhF, gldA]","['dhaL', 'dhaK', 'dhaM', 'gldA']","['frdA', 'pta', 'fdhF']",[],10.1016.j.ymben.2008.08.005,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1002/bit.21082,Engineering Escherichia coli for Xylitol Production From Glucose-Xylose Mixtures,Wiley InterScience,,W3110,Escherichia coli,Glucose,xylitol,mM,250.0,0.0,30.0,Minimal,bioreactor,Microaerobic,,"[integrated, del, oe,plasmid,rbs_tuned]","[crp, xylB, D-xylose reductase]",['D-xylose reductase'],['xylB'],['crp'],10.1002.bit.21082,C(C(C(C(CO)O)O)O)O,HEBKCHPVOIAQTA-NGQZWQHPSA-N
10.1186/1475-2859-13-74,Engineering Escherichia coli K12 MG1655 to use starch,Microbial Cell Factories,7.2,MG1655,Escherichia coli,Starch,biomass,OD600,1.6,0.2,37.0,M9,bioreactor,Aerobic,,"[oe,plasmid]",[amyA],['amyA'],[],[],10.1186.1475-2859-13-74,,
10.1186/1475-2859-11-132,Engineering Escherichia coli to increase plasmid DNA production in high cell-density cultivations in batch mode,Microbial Cell Factories,7.2,W3110,Escherichia coli,Glucose,pDNA,mg/L,186.0,70.0,37.0,Minimal,bioreactor,Aerobic,,"[del, del, del, del, del, del, del]","[lacI, nupG, ptsI, ptsH, lacZ, recA, deoR]",[],"['laci', 'nupg', 'ptsi', 'ptsh', 'lacz', 'reca', 'deor']",[],10.1186.1475-2859-11-132,,
10.1016/j.ymben.2013.01.006,Engineering improved ethanol production in Escherichia coli with a genome-wide approach,Metabolic Engineering,,BW25113,Escherichia coli,Glucose,ethanol,,,,37.0,AMX,flask,Aerobic,,"[del, del, integrated,oe, integrated,oe, oe,plasmid, del, del, del, oe,plasmid, del, del, oe,plasmid]","[frdB, adhE, adhB, pdc, otsA, frdC, ldhA, frdA, otsB, frdD, ackA, uspC]","['adhb', 'pdc', 'otsa', 'otsb', 'uspc']","['adhe', 'ldha', 'frda', 'acka']",[],10.1016.j.ymben.2013.01.006,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1186/1475-2859-12-103,Engineering NAD+ availability for Escherichia coli whole-cell biocatalysis: a case study for dihydroxyacetone production,Microbial Cell Factories,,DH5alpha,Escherichia coli,Glycerol,dihydroxyacetone,g/g DCW,0.8,0.0,37.0,Minimal,nbflask,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid]","[gldA, ntt4, NAD+ oxidase]","['gldA', 'ntt4', 'NAD+ oxidase']",[],[],10.1186.1475-2859-12-103,C(C(=O)CO)O,RXKJFZQQPQGTFL-UHFFFAOYSA-N
10.1128/AEM.00468-08,Engineering of an Escherichia coli Strain for the Production of 3-Methyl-1-Butanol,Applied and Environmental Microbiology,,BW25113,Escherichia coli,Glucose,3-methyl-1-butanol,g/L,1.2,0.2,37.0,M9,bflask,Aerobic,,"[del, del, del, del, del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, del, oe,plasmid,rbs_tuned, oe,plasmid, oe,plasmid, del, oe,plasmid, del, del]","[fnr, pta, frdB, frdC, ldhA, ADH2, kivD, acetolactate synthase, ilvC, ilvD, ilvE, leuA, leuB, leuC, tyrB, leuD, pflB, adhE]","['ADH2', 'kivD', 'acetolactate synthase', 'ilvC', 'ilvD', 'leuA', 'leuB', 'leuC', 'leuD']","['fnr', 'pta', 'frdB', 'frdC', 'ldhA', 'ilvE', 'tyrB', 'pflB', 'adhE']",[],10.1128.AEM.00468-08,CC(C)CCO,PHTQWCKDNZKARW-UHFFFAOYSA-N
10.1016/j.ymben.2012.09.002,Engineering of an N-acetylneuraminic acid synthetic pathway in Escherichia coli,Metabolic Engineering,7.0,DH5alpha,Escherichia coli,Glucose,N-acetylneuraminic acid,g/L,7.85,0.0,37.0,TB,,Aerobic,,"[aa_snps,oe,plasmid, del, oe,plasmid, oe,plasmid, del, del, del, del, del, del, del, oe,plasmid]","[glmS, nanK, UDP-N-acetylglucosamine 2-epimerase, glucosamine-6-phosphate acetyltransferase, ldhA, poxB, nagA, nanE, nagB, ackA, nagC, nanA]","['glms', 'nana']","['nank', 'ldha', 'poxb', 'naga', 'nane', 'nagb', 'acka']",[],10.1016.j.ymben.2012.09.002,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O,SQVRNKJHWKZAKO-LUWBGTNYSA-N
10.1128/AEM.06785-11,Engineering of Bacterial Methyl Ketone Synthesis for Biofuels,Applied and Environmental Microbiology,,DH1,Escherichia coli,Glucose,methyl ketones,mg/L,40.0,0.057,37.0,TSB,testtube,Aerobic,,"[del, oe,plasmid,truncated, del, oe,plasmid, oe,plasmid, oe,plasmid]","[fadE, tesA, fadA, fadB, fadM, Acyl-CoA oxidase]","['tesA', 'fadB', 'fadM', 'Acyl-CoA oxidase']","['fadE', 'fadA']",[],10.1128.AEM.06785-11,,
10.1016/j.ymben.2012.08.002,Engineering of L-tyrosine oxidation in Escherichia coli and microbial production of hydroxytyrosol,Metabolic Engineering,,DH10B,Escherichia coli,Glucose,hydroxytyrosol,mM,0.19,0.0,30.0,M9,flask,Aerobic,,"[del, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid, codonoptimized,oe,plasmid]","[feaB, pterin-4alpha-carbinolamine dehydratase, tyrosine hydroxylase, tyramine oxidase, dihydropteridine reductase, L-DOPA decarboxylase]",[],['feab'],[],10.1016.j.ymben.2012.08.002,C1=CC(=C(C=C1CCO)O)O,JUUBCHWRXWPFFH-UHFFFAOYSA-N
10.1002/bit.23259,Engineering the Pentose Phosphate Pathway to Improve Hydrogen Yield in Recombinant Escherichia coli,Biotechnology and Bioengineering,,BL21(DE3),Escherichia coli,Glucose,,uM,,5.24,25.0,M63,tube,Anaerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[zwf, glpX, ferredoxin NADP reductase, hydG, hydE, hydrogenase, fdxA, hydA]","['zwf', 'glpx', 'hydg', 'hyde', 'fdxa', 'hyda']",[],[],10.1002.bit.23259,[HH],UFHFLCQGNIYNRP-UHFFFAOYSA-N
10.1016/j.ymben.2012.08.009,Enhancing fatty acid production by the expression of the regulatory transcription factor FadR,Metabolic Engineering,,DH10B,Escherichia coli,Glucose,Fatty Acids,mg/L,,750.0,37.0,M9,,Aerobic,,"[del, oe,plasmid, oe,plasmid,truncated]","[fadE, fadR, tesA]","['fadr', 'tesa']",['fade'],[],10.1016.j.ymben.2012.08.009,,
10.1186/1475-2859-11-148,Enhancing solubility of deoxyxylulose phosphate pathway enzymes for microbial isoprenoid production,Microbial Cell Factories,,BL21(DE3),Escherichia coli,Amino Acids,mevalonate_phosphate,,,,37.0,2xPY,testtube,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[ispH, ispG, ispA, dxs]","['ispH', 'ispG', 'ispA', 'dxs']",[],[],10.1186.1475-2859-11-148,,
10.1016/j.ymben.2009.04.002,Ensemble modeling for strain development of L-lysine-producing Escherichia coli,Metabolic Engineering,,Simulated,Escherichia coli,,L-lysine,,,,,,chemostat,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[dapB, dapA, dapD, dapE, lysC]","['dapB', 'dapA', 'dapD', 'dapE', 'lysC']",[],[],10.1016.j.ymben.2009.04.002,C(CCN)CC(C(=O)O)N,KDXKERNSBIXSRK-YFKPBYRVSA-N
10.1016/j.ymben.2014.02.009,Extending shikimate pathway for the production of muconic acid and its precursor salicylic acid in Escherichia coli,Metabolic Engineering,,ATCC31884,Escherichia coli,"Glucose,Glycerol",,g/L,1.5,0.0,37.0,M9,,Aerobic,,"[oe,plasmid, oe,plasmid, codonoptimized,oe,plasmid, del, oe,plasmid, del, aa_snps,oe,plasmid, oe,plasmid, oe,plasmid, del, oe,plasmid]","[aroL, catechol 1,2-dioxygenase, salicylate 1-monoxygase, trpD, tktA, tyrA, aroG, entC, ppsA, pheA, isochorismate pyruvate lyase]","['arol', 'tkta', 'arog', 'entc', 'ppsa']","['trpd', 'tyra', 'phea']",[],10.1016.j.ymben.2014.02.009,C(=CC(=O)O)C=CC(=O)O,TXXHDPDFNKHHGW-ZPUQHVIOSA-N
10.1016/j.ymben.2009.07.002,Genes restoring redox balance in fermentation-deficient E. coli NZN111,Metabolic Engineering,,NZN111,Escherichia coli,Glucose,succinate,,,,37.0,M9,tube,Two-Stage,,"[del, del, oe,plasmid]","[ldhA, pflB, grxB]",['grxb'],"['ldha', 'pflb']",[],10.1016.j.ymben.2009.07.002,C(CC(=O)[O-])C(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L
10.1016/j.ymben.2013.03.004,Genome-wide analysis of redox reactions reveals metabolic engineering targets for D-lactate overproduction in Escherichia coli,Metabolic Engineering,,BW25113,Escherichia coli,Glucose,D-lactate,,,,37.0,Minimal,bottle,Anaerobic,37.6,"[del, del]","[serA, guaB]",[],"['serA', 'guaB']",[],10.1016.j.ymben.2013.03.004,CC(C(=O)O)O,JVTAAEKCZFNVCJ-UWTATZPHSA-N
10.1186/1475-2859-12-57,Homofermentative production of optically pure L-lactic acid from xylose by genetically engineered Escherichia coli B,Microbial Cell Factories,7.0,B,Escherichia coli,Xylose,L-lactate,g/L,62.0,0.0,37.0,LB,bioreactor,Anaerobic,97.0,"[del, del, del, oe, del, del, integrated,oe, del, integrated,oe, del, integrated,oe, del]","[frdB, adhE, pdhR, ldhL, mgsA, frdC, aceF, ldhA, aceE, ackA, lpd, pflB]","['ldhL', 'aceF', 'aceE', 'lpd']","['frdB', 'adhE', 'pdhR', 'mgsA', 'frdC', 'ldhA', 'ackA', 'pflB']",[],10.1186.1475-2859-12-57,CC(C(=O)[O-])O,JVTAAEKCZFNVCJ-REOHCLBHSA-M
10.1002/bit.22984,Improved Product-Per-Glucose Yields in P450-Dependent Propane Biotransformations Using Engineered Escherichia coli,Biotechnology and Bioengineering,,W3110,Escherichia coli,Glucose,propanol,,,,37.0,M9,,Anaerobic,,"[del, del, del, aa_snps,oe,plasmid]","[ldhA, ndh, adhE, P450_BM3]",[],"['ndh', 'adhe']",[],10.1002.bit.22984,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N
10.1186/s12934-014-0096-1,"Improvement of L-phenylalanine production from glycerol by recombinant Escherichia coli strains: The role of extra copies of glpK, glpX, and tktA genes",Microbial Cell Factories,7.0,BW25113,Escherichia coli,Glucose,L-phenylalanine,g/L-h,0.37,0.2,37.0,Minimal,bioreactor,Aerobic,0.26,"[oe,plasmid, aa_snps,amplified,integrated,oe, amplified,integrated,oe, oe,plasmid, oe,plasmid, amplified,integrated,oe, aa_snps,oe,plasmid]","[aroL, glpK, tktA, aroF, aroB, glpX, pheA]","['arol', 'glpk', 'tkta', 'arof', 'arob', 'glpx', 'phea']",[],[],10.1186.s12934-014-0096-1,C1=CC=C(C=C1)CC(C(=O)O)N,COLNVLDHVKWLRT-QMMMGPOBSA-N
10.1002/bit.25198,In Vitro Reconstitution of Mevalonate Pathway and Targeted Engineering of Farnesene Overproduction in Escherichia coli,Biotechnology and Bioengineering,,BL21(DE3),Escherichia coli,Glycerol,a-farnesene,g/L,1.1,0.0,30.0,2xTY,flask,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid,truncated, oe,plasmid, codonoptimized,oe,plasmid]","[idi, atoB, ispA, ERG13, ERG12, ERG8, 3-hydroxy-3-methylglutaryl-coenzyme A reductase, MVD1, alpha farnesene synthase]","['idi', 'atob', 'ispa', 'erg13', 'erg12', 'erg8', 'mvd1']",[],[],10.1002.bit.25198,CC(=CCCC(=CCC=C(C)C=C)C)C,CXENHBSYCFFKJS-VDQVFBMKSA-N
10.1186/1475-2859-13-64,"Increased 3-hydroxypropionic acid production from glycerol, by modification of central metabolism in Escherichia coli",Microbial Cell Factories,,BW25113,Escherichia coli,Amino Acids,,,,,37.0,M9,flask,Aerobic,,"[del, del, del]","[yqhD, zwf, tpiA]",[],"['yqhd', 'zwf', 'tpia']",[],10.1186.1475-2859-13-64,C1=CC(=C(N=C1)C=NNC(=S)N)O,ISFBDLBZPVCEKD-ONNFQVAWSA-N
10.1002/bit.24920,Inverse Metabolic Engineering to Improve Escherichia coli as an N-Glycosylation Host,Biotechnology and Bioengineering,,CLM24,Escherichia coli,"Amino Acids, N15 labeling",Protein-Glycosylation,mg/L,9.4,1.4,37.0,OD2,nbflask,Aerobic,,"[oe,plasmid]",[ptsA],['ptsA'],[],[],10.1002.bit.24920,,
10.1016/j.ymben.2011.09.006,Manipulating respiratory levels in Escherichia coli for aerobic formation of reduced chemical products,Metabolic Engineering,,MC4100,Escherichia coli,Glycerol,ethanol,mM,,0.0,37.0,LB,flask,Aerobic,,"[del, del, del, del, oe,plasmid, oe,plasmid]","[ubiA, ldhA, ubiC, None, adhB, pdc]",['pdc'],"['ldha', 'ubic']",[],10.1016.j.ymben.2011.09.006,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1186/s12934-014-0135-y,MEP pathway-mediated isopentenol production in metabolically engineered Escherichia coli,Microbial Cell Factories,7.0,W3110,Escherichia coli,Glucose,isoprenol,mg/L,,0.0,37.0,M9,,Aerobic,,"[oe,plasmid, del, oe,plasmid, del, codonoptimized,oe,plasmid]","[ispG, pgi, dxs, None, nudF]","['ispg', 'dxs', 'nudf']",['pgi'],[],10.1186.s12934-014-0135-y,CC(=C)CCO,CPJRRXSHAYUTGL-UHFFFAOYSA-N
10.1186/1475-2859-12-56,Metabolic engineering for high yielding L(-)-carnitine production in Escherichia coli,Microbial Cell Factories,,BW25113,Escherichia coli,Amino Acids,,mM,50.0,30.0,37.0,LB,flask,Aerobic,100.0,"[integrated,oe, del]","[caiA, aceK]",['caia'],['acek'],[],10.1186.1475-2859-12-56,C[N+](C)(C)CC(CC(=O)[O-])O,PHIQHXFUZVPYII-ZCFIWIBFSA-N
10.1128/AEM.03994-12,Metabolic Engineering for L-Glutamine Overproduction by Using DNA Gyrase Mutations in Escherichia coli,Applied and Environmental Microbiology,7.0,K-12,Escherichia coli,Glucose,L-glutamine,mM,500.0,200.0,30.0,Minimal,bioreactor,Aerobic,,"[del, del, aa_snps,integrated, integrated,oe, del, del, del, del, del, del, del, del, del]","[glnQ, gltB, gyrA, yeiG, glsB, putA, None, glnP, None, None, gltD, glsA, glnH]",['yeiG'],"['glnQ', 'gltB', 'glsB', 'putA', 'None', 'glnP', 'None', 'None', 'gltD', 'glsA', 'glnH']",['gyrA'],10.1128.AEM.03994-12,C(CC(=O)N)C(C(=O)O)N,ZDXPYRJPNDTMRX-VKHMYHEASA-N
10.1002/bit.25444,Metabolic Engineering of 3-Hydroxypropionic Acid Biosynthesis in Escherichia Coli,Biotechnology and Bioengineering,7.0,W3110,Escherichia coli,"Glycerol,Glucose",3-HP,g/L,71.9,0.0,35.0,M9,bioreactor,Aerobic,,"[del, del, oe,plasmid, del, oe,plasmid, oe,plasmid, aa_snps,oe,plasmid]","[yqhD, ackA, dhaB, pta, glycerol dehydratase, glycerol dehydratase, gabD4]","['dhaB', 'glycerol dehydratase', 'glycerol dehydratase', 'gabD4']","['yqhD', 'ackA', 'pta']",[],10.1002.bit.25444,C1=CC(=C(N=C1)C=NNC(=S)N)O,ISFBDLBZPVCEKD-ONNFQVAWSA-N
0099-2240/99/$04.0010,"Metabolic Engineering of a 1,2-Propanediol Pathway in Escherichia coli",Applied and Environmental Microbiology,,AG1,Escherichia coli,Glucose,1_2-Propanediol,g/L,0.7,0.01,37.0,LB,nbflask,Anaerobic,,"[oe,plasmid, oe,plasmid]","[mgsA, gldA]","['mgsA', 'gldA']",[],[],0099-2240.99.$04.0010,,
10.1128/AEM.00670-09,Metabolic Engineering of Escherichia coli for Efficient Conversion of Glycerol to Ethanol,Applied and Environmental Microbiology,7.0,MG1655,Escherichia coli,Glycerol,ethanol,g/L,40.0,0.0,37.0,Minimal,bioreactor,Aerobic,0.9,"[del, del, del, del, del, del, del, del, del]","[ldhA, maeA, poxB, frdA, zwf, mdh, maeB, ndh, pta]",[],"['ldhA', 'maeA', 'poxB', 'frdA', 'zwf', 'mdh', 'maeB', 'ndh', 'pta']",[],10.1128.AEM.00670-09,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
10.1128/AEM.02667-08,Metabolic Engineering of Escherichia coli for Enhanced Production of (R)- and (S)-3-Hydroxybutyrate,Applied and Environmental Microbiology,,MG1655(DE3),Escherichia coli,Glucose,R-3HB,g/L,2.92,0.0,30.0,LB,nbflask,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid]","[tesB, thiolase, S-3HB-CoA dehydrogenase]","['tesB', 'thiolase', 'S-3HB-CoA dehydrogenase']",[],[],10.1128.AEM.02667-08,,
10.1016/j.ymben.2014.01.003,Metabolic engineering of Escherichia coli for production of fatty acid short-chain esters through combination of the fatty acid and 2-ketoacid pathways,Metabolic Engineering,7.0,BL21(DE3),Escherichia coli,Glycerol,Fatty acids,g/L,,0.0,30.0,MVK,bioreactor,Aerobic,,"[oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[fadD, ADH2, ARO10, acyl-coenzyme A-diacylglycerol acyltransferase]","['fadd', 'adh2', 'aro10']",[],[],10.1016.j.ymben.2014.01.003,,
10.1016/j.ymben.2013.06.001,Metabolic engineering of Escherichia coli for production of salvianic acid A via an artificial biosynthetic pathway,Metabolic Engineering,,BW25113,Escherichia coli,Glucose,salvianic acid,g/L,7.1,0.0,37.0,MOPS,flask,Aerobic,0.47,"[del, oe,plasmid, oe,plasmid, oe,plasmid, del, del, aa_snps,oe,plasmid, aa_snps,oe,plasmid, del, aa_snps,oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, del]","[None, hpaB, hpaC, tktA, pykF, pheA, ldhD, tyrA, None, aroG, aroE, glk, T7 Polymerase, ppsA, None]","['hpab', 'tkta', 'tyra', 'arog', 'aroe', 'glk', 'ppsa']","['pykf', 'phea']",[],10.1016.j.ymben.2013.06.001,,
10.1016/j.ymben.2012.11.011,Metabolic engineering of Escherichia coli for the production of 5-aminovalerate and glutarate as C5 platform chemicals,Metabolic Engineering,6.9,W3110,Escherichia coli,Glucose,glutaric acid,g/L,1.7,0.0,30.0,MR,,Aerobic,,"[del, del, del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[lacI, dapB, lysA, gabT, davA, davB, gabD]","['gabt', 'dava', 'davb', 'gabd']","['laci', 'dapb', 'lysa']",[],10.1016.j.ymben.2012.11.011,C(CC(=O)O)CC(=O)O,JFCQEDHGNNZCLN-UHFFFAOYSA-N
10.1002/bit.24868,Metabolic Engineering of Escherichia coli for the Production of Fumaric Acid,Biotechnology and Bioengineering,7.0,W3110,Escherichia coli,Glucose,,g/L,28.2,0.0,37.0,MR,,Aerobic,0.389,"[del, del, integrated,oe, del, del, del, del, oe,plasmid, del, del]","[lacI, fumC, galP, ptsG, aspA, fumA, arcA, ppc, iclR, fumB]","['galp', 'ppc']","['laci', 'fumc', 'ptsg', 'aspa', 'fuma', 'arca', 'iclr', 'fumb']",[],10.1002.bit.24868,,
10.1186/s12934-014-0104-5,Metabolic engineering of Escherichia coli for the production of riboflavin,Microbial Cell Factories,,MG1655,Escherichia coli,Glucose,riboflavin,mg/L,2702.0,229.1,37.0,M9,flask,Aerobic,137.5,"[oe,plasmid, del, oe,plasmid,rbs_tuned, oe,plasmid, oe,plasmid, oe,plasmid, del, oe,plasmid, del, integrated,oe]","[ribE, pgi, ribF, ribC, ribD, ribA, edd, ribB, eda, acs]","['ribe', 'ribf', 'ribc', 'ribd', 'riba', 'ribb', 'acs']","['pgi', 'edd', 'eda']",[],10.1186.s12934-014-0104-5,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,AUNGANRZJHBGPY-SCRDCRAPSA-N
10.1016/j.ymben.2013.12.004,Metabolic engineering of fatty acyl-ACP reductase-dependent pathway to improve fatty alcohol production in Escherichia coli,Metabolic Engineering,7.0,BL21(DE3),Escherichia coli,Glycerol,Fatty Acids,g/L,0.75,0.0,30.0,M9,bioreactor,Aerobic,0.02,"[del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[fadE, accC, accD, accA, accB, fatty acyl-ACP reductase]","['accc', 'accd', 'acca', 'accb']",['fade'],[],10.1016.j.ymben.2013.12.004,,
10.1006/mben.2001.0220,Metabolic Engineering through Cofactor Manipulation and Its Effects on Metabolic Flux Redistribution in Escherichia coli,Metabolic Engineering,,DHB10,Escherichia coli,"Glucose,Gluconate,Sorbitol",succinate,,,,37.0,LB,nbflask,Aerobic,,"[oe,plasmid]",[pncB],['pncB'],[],[],10.1006.mben.2001.0220,C(CC(=O)[O-])C(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L
10.1016/j.ymben.2014.05.003,Metabolic evolution of two reducing equivalent-conserving pathways for high-yield succinate production in Escherichia coli,Metabolic Engineering,7.0,ATCC8739,Escherichia coli,Glucose,succinate,mM,813.0,280.0,37.0,AM1,bioreactor,Aerobic,1.36,"[del, nuc_snps, integrated,oe, del, nuc_snps, del, aa_snps, nuc_snps, del, aa_snps, integrated,oe, aa_snps, integrated,oe, aa_snps, integrated,oe, del, aa_snps,less_nadh_inhibition, aa_snps, aa_snps, nuc_snps, del]","[mgsA, pagP, pck, pta, exuR, ldhA, rpoB, rpmE, ackA, cusS, aceA, agaR, aceB, rppH, galP, ptsI, lpd, mreC, acnA, yjjM, pflB]","['pck', 'aceA', 'aceB', 'galP']","['mgsA', 'pta', 'ldhA', 'ackA', 'ptsI', 'pflB']","['pagP', 'exuR', 'rpoB', 'rpmE', 'cusS', 'agaR', 'rppH', 'lpd', 'mreC', 'acnA', 'yjjM']",10.1016.j.ymben.2014.05.003,C(CC(=O)[O-])C(=O)[O-],KDYFGRWQOYBRFD-UHFFFAOYSA-L
10.1016/j.ymben.2009.02.002,"Microbial conversion of glucose to a novel chemical building block, 2-pyrone-4,6-dicarboxylic acid",Metabolic Engineering,,BL21(DE3),Escherichia coli,Glucose,,mg/L,,0.0,37.0,7.0 g/l K2HPO4; 3.0 g/l KH2PO4; 1.0 g/l (NH4)2SO4; 0.1 g/l MgSO4-7H2O,flask,Aerobic,,"[oe,plasmid, aa_snps,oe,plasmid, oe,plasmid, del, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid, oe,plasmid]","[ubiC, aroF, aroB, pheA, qutC, 4-carboxy-2-hydroxymuconate-6-semialdehyde, protocatechuate 4,5-dioxygenase, protocatechuate 4,5-dioxygenase, 4-hydroxybenzoate hydroxylase]","['ubic', 'arof', 'arob', 'qutc']",['phea'],[],10.1016.j.ymben.2009.02.002,,
