paper number,Title,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,Check,feedback,Check type
11.0,Dynamic control of ERG20 expression combined with minimized endogenous downstream metabolism contributes to the improvement of geraniol production in Saccharomyces cerevisiae,10.1186.s12934-017-0641-9,YZG21,Saccharomyces cerevisiae,geraniol (geraniol),1.69 g/L,SD-URA-HIS,Ethanol,400 g/L,"Fed-batch, pure ethanol",5.0,,30 °C,YZG20,ATF1;LEU2;OYE2,ERG20;IDI1;UPC2.1;tVoGES,tHMG1 (Not specified),,,yes
,,,,,,,,,,,,,,,,,,,,
12.0,Investigation of Geraniol Biotransformation by Commercial Saccharomyces Yeast Strains by Two Headspace Techniques: Solid-Phase Microextraction Gas Chromatography/Mass Spectrometry (SPME-GC/MS) and Proton Transfer Reaction-Time of Flight-Mass Spectrometry (PTR-ToF-MS),10.3390.fermentation9030294,S. cerevisiae,Saccharomyces cerevisiae,citronellol (Citronellol),0.7–0.9 μg/L,unhopped wort,glucose (from malt),260 g spray-dried malt extract in 2 L water,batch fermentation,5.2,unspecified,20 °C,,,,,,,
12.0,Investigation of Geraniol Biotransformation by Commercial Saccharomyces Yeast Strains by Two Headspace Techniques: Solid-Phase Microextraction Gas Chromatography/Mass Spectrometry (SPME-GC/MS) and Proton Transfer Reaction-Time of Flight-Mass Spectrometry (PTR-ToF-MS),10.3390.fermentation9030294,S. pastorianus,Saccharomyces cerevisiae,citronellol (Citronellol),0.4 μg/L,unhopped wort,glucose (from malt),260 g spray-dried malt extract in 2 L water,batch fermentation,5.2,unspecified,20 °C,,,,,,,
,,,,,,,,,,,,,,,,,,,,
13.0,Understanding the Contribution of Co-Fermenting Non-Saccharomyces and Saccharomyces Yeasts to Aroma Precursor Degradation and Formation of Sensory Profiles in Wine Using a Model System,10.3390.fermentation9110931,SY1,Saccharomyces,monoterpene alcohols (monoterpene alcohols),41 µg L⁻¹,grape juice,"glucose, fructose","79 g L⁻¹, 88 g L⁻¹",pure culture,3.3,during fermentation,20 °C,,,,,,,
13.0,Understanding the Contribution of Co-Fermenting Non-Saccharomyces and Saccharomyces Yeasts to Aroma Precursor Degradation and Formation of Sensory Profiles in Wine Using a Model System,10.3390.fermentation9110931,Metschnikowia MP1,Saccharomyces,monoterpene alcohols (monoterpene alcohols),34 µg L⁻¹,grape juice,"glucose, fructose","79 g L⁻¹, 88 g L⁻¹",co-fermentation,3.3,during fermentation,20 °C,,,,,,,
13.0,Understanding the Contribution of Co-Fermenting Non-Saccharomyces and Saccharomyces Yeasts to Aroma Precursor Degradation and Formation of Sensory Profiles in Wine Using a Model System,10.3390.fermentation9110931,Pichia kluyveri strain PK1,Saccharomyces,monoterpene alcohols (monoterpene alcohols),100 µg L⁻¹,grape juice,"glucose, fructose","79 g L⁻¹, 88 g L⁻¹",co-fermentation,3.3,during fermentation,20 °C,,,,,,,
,,,,,,,,,,,,,,,,,,,,
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L2,Saccharomyces cerevisiae,D-limonene (D-limonene),53.14 µg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21L1,,IDI1;LimS;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L5,Saccharomyces cerevisiae,D-limonene (D-limonene),46.96 mg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21L4,,ERG10;ERG12;ERG13;ERG19;ERG8;IDI1;LimS;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L7,Saccharomyces cerevisiae,D-limonene (D-limonene),459.59 mg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21L6,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L4,Saccharomyces cerevisiae,D-limonene (D-limonene),36.77 mg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21L3,,ERG10;ERG12;ERG13;ERG19;ERG8;IDI1;LimS;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L1,Saccharomyces cerevisiae,D-limonene (D-limonene),36.76 µg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,,,LimS;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21M2,Saccharomyces cerevisiae,D-limonene (D-limonene),35.83 μg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21M1,,CPR;CPR1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L6,Saccharomyces cerevisiae,D-limonene (D-limonene),213.08 mg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21L5,,ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;LimS;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21M1,Saccharomyces cerevisiae,D-limonene (D-limonene),13.69 mg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,S. cerevisiae,,CPR;CPR1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L8,Saccharomyces cerevisiae,(−)-menthol ((-)-menthol),1.93 mg/L,Fermentation medium II,Sucrose,75 g/L,Shake flask,,96 h,30 °C,CENPK21L7,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L12,Saccharomyces cerevisiae,(−)-menthol ((-)-menthol),6.28 mg/L,Fermentation medium II,Sucrose,75 g/L,Shake flask,,96 h,30 °C,CENPK21L11,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L9,Saccharomyces cerevisiae,(−)-menthol ((-)-menthol),2.62 mg/L,Fermentation medium II,Sucrose,75 g/L,Shake flask,,96 h,30 °C,CENPK21L8,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,L9-5,Saccharomyces cerevisiae,(−)-menthol ((-)-menthol),3.14 mg/L,Fermentation medium II,Sucrose,75 g/L,Shake flask,,96 h,30 °C,CENPK21L9,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L8,Saccharomyces cerevisiae,(−)-menthol ((-)-menthol),0.64 mg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21L7,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L3,Saccharomyces cerevisiae,D-limonene (D-limonene),12.18 mg/L,Fermentation medium I,Glucose + Peptone,,Shake flask,,96 h,30 °C,CENPK21L2,,ERG10;ERG12;ERG13;IDI1;LimS;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,L9-3,Saccharomyces cerevisiae,(−)-menthol ((-)-menthol),2.67 mg/L,Fermentation medium II,Sucrose,75 g/L,Shake flask,,96 h,30 °C,CENPK21L9,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
14.0,Engineered Saccharomyces cerevisiae for the De Novo Biosynthesis of (-)-Menthol,10.3390.jof8090982,CENPK21L11,Saccharomyces cerevisiae,(−)-menthol ((-)-menthol),3.56 mg/L,Fermentation medium II,Sucrose,75 g/L,Shake flask,,96 h,30 °C,CENPK21L9,,CPR;CPR1;ERG10;ERG12;ERG13;ERG19;ERG20;ERG20ww;ERG8;IDI1;IPDH;IPR;KSI;L3H;LimS;MMR;PGR;tHMG1;tLimS,,,,yes
,,,,,,,,,,,,,,,,,,,,
15.0,Isolation and Investigation of Potential Non-Saccharomyces Yeasts to Improve the Volatile Terpene Compounds in Korean Muscat Bailey A Wine,10.3390.microorganisms8101552,Metschnikowia pulcherrima S36,Saccharomyces cerevisiae,geraniol (geraniol),46.9%,Wine must,Grapes (Muscat Bailey A),,Fermentation vessel,3.0-4.0,7 days,20 °C,,,,,,,
15.0,Isolation and Investigation of Potential Non-Saccharomyces Yeasts to Improve the Volatile Terpene Compounds in Korean Muscat Bailey A Wine,10.3390.microorganisms8101552,W. anomalus JK04,Saccharomyces cerevisiae,linalool (linalool),13.8–46.9%,Wine must,Grapes (Muscat Bailey A),,Fermentation vessel,3.0-4.0,7 days,20 °C,,,,,,,
,,,,,,,,,,,,,,,,,,,,
16.0,The feasibility of growing cells of Saccharomyces cerevisiae for citronellol production in a continuous-closed-gas-loop bioreactor (CCGLB),10.1016.j.biortech.2011.07.053,S. cerevisiae,Saccharomyces cerevisiae,citronellol (citronellol),0.77g/L,Geraniol + Glucose,Glucose,10g/L,Continuous fed-batch (CCGLB),4,36h,30°C,,,,,,,
,,,,,,,,,,,,,,,,,,,,
17.0,Overproduction of isoprenoids by Saccharomyces cerevisiae in a synthetic grape juice medium in the absence of plant genes,10.1016.j.ijfoodmicro.2018.05.025,BY4743 pADCL,Saccharomyces cerevisiae,linalool (linalool),12 μg/L,CDGJM,"Glucose, Fructose",200 g/L,Erlenmeyer flask,3.5,72 h,20 °C,BY4743,,COQ1,,,,
17.0,Overproduction of isoprenoids by Saccharomyces cerevisiae in a synthetic grape juice medium in the absence of plant genes,10.1016.j.ijfoodmicro.2018.05.025,BY4743,Saccharomyces cerevisiae,linalool (linalool),3.6 μg/L,CDGJM,"Glucose, Fructose",200 g/L,Erlenmeyer flask,3.5,72 h,20 °C,,,,,,,
17.0,Overproduction of isoprenoids by Saccharomyces cerevisiae in a synthetic grape juice medium in the absence of plant genes,10.1016.j.ijfoodmicro.2018.05.025,BY4743,Saccharomyces cerevisiae,linalool (linalool),78 μg/L,YNB,Glucose,20 g/L,Not specified,4.5,72 h,30 °C,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18.0,Improving monoterpene geraniol production through geranyl diphosphate synthesis regulation in Saccharomyces cerevisiae,10.1007.s00253-016-7375-1,YZG13,Saccharomyces cerevisiae,geraniol (geraniol),39.3 mg/L,SD-Ura-His,glucose,20 g/L,Shake flask,5.0,48 h,30 °C,YZG12,ERG20,ERG20;HMG1;IDI1;UPC2-1;VoGES;tHMG1;tVoGES,AgGPPS2 (Abies grandis);CrGPPS (Catharanthus roseus);ERG20 (Saccharomyces cerevisiae);ERG20 G (Saccharomyces cerevisiae);ERG20 WW (Saccharomyces cerevisiae);LdGES (Lippia dulcis);ObGES (Ocimum basilicum);PaGPPS2 (Picea abies);UPC2-1 (Saccharomyces cerevisiae);VoGES (V. officinalis),,,yes
18.0,Improving monoterpene geraniol production through geranyl diphosphate synthesis regulation in Saccharomyces cerevisiae,10.1007.s00253-016-7375-1,YZG13-GE1,Saccharomyces cerevisiae,geraniol (geraniol),197 mg/L,Batch culture,glucose,Not specified,"1-L fermenter, fed-batch",5.0,48 h,30 °C,CEN.PK102-5B;YZG12,ERG20,ERG20;Erg20p;Erg20p(F96W-N127W);HMG1;IDI1;UPC2-1;VoGES;tHMG1;tVoGES,AgGPPS2 (Abies grandis);CrGPPS (Catharanthus roseus);ERG20 (Saccharomyces cerevisiae);ERG20 G (Saccharomyces cerevisiae);ERG20 WW (Saccharomyces cerevisiae);GPPS (Abies grandis);GPPS2 (Abies grandis);HMG1 (Saccharomyces cerevisiae);LdGES (Lippia dulcis);ObGES (Ocimum basilicum);PaGPPS2 (Picea abies);UPC2-1 (Saccharomyces cerevisiae);VoGES (V. officinalis);tHMG1 (S. cerevisiae),,,yes
18.0,Improving monoterpene geraniol production through geranyl diphosphate synthesis regulation in Saccharomyces cerevisiae,10.1007.s00253-016-7375-1,YZG13-GE1,Saccharomyces cerevisiae,geraniol (geraniol),293 mg/L,Fed-batch,glucose,Not specified,1-L fermenter,6.0,60 h,30 °C,CEN.PK102-5B;YZG12,ERG20,ERG20;Erg20p;Erg20p(F96W-N127W);HMG1;IDI1;UPC2-1;VoGES;tHMG1;tVoGES,AgGPPS2 (Abies grandis);CrGPPS (Catharanthus roseus);ERG20 (Saccharomyces cerevisiae);ERG20 G (Saccharomyces cerevisiae);ERG20 WW (Saccharomyces cerevisiae);GPPS (Abies grandis);GPPS2 (Abies grandis);HMG1 (Saccharomyces cerevisiae);LdGES (Lippia dulcis);ObGES (Ocimum basilicum);PaGPPS2 (Picea abies);UPC2-1 (Saccharomyces cerevisiae);VoGES (V. officinalis);tHMG1 (S. cerevisiae),,,yes
18.0,Improving monoterpene geraniol production through geranyl diphosphate synthesis regulation in Saccharomyces cerevisiae,10.1007.s00253-016-7375-1,YZG03,Saccharomyces cerevisiae,geraniol (geraniol),0.56 mg/L,SD-Ura-His,glucose,20 g/L,Shake flask,5.0,48 h,30 °C,YZG00,,VoGES;tVoGES,AgGPPS2 (Abies grandis);CrGPPS (Catharanthus roseus);ERG20 (Saccharomyces cerevisiae);ERG20 G (Saccharomyces cerevisiae);ERG20 WW (Saccharomyces cerevisiae);LdGES (Lippia dulcis);ObGES (Ocimum basilicum);PaGPPS2 (Picea abies);UPC2-1 (Saccharomyces cerevisiae);VoGES (V. officinalis);tLdGES (Lippia dulcis);tVoGES (V. officinalis),,,yes
18.0,Improving monoterpene geraniol production through geranyl diphosphate synthesis regulation in Saccharomyces cerevisiae,10.1007.s00253-016-7375-1,YZG03,Saccharomyces cerevisiae,geraniol (geraniol),2.7 mg/L,SD-Ura-His,glucose,20 g/L,Shake flask,5.0,48 h,30 °C,YZG00,,VoGES;tVoGES,AgGPPS2 (Abies grandis);CrGPPS (Catharanthus roseus);ERG20 (Saccharomyces cerevisiae);ERG20 G (Saccharomyces cerevisiae);ERG20 WW (Saccharomyces cerevisiae);LdGES (Lippia dulcis);ObGES (Ocimum basilicum);PaGPPS2 (Picea abies);UPC2-1 (Saccharomyces cerevisiae);VoGES (V. officinalis);tLdGES (Lippia dulcis);tVoGES (V. officinalis),,,yes
,,,,,,,,,,,,,,,,,,,,
19.0,Engineering Saccharomyces cerevisiae for synthesis of β-myrcene and (E)-β-ocimene,10.1007.s13205-023-03818-2,MT1,Saccharomyces cerevisiae,β-myrcene (β-myrcene),1.89 mg/L,YPD,Glucose,20 g/L,Shake Flask,~5.5,96 h,30 °C,SQ14,,ERG20,AmMS (Antirrhinum majus);Erg20* (Saccharomyces cerevisiae),,,yes
19.0,Engineering Saccharomyces cerevisiae for synthesis of β-myrcene and (E)-β-ocimene,10.1007.s13205-023-03818-2,MT1,Saccharomyces cerevisiae,β-myrcene (β-myrcene),0.26 mg/L,YPD,Glucose,20 g/L,Shake Flask,~5.5,96 h,30 °C,SQ14,,ERG20,AmMS (Antirrhinum majus);Erg20* (Saccharomyces cerevisiae),,,yes
19.0,Engineering Saccharomyces cerevisiae for synthesis of β-myrcene and (E)-β-ocimene,10.1007.s13205-023-03818-2,MT1,Saccharomyces cerevisiae,β-myrcene (β-myrcene),3.51 mg/L,YPD,Glucose,20 g/L,"Shake Flask, Fed-Batch",~5.5,96 h + 15% dodecane @ 12 h,30 °C,SQ14,,ERG20,AmMS (Antirrhinum majus);Erg20* (Saccharomyces cerevisiae),,,yes
19.0,Engineering Saccharomyces cerevisiae for synthesis of β-myrcene and (E)-β-ocimene,10.1007.s13205-023-03818-2,MT2,Saccharomyces cerevisiae,β-myrcene (β-myrcene),0.044 mg/L,YPD,Glucose,20 g/L,Shake Flask,~5.5,96 h,30 °C,SQ14,,ERG20,AmMS (Antirrhinum majus);Erg20* (Saccharomyces cerevisiae),,,yes
19.0,Engineering Saccharomyces cerevisiae for synthesis of β-myrcene and (E)-β-ocimene,10.1007.s13205-023-03818-2,SQ14,Saccharomyces cerevisiae,β-myrcene (β-myrcene),0.034 mg/L,YPD,Glucose,20 g/L,Shake Flask,~5.5,96 h,30 °C,,,ERG20,,,,yes
,,,,,,,,,,,,,,,,,,,,
20.0,The influence of brewing yeast strains on monoterpene alcohols and esters contributing to the citrus flavour of beer,10.1002.jib.523,TUM 68,Saccharomyces cerevisiae,linalool (linalool),2.6 ± 1.2μg/L,unhopped all-malt wort,malt sugars,12°P,"Erlenmeyer flasks, batch culture",20°C,96h,ambient,,,,,,,
20.0,The influence of brewing yeast strains on monoterpene alcohols and esters contributing to the citrus flavour of beer,10.1002.jib.523,TUM 193,Saccharomyces cerevisiae,geraniol (Geraniol),5.7μg/L,unhopped all-malt wort,malt sugars,12°P,"Erlenmeyer flasks, batch culture",15°C,96h,ambient,,,,,,,
20.0,The influence of brewing yeast strains on monoterpene alcohols and esters contributing to the citrus flavour of beer,10.1002.jib.523,TUM 34/70,Saccharomyces cerevisiae,geraniol (Geraniol),5.6μg/L,unhopped all-malt wort,malt sugars,12°P,"Erlenmeyer flasks, batch culture",15°C,96h,ambient,,,,,,,
20.0,The influence of brewing yeast strains on monoterpene alcohols and esters contributing to the citrus flavour of beer,10.1002.jib.523,TUM 69,Saccharomyces cerevisiae,geraniol (Geraniol),4.6μg/L,unhopped all-malt wort,malt sugars,12°P,"Erlenmeyer flasks, batch culture",20°C,96h,ambient,,,,,,,
20.0,The influence of brewing yeast strains on monoterpene alcohols and esters contributing to the citrus flavour of beer,10.1002.jib.523,TUM 68,Saccharomyces cerevisiae,geraniol (Geraniol),12.1μg/L,unhopped all-malt wort,malt sugars,12°P,"Erlenmeyer flasks, batch culture",20°C,96h,ambient,,,,,,,
20.0,The influence of brewing yeast strains on monoterpene alcohols and esters contributing to the citrus flavour of beer,10.1002.jib.523,TUM 506,Saccharomyces cerevisiae,geraniol (Geraniol),5.2μg/L,unhopped all-malt wort,malt sugars,12°P,"Erlenmeyer flasks, batch culture",15°C,96h,ambient,,,,,,,
,,,,,,,,,,,,,,,,,,,,
21.0,Capturing of themonoterpene olefin limonene produced in Saccharomyces cerevisiae,10.1002.yea.3038,Sc-ClLS,Saccharomyces cerevisiae,(+)-limonene ((+)-limonene),0.028 (±0.0095) mg/l,SD-galactose,galactose,20 g/l,"Shaker flask, dodecane overlay",-,3 days,30°C,AE9 K197G;Saccharomyces cerevisiae AE9 K197G,FPPS,AtCPR1;CPR1;ClLS;CltLS;PfLS;PftLS,ClLS (Citrus limon);CltLS (Citrus limon);PfLS (Perilla frutescens);PftLS (Perilla frutescens),,,yes
21.0,Capturing of themonoterpene olefin limonene produced in Saccharomyces cerevisiae,10.1002.yea.3038,Sc-ClLS,Saccharomyces cerevisiae,(−)-limonene ((-)-limonene),0.060 (±0.029) mg/l,SD-galactose,galactose,20 g/l,"Shaker flask, dodecane overlay",-,3 days,30°C,AE9 K197G;Saccharomyces cerevisiae AE9 K197G,FPPS,AtCPR1;CPR1;ClLS;CltLS;PfLS;PftLS,ClLS (Citrus limon);CltLS (Citrus limon);PfLS (Perilla frutescens);PftLS (Perilla frutescens),,,yes
,,,,,,,,,,,,,,,,,,,,
22.0,Development of carbon plasma-coated multiwell plates for high-throughput mass spectrometric analysis of highly lipophilic fermentation products,10.1016.j.ab.2010.04.010,CEN10,Saccharomyces cerevisiae,GGOH (Geranylgeraniol),4mg/L,YPD,carbon-coated plates,,"96-well plate, static",5.5,up to 48h,30°C,,,UPC2.1,Sulfolobus acidocaldarius geranylgeranyl diphosphate synthase (Sulfolobus acidocaldarius);taxadiene synthase (Sulfolobus acidocaldarius),,,yes
,,,,,,,,,,,,,,,,,,,,
23.0,Orthogonal monoterpenoid biosynthesis in yeast constructed on an isomeric substrate,10.1038.s41467-019-11290-x,AM94,Saccharomyces cerevisiae,α-terpinene (α-terpinene),0.16 mg L−1,glucose-based CM selective medium,glucose,2%,shake flask,30°C,6 days,30°C,BY4741,ERG1,ClLimS;Erg20p;SlNPPS1,ShLimS;ShPinS;SlNPPS1;SlPHS1,,,yes
23.0,Orthogonal monoterpenoid biosynthesis in yeast constructed on an isomeric substrate,10.1038.s41467-019-11290-x,AM94,Saccharomyces cerevisiae,α-terpinene (α-terpinene),0.16 mg L−1,glucose-based CM selective medium,glucose,2%,shake flask,30°C,6 days,30°C,BY4741,ERG1,ClLimS;Erg20p;SlNPPS1,ShLimS;ShPinS;SlNPPS1;SlPHS1,,,yes
23.0,Orthogonal monoterpenoid biosynthesis in yeast constructed on an isomeric substrate,10.1038.s41467-019-11290-x,AM94,Saccharomyces cerevisiae,limonene,0.16 mg L−1,glucose-based CM selective medium,glucose,2%,shake flask,30°C,6 days,30°C,BY4741,ERG1,ClLimS;Erg20p;SlNPPS1,ShLimS;ShPinS;SlNPPS1;SlPHS1,,,yes
23.0,Orthogonal monoterpenoid biosynthesis in yeast constructed on an isomeric substrate,10.1038.s41467-019-11290-x,AM94,Saccharomyces cerevisiae,limonene,0.16 mg L−1,glucose-based CM selective medium,glucose,2%,shake flask,30°C,6 days,30°C,BY4741,ERG1,ClLimS;Erg20p;SlNPPS1,ShLimS;ShPinS;SlNPPS1;SlPHS1,,,yes
,,,,,,,,,,,,,,,,,,,,
24.0,Auxin-mediated protein depletion for metabolic engineering in terpene-producing yeast,10.1038.s41467-021-21313-1,LIM141,yeast,geraniol (geraniol),~23 mg L^-1,dodecane-overlayed MES-buffered YNB-glucose medium,glucose,20 g L^-1,two-phase flask cultivation,6.0,96 h,30 °C,LIM401,ERG20,ERG20;GAL80;GPP synthase;limonene synthase,,,,yes
24.0,Auxin-mediated protein depletion for metabolic engineering in terpene-producing yeast,10.1038.s41467-021-21313-1,LIM141,yeast,geranylgeraniol (geranylgeraniol),~23 mg L^-1,dodecane-overlayed MES-buffered YNB-glucose medium,glucose,20 g L^-1,two-phase flask cultivation,6.0,96 h,30 °C,LIM401,ERG20,ERG20;GAL80;GPP synthase;limonene synthase,,,,yes
24.0,Auxin-mediated protein depletion for metabolic engineering in terpene-producing yeast,10.1038.s41467-021-21313-1,LIM141,yeast,limonene (limonene),41 mg/L,dodecane-overlayed MES-buffered YNB-glucose medium,glucose,20 g L^-1,two-phase flask cultivation,6.0,96 h,30 °C,LIM401,ERG20,ERG20;GAL80;GPP synthase;limonene synthase,,,,yes
24.0,Auxin-mediated protein depletion for metabolic engineering in terpene-producing yeast,10.1038.s41467-021-21313-1,LIM141,yeast,limonene (limonene),~41 mg L^-1,dodecane-overlayed MES-buffered YNB-glucose medium,glucose,20 g L^-1,two-phase flask cultivation,6.0,96 h,30 °C,LIM401,ERG20,ERG20;GAL80;GPP synthase;limonene synthase,,,,yes
24.0,Auxin-mediated protein depletion for metabolic engineering in terpene-producing yeast,10.1038.s41467-021-21313-1,LIM401,yeast,limonene (limonene),76 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,not specified,,ERG20,GAL80;GPP synthase;limonene synthase,,,,yes
24.0,Auxin-mediated protein depletion for metabolic engineering in terpene-producing yeast,10.1038.s41467-021-21313-1,LIM401,yeast,limonene (limonene),~3 mg L^-1,dodecane-overlayed MES-buffered YNB-glucose medium,glucose,20 g L^-1,two-phase flask cultivation,6.0,96 h,30 °C,,ERG20,GAL80;GPP synthase;limonene synthase,,,,yes
,,,,,,,,,,,,,,,,,,,,
25.0,An in vivo gene amplification system for high level expression in Saccharomyces cerevisiae,10.1038.s41467-022-30529-8,LIM141M,Saccharomyces cerevisiae,limonene (Limonene),~0.95 g l−1,two-phase flask cultivation with 20 g l−1 glucose and dodecane overlay,glucose,20 g l−1,shake flask,6.0,96 h,30 °C,,,Erg20p;Y-FAST;limonene synthase,Erg20p (S. cerevisiae);Y-FAST (not specified);limonene synthase (Citrus limon),,,yes
25.0,An in vivo gene amplification system for high level expression in Saccharomyces cerevisiae,10.1038.s41467-022-30529-8,LIM141M,Saccharomyces cerevisiae,limonene (Limonene),~0.95 g l−1,two-phase flask cultivation with 20 g l−1 glucose and dodecane overlay,glucose,20 g l−1,shake flask,6.0,96 h,30 °C,,,Erg20p;Y-FAST;limonene synthase,Erg20p (S. cerevisiae);Y-FAST (not specified);limonene synthase (Citrus limon),,,yes
,,,,,,,,,,,,,,,,,,,,
26.0,Engineering Saccharomyces cerevisiae for production of the valuable monoterpene d-limonene during Chinese Baijiu fermentation,10.1007.s10295-020-02284-6,AY12α-L2,Saccharomyces cerevisiae,d-limonene (d-limonene),0.76 mg/L,Chinese Baijiu,Glucose,10%,Liquid state fermentation,6.0,3 days,30°C,,GAL1,ERG20;ERG20F96W−N127W;LS;NDPS1;PGK;PPGK;TCYC;TEF1,ERG20 (S. cerevisiae);ERG20F96W−N127W (S. cerevisiae);LS (Citrus limon);NDPS1 (Solanum lycopersicum);PGK;PPGK;TCYC;tLS (Citrus limon);tNDPS1 (Solanum lycopersicum),,,yes
26.0,Engineering Saccharomyces cerevisiae for production of the valuable monoterpene d-limonene during Chinese Baijiu fermentation,10.1007.s10295-020-02284-6,AY12α-L2,Saccharomyces cerevisiae,d-limonene (d-limonene),0.76 mg/L,Chinese Baijiu,Glucose,10%,Liquid state fermentation,6.0,3 days,30°C,,GAL1,ERG20;ERG20F96W−N127W;LS;NDPS1;PGK;PPGK;TCYC;TEF1,ERG20 (S. cerevisiae);ERG20F96W−N127W (S. cerevisiae);LS (Citrus limon);NDPS1 (Solanum lycopersicum);PGK;PPGK;TCYC;tLS (Citrus limon);tNDPS1 (Solanum lycopersicum),,,yes
