paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,parent strain_x,knock out gene_x,overexpress gene_x,heterologous gene_x,parent strain_y,knock out gene_y,overexpress gene_y,heterologous gene_y,knockout gene
p33,10.1016.j.ymben.2014.11.006,BY4741 (wild type),Saccharomyces cerevisiae,extracellular free fatty acids (FFAs) (extracellular free fatty acids),not detected (N.D.),YPD,glucose,20 g/L,shake flask (20 mL or 60 mL),not specified,48 h,30°C,BY4741,none,-,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p34,10.1016.j.ymben.2014.11.012,JMFP,Escherichia coli,acetic acid (acetic acid),6.68 g/L,M9 medium,glucose,21 g/L,"6.6-L Bioflo 3000 bioreactor, batch fermentation",6.8,not specified,37°C,,,,,E. coli K-12 W3110,"fumA, pflB",-,-,E. coli K-12 W3110,fumA;not mentioned;pflB,not mentioned,not mentioned (E. coli),
p34,10.1016.j.ymben.2014.11.012,JMMP,Escherichia coli,acetic acid (acetic acid),5.98 g/L,M9 medium,glucose,21 g/L,"6.6-L Bioflo 3000 bioreactor, batch fermentation",6.8,not specified,37°C,,,,,E. coli K-12 W3110,"mdh, pflB",-,-,E. coli K-12 W3110,mdh;not mentioned;pflB,not mentioned,not mentioned (),
p34,10.1016.j.ymben.2014.11.012,JMAP,Escherichia coli,lactic acid (lactic acid),19.59 g/L,M9 medium,glucose,21 g/L,"6.6-L Bioflo 3000 bioreactor, batch fermentation",6.8,not specified,37°C,,,,,E. coli K-12 W3110,"aceF, pflB",-,-,E. coli K-12 W3110,aceF;not mentioned;pflB,not mentioned,not mentioned (),
,,,,,,,,,,,,,,,,,,,,,,,,,
p35,10.1016.j.ymben.2014.12.004,BL21(DE3)/pQL1,Escherichia coli,pentadecane (PD) (pentadecane),~140 mg/L,M9,glucose,2%,"5 L fermenter, fed-batch",not specified,~18 h post-induction,16°C,,,,,BL21(DE3),none,"sgcE10 (under lacO1 promoter), sgcE (under T7 promoter)","sgcE, sgcE10",,,SgcE;SgcE10,SgcE (unclear);SgcE10 (E. coli),
,,,,,,,,,,,,,,,,,,,,,,,,,
p36,10.1016.j.ymben.2014.12.005,IB1863-I,Escherichia coli,myo-inositol (myo-inositol),1.31 g/L,modified MOPS minimal medium,glucose,10 g/L,"250ml baffled shake flasks, batch",not specified,78 h,30°C,,pfkB;sspB;zwf,,,MG1655 ΔendA (IB531),,SspB (inducible via aTc),"INO1 (pTrc-INO1, IPTG-inducible)",IB1863,,pfkA,sspB (E. coli);tetR (E. coli),"pfkB, zwf, sspB"
p36,10.1016.j.ymben.2014.12.005,IB531-I,Escherichia coli,myo-inositol (myo-inositol),0.61 g/L,modified MOPS minimal medium,glucose,10 g/L,"250ml baffled shake flasks, batch",not specified,78 h,30°C,,,,,MG1655 ΔendA (IB531),,none,"INO1 (pTrc-INO1, IPTG-inducible)",IB531,,,INO1 (S. cerevisiae),none
p36,10.1016.j.ymben.2014.12.005,IB1014-I,Escherichia coli,myo-inositol (myo-inositol),<0.1 g/L,modified MOPS minimal medium + 0.2% casamino acids,glucose,10 g/L,"250ml baffled shake flasks, batch",not specified,variable (up to 78 h),30°C,,pfkB;ptsHIcrr;sspB;zwf,,,MG1655 ΔendA (IB531),,SspB (inducible via aTc),"INO1 (pTrc-INO1, IPTG-inducible)",IB1863,,galP;pfkA,INO1 (S. cerevisiae);sspB (E. coli);tetR (Escherichia coli),"ptsHIcrr, galP (constitutive), pfkB, zwf, sspB"
,,,,,,,,,,,,,,,,,,,,,,,,,
p37,10.1016.j.ymben.2015.01.007,JC01 (DE3) bktBCT5 fadBCT5 ΔfadA egTERCT5 ydiIA1 ΔtesB,Pseudomonas putida,"6-hydroxyhexanoic acid, 8-hydroxyoctanoic acid, 10-hydroxydecanoic acid (6-hydroxyhexanoic acid, 8-hydroxyoctanoic acid, 10-hydroxydecanoic acid)","~1.1 g/L (total C6–C10 ω-hydroxyacids), ~400 mg/L (individual)",Rich (LB) medium with glycerol,glycerol,20 g/L,"25 mL Pyrex Erlenmeyer flasks, sealed with foam plugs, no feed",Not specified,72 h post-induction,30°C,,,,,JC01 (DE3) atoBCT5 fadBCT5 ΔfadA,"ΔldhA, Δpta, ΔpoxB, ΔadhE, ΔfrdA","bktB (chromosomal, cumate-controlled), fadB (chromosomal, cumate-controlled), egTER (chromosomal, cumate-controlled), ydiI (chromosomal, anhydrotetracycline-controlled)","alkBGT (Pseudomonas putida, pETDuet-1-P1-P2-alkBGT)",JC01 (DE3),fadA;tesB,bktB;egTER;fadB;ydiI,bktB (Ralstonia eutropha),
p37,10.1016.j.ymben.2015.01.007,JC01 (DE3) bktBCT5 fadBCT5 ΔfadA egTERCT5 ydiIA1 ΔtesB,Pseudomonas putida,"adipic acid, suberic acid, sebacic acid (C6–C10 dicarboxylic acids) (adipic acid, suberic acid, sebacic acid)","~400 mg/L (total C6–C10 dicarboxylic acids), 170±7 mg/L adipic acid, 254±13 mg/L suberic acid, 61±4 mg/L sebacic acid",Rich (LB) medium with glycerol,glycerol,20 g/L,"25 mL Pyrex Erlenmeyer flasks, sealed with foam plugs, no feed",Not specified,72 h post-induction,30°C,,,,,JC01 (DE3) atoBCT5 fadBCT5 ΔfadA,"ΔldhA, Δpta, ΔpoxB, ΔadhE, ΔfrdA","bktB (chromosomal, cumate-controlled), fadB (chromosomal, cumate-controlled), egTER (chromosomal, cumate-controlled), ydiI (chromosomal, anhydrotetracycline-controlled)","alkBGT, chnD, chnE (Acinetobacter sp. SE19, pETDuet-1-P1-chnD-chnE-P2-alkBGT)",JC01 (DE3),fadA;tesB,bktB;egTER;fadB;ydiI,bktB (Ralstonia eutropha),
p37,10.1016.j.ymben.2015.01.007,JC01 (DE3) bktBCT5 fadBCT5 ΔfadA egTERCT5 ydiIA1 ΔtesB,Pseudomonas putida,"adipic acid, suberic acid, sebacic acid (C6–C10 dicarboxylic acids) (adipic acid, suberic acid, sebacic acid)","~490 mg/L (total C6–C10 dicarboxylic acids), 170±7 mg/L adipic acid, 254±13 mg/L suberic acid, 61±4 mg/L sebacic acid",Minimal medium with glycerol,glycerol,20 g/L,"25 mL Pyrex Erlenmeyer flasks, sealed with foam plugs, no feed",Not specified,96 h,30°C,,,,,JC01 (DE3) atoBCT5 fadBCT5 ΔfadA,"ΔldhA, Δpta, ΔpoxB, ΔadhE, ΔfrdA","bktB (chromosomal, cumate-controlled), fadB (chromosomal, cumate-controlled), egTER (chromosomal, cumate-controlled), ydiI (chromosomal, anhydrotetracycline-controlled)","alkBGT, chnD, chnE (Acinetobacter sp. SE19, pETDuet-1-P1-chnD-chnE-P2-alkBGT)",JC01 (DE3),fadA;tesB,bktB;egTER;fadB;ydiI,bktB (Ralstonia eutropha),
p37,10.1016.j.ymben.2015.01.007,JC01 (DE3) bktBCT5 fadBCT5 ΔfadA egTERCT5 ydiIA1 ΔtesB,Pseudomonas putida,"6-hydroxyhexanoic acid, 8-hydroxyoctanoic acid, 10-hydroxydecanoic acid (6-hydroxyhexanoic acid, 8-hydroxyoctanoic acid, 10-hydroxydecanoic acid)",">800 mg/L (total C6–C10 ω-hydroxyacids), 271±20 mg/L 6-hydroxyhexanoic acid, 403±24 mg/L 8-hydroxyoctanoic acid, 150±8 mg/L 10-hydroxydecanoic acid",Minimal medium with glycerol,glycerol,20 g/L,"25 mL Pyrex Erlenmeyer flasks, sealed with foam plugs, no feed",Not specified,96 h,30°C,,,,,JC01 (DE3) atoBCT5 fadBCT5 ΔfadA,"ΔldhA, Δpta, ΔpoxB, ΔadhE, ΔfrdA","bktB (chromosomal, cumate-controlled), fadB (chromosomal, cumate-controlled), egTER (chromosomal, cumate-controlled), ydiI (chromosomal, anhydrotetracycline-controlled)","alkBGT (Pseudomonas putida, pETDuet-1-P1-P2-alkBGT)",JC01 (DE3),fadA;tesB,bktB;egTER;fadB;ydiI,bktB (Ralstonia eutropha),
,,,,,,,,,,,,,,,,,,,,,,,,,
p38,10.1016.j.ymben.2015.03.001,ED1.0,Escherichia coli,NADPH (Nicotinamide adenine dinucleotide phosphate),4.8-fold increase in regeneration rate,M9 minimal media,glucose,0.4% w/v,batch,7.4,24h,30°C,,,,,EcNR2,none,none,"Zm-zwf, Zm-pgl, Zm-edd, Zm-eda, Zm-pgi",EcNR2,pgi,ZMO0367/Zm-zwf;ZMO0368/Zm-edd;ZMO0997/Zm-eda;ZMO1212/Zm-pgi;ZMO1478/Zm-pgl;Zm-eda;Zm-edd;Zm-pgl;Zm-zwf;pgi,ZMO0367/Zm-zwf (Zymomonas mobilis ZM4);ZMO0368/Zm-edd (Zymomonas mobilis ZM4);ZMO0997/Zm-eda (Zymomonas mobilis ZM4);ZMO1212/Zm-pgi (Zymomonas mobilis ZM4);ZMO1478/Zm-pgl (Zymomonas mobilis ZM4);Zm-eda (Zymomonas mobilis ZM4);Zm-edd (Zymomonas mobilis ZM4);Zm-pgl (Zymomonas mobilis ZM4);Zm-zwf (Zymomonas mobilis ZM4);pgi (Z. mobilis),
p38,10.1016.j.ymben.2015.03.001,EcNR2 Δpgi,Escherichia coli,neurosporene (neurosporene),24% higher than EcNR2,2× M9 minimal media,glucose,0.4% w/v,batch,not specified,10h,37°C,,,,,EcNR2,pgi,none,none,EcNR2,pgi,,,
p38,10.1016.j.ymben.2015.03.001,EcIF15,Escherichia coli,neurosporene (neurosporene),"791% higher than MG1655, 843% higher than EcNR2",2× M9 minimal media,glucose,0.4% w/v,batch,not specified,10h,37°C,,,,,EcHW2f,none,dxs (engineered RBS),none,,dxs,crtEBI,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p39,10.1016.j.ymben.2015.03.008,PHB03,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),46 µM,CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,none,none,none,,,ARO4;ARO4K229L;ubiC,ubiC (Escherichia coli),
p39,10.1016.j.ymben.2015.03.008,PHB04,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),46 µM,CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,none,none,ubiC (codon-optimized E. coli chorismate pyruvate lyase),PHB03,,ARO4;ARO4K229L;ubiC,ubiC (Escherichia coli),
p39,10.1016.j.ymben.2015.03.008,PHB05,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),~46 µM,CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,FUS1,none,ubiC (codon-optimized E. coli chorismate pyruvate lyase),PHB04,FUS1,ARO4;ARO4K229L;ubiC,ubiC (Escherichia coli),
p39,10.1016.j.ymben.2015.03.008,PHB06,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),297 µM,CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,none,ARO4K229L (feedback-resistant ARO4),ubiC (codon-optimized E. coli chorismate pyruvate lyase),PHB05,FUS1,ARO4;ARO4K229L;TKL1;ubiC,ubiC (Escherichia coli),
p39,10.1016.j.ymben.2015.03.008,PHB07,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),534 µM,CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,none,ARO4K229L (feedback-resistant ARO4),"ubiC (codon-optimized E. coli chorismate pyruvate lyase), ARO7-targeted RNAi hairpin",PHB06,FUS1,ARO4;ARO4K229L;TKL1;ubiC,ubiC (Escherichia coli),
p39,10.1016.j.ymben.2015.03.008,PHB08,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),795 µM,CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,none,"ARO4K229L (feedback-resistant ARO4), TKL1","ubiC (codon-optimized E. coli chorismate pyruvate lyase), ARO7-targeted RNAi hairpin",PHB07,FUS1,ARO4;ARO4K229L;TKL1;ZWF1;ZWF1i;ubiC,ubiC (Escherichia coli),
p39,10.1016.j.ymben.2015.03.008,PHB09,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),760 µM,CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,none,"ARO4K229L (feedback-resistant ARO4), TKL1","ubiC (codon-optimized E. coli chorismate pyruvate lyase), ARO7-targeted RNAi hairpin, ZWF1-targeted RNAi hairpin",PHB08,FUS1,ARO4;ARO4K229L;TKL1;ZWF1;ZWF1i;ubiC,ubiC (Escherichia coli),
p39,10.1016.j.ymben.2015.03.008,PHB10,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid),1.07 mM (148 mg/L),CBS,glucose,20 g/L,"shake-flask, batch",not specified,72 h,30°C,,,,,CEN.PK 2-1C,none,"ARO4K229L (feedback-resistant ARO4), TKL1","ubiC (codon-optimized E. coli chorismate pyruvate lyase), ARO7-targeted RNAi hairpin, CDC19-targeted RNAi hairpin",PHB09,FUS1,ARO4;ARO4K229L;CDC19;CDC19i;TKL1;ZWF1;ZWF1i;ubiC,ubiC (Escherichia coli),
,,,,,,,,,,,,,,,,,,,,,,,,,
p40,10.1016.j.ymben.2015.03.009,E. coli W3110∆xylA∆yagE∆yjhH,Escherichia coli,"— (1,4-Butanediol)",—,LB,d-xylose,10 g/L,"250 mL shaking flask, batch",—,48 h,37°C,,,,,E. coli W3110,"xylA, yagE, yjhH",—,—,E. coli W3110,xylA;yagE;yjhH,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabD(100) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),270.85 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabD (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-PT + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),106.95 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,—,—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabD(100) + pCS-STS-4CL,Escherichia coli,resveratrol (resveratrol),268.20 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabD (down-regulated via asRNA),—,"4CL2, STS",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-PT + pCS-STS-4CL,Escherichia coli,resveratrol (resveratrol),158.22 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,—,—,"4CL2, STS",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabD(100) + pCS-CHI-CHS-4CL,Escherichia coli,naringenin (naringenin),91.31 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabD (down-regulated via asRNA),—,"CHI, CHS, 4CL",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-PT + pCS-CHI-CHS-4CL,Escherichia coli,naringenin (naringenin),59.58 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,—,—,"CHI, CHS, 4CL",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabB(100) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),116.95 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabB (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabF(100) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),173.66 mg/L,M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabF (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabH(100) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),195.43 mg/L (estimated from 1.86-fold increase),M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabH (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabB(150) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),190.44 mg/L (estimated from 1.79-fold increase),M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabB (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabF(150) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),266.31 mg/L (estimated from 2.49-fold increase),M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabF (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabH(150) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),226.74 mg/L (estimated from 2.12-fold increase),M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabH (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
p41,10.1016.j.ymben.2015.03.018,E. coli BW25113/pZE-asfabD(100)-asfabH(100) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),235.29 mg/L (estimated from 2.20-fold increase),M9Y,glycerol,20 g/L,"baffled flasks, batch",not specified,24 h,30°C,BW25113,fabD and fabH (down-regulated via asRNA),—,"entC, pchB, pqsD, sdgA",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p42,10.1016.j.ymben.2015.04.005,TA2445,Escherichia coli,isopropanol (isopropyl alcohol),61.8 and 64.3 mM,M9 medium,glucose,20 g/L,"350-mL baffled flask, batch",not specified,24 h or 52 h,30°C,,,,,BW25113 ΔlacI ΔgltA (TA2314),gltA,"luxI, luxR, tetR, thlA, atoAD, adc, adhE","thlA, atoAD, adc, adhE",TA2314,gltA;lacI,TetR;lux;luxI;luxR;yemGFP,adc (Escherichia coli);adhE (E. coli);atoAD (Escherichia coli);thlA (Escherichia coli),
p42,10.1016.j.ymben.2015.04.005,TA3037,Escherichia coli,GFP (reporter) (yellow enhanced modified green fluorescent protein),not quantified (fluorescence measured),M9 medium,glucose,10 g/L,"96-well plate, batch",not specified,240 min,30°C,,,,,BW25113 ΔlacI (TA1019),lacI,none,"luxR, yemGFP",,,,,
p42,10.1016.j.ymben.2015.04.005,TA2946,Escherichia coli,GFP (reporter) (yellow enhanced modified green fluorescent protein),not quantified (fluorescence measured),M9 medium,glucose,10 g/L,"96-well plate, batch",not specified,240 min,30°C,,,,,BW25113 ΔlacI (TA1019),lacI,none,"luxR, yemGFP",,,,,
p42,10.1016.j.ymben.2015.04.005,TA2393,Escherichia coli,GFP (reporter) (yellow enhanced modified green fluorescent protein),not quantified (fluorescence measured),M9 medium,glucose,10 g/L,"350-mL flask, batch",not specified,24 h,30°C,,,,,BW25113 ΔlacI (TA1019),lacI,none,"luxR, yemGFP",TA1015,lacI,lux;luxI;luxR;yemGFP,,
p42,10.1016.j.ymben.2015.04.005,TA3099,Escherichia coli,GFP (reporter) (yellow enhanced modified green fluorescent protein),not quantified (fluorescence measured),M9 medium,glucose,10 g/L,"96-well plate, batch",not specified,240 min,30°C,,,,,BW25113 ΔlacI (TA1019),lacI,none,yemGFP,TA1015,lacI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p43,10.1016.j.ymben.2015.05.005,CWF4N,Escherichia coli,3-aminopropionic acid (3-AP) (3-aminopropionic acid),0.855 g/L,modified MR medium,glucose,15 g/L,shake flask,6.8,24 h,37°C,,,,,CWF4 (fumaric acid-producing strain),"ptsG, lacI","aspA (trc promoter), panD (C. glutamicum)",panD (C. glutamicum),CWF4,fumA;fumB;fumC;iclR;lacI,panD,,
p43,10.1016.j.ymben.2015.05.005,CWF4NA,Escherichia coli,3-AP (3-aminopropionic acid),0.855 g/L,modified MR medium,glucose,15 g/L,shake flask,6.8,24 h,37°C,,,,,CWF4N,none,"aspA (trc promoter), panD (C. glutamicum)",panD (C. glutamicum),CWF4N,fumA;fumB;fumC;iclR;lacI,aspA;panD,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p44,10.1016.j.ymben.2015.06.009,BYJECO,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),54.5 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,none,oleTJE-CO,oleTJE-CO,BY4741,,OleT;OleTJE;OleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY11,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),54.5 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,none,"ACC1, oleTJE-CO",oleTJE-CO,BY4741,,ACC1,oleTJE (Jeotgalicoccus sp. ATCC 8456);oleTJE-CO (Jeotgalicoccus sp. ATCC 8456),
p44,10.1016.j.ymben.2015.06.009,BY12,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),339.7 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,FAA1,oleTJE-CO,oleTJE-CO,BY4741,faa1,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY13,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),136.3 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,FAA4,oleTJE-CO,oleTJE-CO,BY4741,faa4,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY14,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),382.8 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4",oleTJE-CO,oleTJE-CO,BY4741,faa1;faa4,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY15,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),399.9 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4","HEM3, oleTJE-CO",oleTJE-CO,BY14,faa1;faa4,HEM3;oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY16,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),382.8 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1",oleTJE-CO,oleTJE-CO,BY4741,ccp1;cta1;ctt1;faa1;faa4,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY17,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),472.7 μg/L,SC-U-G,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1","HEM3, oleTJE-CO",oleTJE-CO,BY16,ccp1;cta1;ctt1;faa1;faa4,HEM3;oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY20,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),1.0 mg/L,YPD,glucose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1","PTEF1-HEM3, PPGI1-oleTJE-CO (pRS41K)",oleTJE-CO,BY4741,,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY21,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),1.2 mg/L,YPD,glucose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1","PTEF1-HEM3, PPGI1-oleTJE-CO (pRS42K)",oleTJE-CO,BY4741,,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY22,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),2.1 mg/L,YPD,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1","PTEF1-HEM3, PTEF1-oleTJE-CO (pRS41K)",oleTJE-CO,BY4741,ccp1;cta1;ctt1;faa1;faa4,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY23,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),0.55 mg/L,YPD,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1","PTEF1-HEM3, PGAL1-oleTJE-CO (pRS42K)",oleTJE-CO,BY4741,,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY24,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),0.48 mg/L,YPD,galactose,2%,"250mL flask, batch",pH off,48h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1","PTEF1-HEM3, PTEF1-oleTJE-CO (chromosomal)",oleTJE-CO,BY4741,ccp1;cta1;ctt1;faa1;faa4,oleTJE;oleTJE-CO,,
p44,10.1016.j.ymben.2015.06.009,BY22,Saccharomyces cerevisiae,terminal alkenes (terminal alkenes),3.7 mg/L,YPD,glucose,3%,"5L bioreactor, fed-batch",pH off,144h,30°C,,,,,S. cerevisiae BY4741,"FAA1, FAA4, CTT1, CTA1, CCP1","PTEF1-HEM3, PTEF1-oleTJE-CO (pRS41K)",oleTJE-CO,BY4741,ccp1;cta1;ctt1;faa1;faa4,oleTJE;oleTJE-CO,,
,,,,,,,,,,,,,,,,,,,,,,,,,
p45,10.1016.j.ymben.2015.07.007,TGFA091-0,yeast,fumarate (fumaric acid),5.64 g/L,fermentation medium,glucose,100 g/L,250-mL shake flask,5.5,not specified,30°C,,,,,TGFA091,"THI2, FUM1","RoPYC, RoMDH, RoFUM1","RoPYC, RoMDH, RoFUM1",TGFA091,FUM1;THI2,FUM1;RoFUM1;RoMDH;RoPYC,FUM1 (S. cerevisiae);RoFUM1 (R. oryzae NRRL1526);RoMDH (Rhizopus oryzae);RoPYC (R. oryzae NRRL1526);SpMAE1 (Schizosaccharomyces pombe),
