paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
P16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m,Saccharomyces cerevisiae,glycerol (glycerol),0.193 g/g,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY/tpi25/gpd1gpp2f,FPS1m;GPD1;GPP2;TPI1,FPS1;GPD1;GPD1-GPP2;GPD1-GPP2fus;GPP2,,no
P16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m,Saccharomyces cerevisiae,glycerol (glycerol),19 g/L,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY/tpi25/gpd1gpp2f,FPS1m;GPD1;GPP2;TPI1,FPS1;GPD1;GPD1-GPP2;GPD1-GPP2fus;GPP2,,no
P16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f,Saccharomyces cerevisiae,glycerol (glycerol),0.124 g/g,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY4742,GPD1;GPP2;TPI1,GPD1;GPD1-GPP2;GPD1-GPP2fus;GPP2,,no
P16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f,Saccharomyces cerevisiae,glycerol (glycerol),13 g/L,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY4742,GPD1;GPP2;TPI1,GPD1;GPD1-GPP2;GPD1-GPP2fus;GPP2,,no
P16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m/ilv2,Saccharomyces cerevisiae,glycerol (glycerol),0.212 g/g,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY/tpi25/gpd1gpp2f/fps1m,FPS1m;GPD1;GPP2;ILV2;TPI1,FPS1;GPD1;GPD1-GPP2;GPD1-GPP2fus;GPP2;ILV2,,no
P16,10.1007.s00253-017-8202-z,BY/tpi25/gpd1gpp2f/fps1m/ilv2,Saccharomyces cerevisiae,glycerol (glycerol),21.2 g/L,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY/tpi25/gpd1gpp2f/fps1m,FPS1m;GPD1;GPP2;ILV2;TPI1,FPS1;GPD1;GPD1-GPP2;GPD1-GPP2fus;GPP2;ILV2,,no
P16,10.1007.s00253-017-8202-z,BY/gpd1gpp2f,Saccharomyces cerevisiae,glycerol (glycerol),11 g/L,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY4742,,GPD1;GPD1-GPP2;GPP2,,yes
P16,10.1007.s00253-017-8202-z,BY/gpd1gpp2f,Saccharomyces cerevisiae,glycerol (glycerol),8 g/L,micro-aerobic conditions,glucose,100 g/L,batch fermentation,neutral pH,7 days,30 °C,BY4742,,GPD1;GPD1-GPP2;GPP2,,no
,,,,,,,,,,,,,,,,,
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,acetate (Acetic acid),0.28 g/L,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,ethanol (ethanol),0.72 g/L,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,ethanol (ethanol),0.84 g/L,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,formate (formate),0.22 g/L,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,lactate (lactate),0.65 g/g,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,lactate (lactate),0.72 g/L,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,lactate (lactate),0.84 g/L,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,W3110,Escherichia coli,succinate (succinic acid),0.19 g/L,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,,,,yes
P17,10.1007.s00253-018-09588-9,WE269,Escherichia coli,lactate (lactate),0.64 g/g,M9 minimal medium,glucose,5% (w/v),shake flask,7,48 h,37 °C,,pflB,,,no
,,,,,,,,,,,,,,,,,
P18,10.1007.s00253-020-10381-w,LCGL,Streptomyces lincolnensis,lincomycin (lincomycin),baseline,fermentation,Not specified,Not specified,Not specified,7,24 h,30 °C,,,,,yes
P18,10.1007.s00253-020-10381-w,ΔSLCGL_Lrp,Streptomyces lincolnensis,lincomycin (lincomycin),-30%,fermentation,Not specified,Not specified,Not specified,7,24 h,30 °C,LCGL;S. lincolnensis LCGL,Lrp;SLCG_3128;SLCG_Lrp,,,yes
P18,10.1007.s00253-020-10381-w,ΔSLCGL_Lrp/pIB139-Lrp,Streptomyces lincolnensis,lincomycin (lincomycin),+100% recovery,fermentation,Not specified,Not specified,Not specified,7,24 h,30 °C,ΔSLCGL_Lrp,Lrp;SLCG_3128;SLCG_Lrp,Lrp;SLCG_Lrp,,yes
P18,10.1007.s00253-020-10381-w,LCGL/pIB139-Lrp,Streptomyces lincolnensis,lincomycin (lincomycin),24%,fermentation,Not specified,Not specified,Not specified,7,24 h,30 °C,LCGL;S. lincolnensis LCGL,,Lrp;SLCG_3128;SLCG_Lrp,,no
P18,10.1007.s00253-020-10381-w,ΔSLCGL_3127,Streptomyces lincolnensis,lincomycin (lincomycin),33%,fermentation,Not specified,Not specified,Not specified,7,24 h,30 °C,S. lincolnensis LCGL,SLCG_3127,,,yes
P18,10.1007.s00253-020-10381-w,ΔSLA219X_3127,Streptomyces lincolnensis,lincomycin (lincomycin),20%,fermentation,Not specified,Not specified,Not specified,7,24 h,30 °C,,SLCG_3127,,,yes
,,,,,,,,,,,,,,,,,
P19,10.1007.s00253-020-10819-1,SH274,Escherichia coli,isobutanol (isobutanol),1.3 g/L,M9 medium,glucose,10 g/L,shake flask fermentation,not specified,48 h,37 °C,JW74,,adhA;alsS;ilvC;ilvD;kivD,,no
P19,10.1007.s00253-020-10819-1,SH279,Escherichia coli,isobutanol (isobutanol),5.5 g/L,M9 medium,glucose,10 g/L,shake flask fermentation,not specified,48 h,37 °C,JW74,,adhA;alsS;ilvC;ilvD;kivD,,no
,,,,,,,,,,,,,,,,,
P20,10.1007.s00449-015-1440-5,S. inulinus YBS1-5,Sporolactobacillus inulinus,DLA (d-lactic acid),130.9 g/L,Basic fermentation medium + 2 g/L acetic acid,"Glucose, xylose",150 g/L (total sugars),Batch fermentation,4.8,48 h,37 °C,,,,,yes
,,,,,,,,,,,,,,,,,
P21,10.1007.s10295-005-0206-5,GJT(pKK313),Escherichia coli,ethanol (ethanol),75% higher,"LB, pH 7.4",sorbitol,40 g/L,capped tubes,7.4,,37°C,GJT001,,PEPC,PEPC (Sorghum),yes
P21,10.1007.s10295-005-0206-5,GJT(pKK313),Escherichia coli,ethanol (ethanol),62% over glucose,"LB, pH 7.4",glucose,40 g/L,capped tubes,7.4,,37°C,GJT001,,PEPC,PEPC (Sorghum),yes
P21,10.1007.s10295-005-0206-5,GJT(pKK313),Escherichia coli,succinate (succinate),81% higher,"LB, pH 7.4",sorbitol,40 g/L,capped tubes,7.4,,37°C,GJT001,,PEPC,PEPC (Sorghum),yes
P21,10.1007.s10295-005-0206-5,GJT(pKK313),Escherichia coli,succinate (succinate),96% higher,"LB, pH 7.4",sorbitol,40 g/L,capped tubes,7.4,,37°C,GJT001,,PEPC,PEPC (Sorghum),yes
P21,10.1007.s10295-005-0206-5,YBS121(pKK313),Escherichia coli,lactate (lactate),15-fold increase with glucose,"LB, pH 7.4",glucose,40 g/L,250-mL flasks,7.4,,37°C,GJT(pKK313);YBS121,ackA;pta,PEPC,PEPC (Sorghum),yes
P21,10.1007.s10295-005-0206-5,YBS121(pKK313),Escherichia coli,succinate (succinate),51% higher,"LB, pH 7.4",xylose,40 g/L,250-mL flasks,7.4,,37°C,GJT(pKK313);YBS121,ackA;pta,PEPC,PEPC (Sorghum),yes
,,,,,,,,,,,,,,,,,
P22,10.1007.s10295-010-0766-x,E. coli BL21/pGEX-GALNS,Escherichia coli,rGALNS enzyme (recombinant N-acetylgalactosamine-6-sulfate sulfatase),0.067 U mg^(-1),MGM + 20 g l^-1,Glucose,20 g l^-1,Shake flask,7.2,"Microorganism cultured for 12 h, then induced with IPTG for 4 h","37°C (culture), 19±1°C (induction)",E. coli BL21,,GALNS,GALNS (human),yes
P22,10.1007.s10295-010-0766-x,E. coli BL21/pGEX-GALNS,Escherichia coli,rGALNS enzyme (recombinant N-acetylgalactosamine-6-sulfate sulfatase),0.078 U mg^(-1),MGM + 20 g l^-1,Glucose,20 g l^-1,Shake flask,7.2,"Microorganism cultured for 12 h, then induced with IPTG for 2 h","37°C (culture), 19±1°C (induction)",E. coli BL21,,GALNS,GALNS (human),yes
,,,,,,,,,,,,,,,,,
P23,10.1007.s10295-016-1822-y,S. hygroscopicus 5008,Streptomyces,Val-A (Validamycin A),17.82 ± 0.88 g l⁻¹,Solid-state → Liquid,Corn powder (100 g l⁻¹),,Shake Flask,,24 - 72 h,37 °C,,,afsR;catalase;soxR;ugp;valABC;valG;valKlMN,,yes
,,,,,,,,,,,,,,,,,
P24,10.1007.s10295-016-1872-1,ADP1ΔrmlA_pykF,Acinetobacter baylyi,WE (wax esters),0.011 ± 0.001 mol/mol for ADP1ΔrmlA_pykF,Minimal medium,Glucose,50 g/l,Batch culture,Not specified,26 h,30 °C,ADP1ΔrmlA,rmlA,pykF,pykF (E. coli),yes
P24,10.1007.s10295-016-1872-1,ADP1ΔrmlA_pykF,Acinetobacter baylyi,lipids (wax esters),0.056 ± 0.005 g/g,Minimal medium,Glucose,50 g/l,Batch culture,4.8 (lower),26 h,30 °C,ADP1ΔrmlA,rmlA,pykF,pykF (E. coli),yes
P24,10.1007.s10295-016-1872-1,ADP1pykF,Acinetobacter baylyi,lipids (wax esters),0.055 ± 0.002 g/g,Minimal medium,Glucose,50 g/l,Batch culture,Not specified,26 h,30 °C,,,pykF,pykF (E. coli),yes
,,,,,,,,,,,,,,,,,
P25,10.1007.s10295-020-02319-y,E. coli W Δ4,Escherichia coli,isobutanol (isobutanol),0.25 Cmol Cmol⁻¹,chemically defined medium,glucose,50 g l⁻¹,batch,6.8,24 - 48 h,37°C,,,acetolactate-synthase;alcohol dehydrogenase;dihydroxy-acid dehydratase;ketol-acid reductoisomerase;α-ketoisovalerate decarboxylase,"adhA (Lactobacillus lactis);alsS (Bacillus subtilis);budB (Enterobacter cloacae subsp. dissolvens DSM 16,657);ilvC (Escherichia coli W);ilvD (Escherichia coli W);kdcA (Lactobacillus lactis)",no
P25,10.1007.s10295-020-02319-y,E. coli W Δ4,Escherichia coli,isobutanol (isobutanol),6.6 ± 0.4 g l⁻¹,chemically defined medium,glucose,50 g l⁻¹,microaerobic batch,6.8,,30°C,,,acetolactate-synthase;alcohol dehydrogenase;dihydroxy-acid dehydratase;ketol-acid reductoisomerase;α-ketoisovalerate decarboxylase,"adhA (Lactobacillus lactis);alsS (Bacillus subtilis);budB (Enterobacter cloacae subsp. dissolvens DSM 16,657);ilvC (Escherichia coli W);ilvD (Escherichia coli W);kdcA (Lactobacillus lactis)",no
P25,10.1007.s10295-020-02319-y,E. coli W Δ4,Escherichia coli,isobutanol (isobutanol),7.7 ± 0.2 g l⁻¹,chemically defined medium,glucose,50 g l⁻¹,aerobic batch,6.8,,30°C,,,acetolactate-synthase;alcohol dehydrogenase;dihydroxy-acid dehydratase;ketol-acid reductoisomerase;α-ketoisovalerate decarboxylase,"adhA (Lactobacillus lactis);alsS (Bacillus subtilis);budB (Enterobacter cloacae subsp. dissolvens DSM 16,657);ilvC (Escherichia coli W);ilvD (Escherichia coli W);kdcA (Lactobacillus lactis)",no
P25,10.1007.s10295-020-02319-y,E. coli W ∆ldhA ∆adhE ∆pta ∆frdA IB4,Escherichia coli,isobutanol (isobutanol),0.26 Cmol Cmol⁻1,cheese whey medium,lactose/lactate*,,pulsed fed-batch,6.8,,30°C,E. coli W ∆ldhA ∆adhE ∆pta ∆frdA,,acetolactate-synthase;alcohol dehydrogenase;dihydroxy-acid dehydratase;ketol-acid reductoisomerase;α-ketoisovalerate decarboxylase,"adhA (Lactobacillus lactis);alsS (Bacillus subtilis);budB (Enterobacter cloacae subsp. dissolvens DSM 16,657);ilvC (Escherichia coli W);ilvD (Escherichia coli W);kdcA (Lactobacillus lactis)",no
P25,10.1007.s10295-020-02319-y,E. coli W ∆ldhA ∆adhE ∆pta ∆frdA IB4,Escherichia coli,isobutanol (isobutanol),15.6 ± 0.5 g l⁻¹,chemically defined medium,glucose,50 g l⁻¹,aerobic pulsed fed-batch,6.8,,30°C,E. coli W ∆ldhA ∆adhE ∆pta ∆frdA,,acetolactate-synthase;alcohol dehydrogenase;dihydroxy-acid dehydratase;ketol-acid reductoisomerase;α-ketoisovalerate decarboxylase,"adhA (Lactobacillus lactis);alsS (Bacillus subtilis);budB (Enterobacter cloacae subsp. dissolvens DSM 16,657);ilvC (Escherichia coli W);ilvD (Escherichia coli W);kdcA (Lactobacillus lactis)",no
P25,10.1007.s10295-020-02319-y,E. coli W ∆ldhA ∆adhE ∆pta ∆frdA IB4,Escherichia coli,isobutanol (isobutanol),19.6 ± 1.8 g l⁻¹,cheese whey medium,lactose/lactate*,,pulsed fed-batch,6.8,,30°C,E. coli W ∆ldhA ∆adhE ∆pta ∆frdA,,acetolactate-synthase;alcohol dehydrogenase;dihydroxy-acid dehydratase;ketol-acid reductoisomerase;α-ketoisovalerate decarboxylase,"adhA (Lactobacillus lactis);alsS (Bacillus subtilis);budB (Enterobacter cloacae subsp. dissolvens DSM 16,657);ilvC (Escherichia coli W);ilvD (Escherichia coli W);kdcA (Lactobacillus lactis)",no
,,,,,,,,,,,,,,,,,
P26,10.1007.s10529-008-9906-z,AJ12741/pHYGG,Escherichia coli,acetic acid (acetic acid),3.1 g l^-1,PP medium,glucose,40 g l^-1,Baffled conical flask,7,84 h,37°C,AJ12741,,yggG,yggG (Escherichia coli),yes
P26,10.1007.s10529-008-9906-z,AJ12741/pHYGG,Escherichia coli,acetic acid (acetic acid),Y ac/glu = 0.12 ± 0.06 g acetic acid g glucose^-1,PP medium,glucose,40 g l^-1,Baffled conical flask,7,84 h,37°C,AJ12741,,yggG,yggG (Escherichia coli),yes
P26,10.1007.s10529-008-9906-z,AJ12741/pHYGG,Escherichia coli,l-phenylalanine (l-phenylalanine),3.6 g l⁻¹,PP medium,glucose,40 g l^-1,Baffled conical flask,7,84 h,37°C,AJ12741,,yggG,yggG (Escherichia coli),yes
P26,10.1007.s10529-008-9906-z,E. coli AJ12741/pHYGG,Escherichia coli,l-phenylalanine (l-phenylalanine),0.16 ± 0.03 g l-phenylalanine g glucose⁻¹,PP medium,glucose,40 g l^-1,Baffled conical flask,7,84 h,37°C,,,yggG,,yes
,,,,,,,,,,,,,,,,,
P27,10.1007.s10529-018-2580-x,BTAL01,Escherichia coli,caffeic acid (Caffeic acid),138.5 mg/L,M9Y,glucose,20 g/L,shake flask,7,48 h,30 °C,BTAL,pheA;trpE;tyrR,HpaBC;RgTAL,,yes
P27,10.1007.s10529-018-2580-x,BW03,Escherichia coli,caffeic acid (Caffeic acid),87.7 mg/L,M9Y,glucose,20 g/L,shake flask,7,48 h,30 °C,,,HpaBC;RgTAL,,yes
P27,10.1007.s10529-018-2580-x,BTAL02,Escherichia coli,caffeoylmalic acid (caffeoylmalic acid),79.0 mg/L,M9Y,glucose,20 g/L,shake flask,7,48 h,30 °C,BTAL,pheA;trpE;tyrR,At4CL2;HCT2;RgTAL,HpaBC (Escherichia coli BL21 (DE3)),yes
P27,10.1007.s10529-018-2580-x,BTAL02,Escherichia coli,p-coumaroylmalic acid (p-coumaroylmalic acid),210.5 mg/L,M9Y,glucose,20 g/L,shake flask,7,48 h,30 °C,BTAL,pheA;trpE;tyrR,At4CL2;HCT2;RgTAL,HpaBC (Escherichia coli BL21 (DE3)),yes
P27,10.1007.s10529-018-2580-x,BTAL03,Escherichia coli,caffeoylmalic acid (caffeoylmalic acid),570.1 mg/L,M9Y,glucose,20 g/L,shake flask,7,72 h,30 °C,BTAL;E. coli BL21 (DE3),pheA;trpE;tyrR,HpaBC;RgTAL,,yes
,,,,,,,,,,,,,,,,,
P28,10.1007.s11274-023-03705-1,SC05,Escherichia coli,4-HIL (4-hydroxy-2-iodobenzaldehyde),12.4 ± 1.0 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC05,Escherichia coli,Lys (L-lysine),13.1 ± 1.3 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC01,Escherichia coli,4-HIL (4-hydroxy-2-iodobenzaldehyde),14.8 ± 1.1 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC01,Escherichia coli,Asp-family amino acids (Asp-family amino acids),37.70%,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC01,Escherichia coli,Ile (Isoleucine),14.8 ± 1.1 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC01,Escherichia coli,Lys (L-lysine),34.8 ± 10.9 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC08,Escherichia coli,4-HIL (4-hydroxy-2-iodobenzaldehyde),15.2 ± 0.4 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC08,Escherichia coli,Lys (L-lysine),28.7 ± 1.0 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC07,Escherichia coli,4-HIL (4-hydroxy-2-iodobenzaldehyde),15.9 ± 0.9 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC07,Escherichia coli,Lys (L-lysine),23.1 ± 0.8 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC02,Escherichia coli,4-HIL (4-hydroxy-2-iodobenzaldehyde),2.0 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC02,Escherichia coli,Ala (Alanine),143.2-158.0 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC02,Escherichia coli,Asp-family amino acids (Asp-family amino acids),18.40%,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC02,Escherichia coli,Ile (Isoleucine),143.2-158.0 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC06,Escherichia coli,4-HIL (4-hydroxy-2-iodobenzaldehyde),7.9 ± 0.3 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC06,Escherichia coli,Lys (L-lysine),12.7 ± 0.6 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,,,no
P28,10.1007.s11274-023-03705-1,SC04,Escherichia coli,Asp-family amino acids (Asp-family amino acids),11.90%,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC03,Escherichia coli,Asp-family amino acids (Asp-family amino acids),15.30%,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
P28,10.1007.s11274-023-03705-1,SC05-TD5 I M,Escherichia coli,Lys (L-lysine),14.0 ± 1.1 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,ido,,no
P28,10.1007.s11274-023-03705-1,SC00-TD5 I M,Escherichia coli,Lys (L-lysine),35.4 ± 4.4 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,,ido,,yes
P28,10.1007.s11274-023-03705-1,SC01-TD5 I M,Escherichia coli,Lys (L-lysine),39.3 ± 4.5 mM,shake flask,glucose,140 g/L,batch,30 °C,144 h,200 rpm,SC00,ldhA;pyk2,ido,,yes
,,,,,,,,,,,,,,,,,
P29,10.1007.s12010-017-2673-3,M1,Methylobacterium extorquens,mevalonate (mevalonate),55.0 ± 1.0 mg/L,MC minimum,Methanol,1% (v/v),"Flask, batch culture",6,5 days,30 °C,AM1Δ celABC,celABC,mvt3,,yes
,,,,,,,,,,,,,,,,,
P30,10.1007.s12257-020-0313-1,E. coli H-03,Escherichia coli,L-Phe (L-phenylalanine),1.74 ± 0.02 g/L,Flask cultivation,Glucose,5 g/L,shake flask at 200 rpm,7,6 h,37°C,E. coli H-02,aroG;pheA;pykA,aroG8/15;aroK;galP;glk;pheA fbr/dm;ydiB,aroG (not specified);aroG8 (not specified);pheA;pheA fbr,no
P30,10.1007.s12257-020-0313-1,E. coli H-01,Escherichia coli,L-Phe (L-phenylalanine),3.46 g/L,Flask cultivation,Glucose,5 g/L,shake flask at 200 rpm,7,6 h,37°C,E. coli YHP06,aroG;pheA;pykA,aroG8/15;aroK;galP;glk;pheA fbr/dm;ydiB,aroG (not specified);aroG8 (not specified);pheA;pheA fbr,no
P30,10.1007.s12257-020-0313-1,E. coli YHP06,Escherichia coli,L-Phe (L-phenylalanine),3.58 g/L,Flask cultivation,Glucose,5 g/L,shake flask at 200 rpm,7,6 h,37°C,E. coli YHP02,aroG;pheA;pykA,aroG8/15;aroK;galP;glk;pheA fbr/dm;ydiB,aroG (not specified);aroG8 (unknown);pheA;pheA fbr,no
P30,10.1007.s12257-020-0313-1,E. coli YHP06,Escherichia coli,L-Phe (L-phenylalanine),3.58 ± 0.07 g/L,Flask cultivation,Glucose,5 g/L,shake flask at 200 rpm,7,6 h,37°C,E. coli YHP02,aroG;pheA;pykA,aroG8/15;aroK;galP;glk;pheA fbr/dm;ydiB,aroG (not specified);aroG8 (unknown);pheA;pheA fbr,no
P30,10.1007.s12257-020-0313-1,E. coli H-02,Escherichia coli,L-Phe (L-phenylalanine),3.62 g/L,Flask cultivation,Glucose,5 g/L,shake flask at 200 rpm,7,6 h,37°C,E. coli H-01,aroG;pheA;pykA,aroG8/15;aroK;galP;glk;pheA fbr/dm;ydiB,aroG (not specified);aroG8 (E. coli YHP);pheA;pheA fbr (unknown),no
P30,10.1007.s12257-020-0313-1,E. coli H-02,Escherichia coli,L-Phe (L-phenylalanine),30.5 g/L,Fed-batch cultivation (5 L),Glucose,700 g/L,bioreactor with pH-stat feeding strategy,6.8,38 h,37°C,E. coli H-01,aroG;pheA;pykA,aroG8/15;aroK;galP;glk;pheA fbr/dm;ydiB,aroG (not specified);aroG8 (E. coli YHP);pheA;pheA fbr (unknown),no
P30,10.1007.s12257-020-0313-1,E. coli H-02,Escherichia coli,L-Phe (L-phenylalanine),38.6 g/L,Fed-batch cultivation (30 L),Glucose,700 g/L,bioreactor with pH-stat feeding strategy,6.8,36 h,37°C,E. coli H-01,aroG;pheA;pykA,aroG8/15;aroK;galP;glk;pheA fbr/dm;ydiB,aroG (not specified);aroG8 (E. coli YHP);pheA;pheA fbr (unknown),no
P30,10.1007.s12257-020-0313-1,E. coli YHP05,Escherichia coli,L-Phe (L-phenylalanine),4.00 ± 0.06 g/L,Flask cultivation,Glucose,5 g/L,shake flask at 200 rpm,7,6 h,37°C,,trpE;tyrA,,,no
,,,,,,,,,,,,,,,,,
P31,10.1007.s13205-020-2114-9,CCM01,Corynebacterium crenatum,l-arginine (L-arginine),12.02 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,,argB;argR,,,yes
P31,10.1007.s13205-020-2114-9,CCM03,Corynebacterium crenatum,l-arginine (L-arginine),15.27 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM01,argB;argR;pta,,,yes
P31,10.1007.s13205-020-2114-9,CCM03,Corynebacterium crenatum,l-arginine (L-arginine),15.27 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM01,argB;argR;pta,,,yes
P31,10.1007.s13205-020-2114-9,CCM04,Corynebacterium crenatum,l-arginine (L-arginine),15.34 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM01,Ncgl1221;argB;argR;cgl2310,,,yes
P31,10.1007.s13205-020-2114-9,CCM04,Corynebacterium crenatum,l-arginine (L-arginine),15.34 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM01,Ncgl1221;argB;argR;cgl2310,,,yes
P31,10.1007.s13205-020-2114-9,CCM07,Corynebacterium crenatum,l-arginine (L-arginine),24.85 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM06,Ncgl1221;argB;argR;cgl2310;pta;putP,lysE,,yes
P31,10.1007.s13205-020-2114-9,CCM07,Corynebacterium crenatum,l-arginine (L-arginine),24.85 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM06,Ncgl1221;argB;argR;cgl2310;pta;putP,lysE,,yes
P31,10.1007.s13205-020-2114-9,CCM05,Corynebacterium crenatum,l-arginine (L-arginine),13.29 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM01,Ncgl1221;argB;argR,,,yes
P31,10.1007.s13205-020-2114-9,CCM02,Corynebacterium crenatum,l-arginine (L-arginine),14.20 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM01,argB;argR;putP,,,yes
P31,10.1007.s13205-020-2114-9,CCM06,Corynebacterium crenatum,l-arginine (L-arginine),14.9 g/L,fermentation medium,glucose,120 g/L,shake flask cultivation,7,108 h,30 °C,CCM05,Ncgl1221;argB;argR,lysE,,yes
,,,,,,,,,,,,,,,,,
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3400,Saccharomyces cerevisiae,ethanol (ethanol),0.07 g xylitol g d-xylose−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
P32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,ethanol (ethanol),0.14 g xylitol g d-xylose−1,"aerobic, oxygen-limited, and anaerobic batch cultivation",d-xylose,20 g l−1,"55-ml, oxygen-limited flasks containing 50 ml SX medium",5.5,not specified,30°C,,,,,no
