paper number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,oxygen level,parent strain,knock out gene,overexpress gene,heterologous gene,check
p21,10.1007.s10295-005-0206-5,YBS132(pKK313),Escherichia coli,succinate (succinate),,LB broth,xylose,40 g/L,flask (microaerobic),7.4,,37°C,,GJT001,"Δ(ackA-pta, ldhA)",Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),titer
p21,10.1007.s10295-005-0206-5,YBS132(pKK313),Escherichia coli,succinate (succinate),,LB broth,sorbitol,40 g/L,flask (microaerobic),7.4,,37°C,,GJT001,"Δ(ackA-pta, ldhA)",Sorghum PEPC,pKK313 (S8D mutation in Sorghum PEPC),titer
,,,,,,,,,,,,,,,,,,
p22,10.1007.s10295-010-0766-x,E. coli BL21/pGEX-GALNS,Escherichia coli,rGALNS (recombinant N-acetylgalactosamine-6-sulfate sulfatase),Up to 17-fold higher in inclusion bodies fraction than soluble fraction,MGM,Glucose,20 g l−1,Shake flasks and Bioflo 110 reactor,7.2,"3, 6, 12, 24 h","37°C (shake), 19°C (bench)",,E. coli BL21,,,GALNS,yes
,,,,,,,,,,,,,,,,,,
p23,10.1007.s10295-016-1822-y,Streptomyces hygroscopicus 5008,Streptomyces,Validamycin A (Val-A) (Validamycin A (Val-A)),17.82 ± 0.88 g/l,Not specified*,"Corn powder, soybean powder",Corn powder: 100 g/l,250-ml glass flask,,,37 °C,,Streptomyces hygroscopicus 5008,none,"afsR, soxR, ugp",none,OE
,,,,,,,,,,,,,,,,,,
p24,10.1007.s10295-016-1872-1,ADP1ΔrmlA,Acinetobacter baylyi,wax esters (wax esters),Not specified,minimal medium,acetate,10 mM,Not specified,7.2,52.5 h,30°C,,Acinetobacter baylyi ADP1,rmlA,pykF,pyruvate kinase (pykF) from E. coli,yes
p24,10.1007.s10295-016-1872-1,ADP1,Acinetobacter baylyi,wax esters (wax esters),Not specified,minimal medium,acetate,10 mM,Not specified,7.2,52.5 h,30°C,,Acinetobacter baylyi ADP1,,,,yes
p24,10.1007.s10295-016-1872-1,ADP1ΔrmlA,Acinetobacter baylyi,wax esters (wax esters),Not specified,minimal medium,4-hydroxybenzoate,4 g/l,Not specified,7.2,26 h,30°C,,Acinetobacter baylyi ADP1,rmlA,pykF,pyruvate kinase (pykF) from E. coli,yes
p24,10.1007.s10295-016-1872-1,ADP1,Acinetobacter baylyi,wax esters (wax esters),Not specified,minimal medium,4-hydroxybenzoate,4 g/l,Not specified,7.2,26 h,30°C,,Acinetobacter baylyi ADP1,,,,yes
p24,10.1007.s10295-016-1872-1,ADP1ΔrmlA_pykF,Acinetobacter baylyi,wax esters (wax esters),Not specified,minimal medium,glucose,50 g/l,Not specified,<7.2,26 h,30°C,,Acinetobacter baylyi ADP1,rmlA,pykF,pyruvate kinase (pykF) from E. coli,yes
p24,10.1007.s10295-016-1872-1,ADP1pykF,Acinetobacter baylyi,wax esters (wax esters),Not specified,minimal medium,glucose,50 g/l,Not specified,<7.2,26 h,30°C,,Acinetobacter baylyi ADP1,,pykF,,yes
,,,,,,,,,,,,,,,,,,
p25,10.1007.s10295-020-02319-y,E. coli W ΔldhA ΔadhE Δpta ΔfrdA,Escherichia coli,isobutanol (isobutanol),20 g l−1,"Defined medium, Cheese whey","glucose, lactose","20 g l−1 (screening), 50 g l−1 (batches and fed-batches)","shake flasks, serum bottles, bioreactor, pulsed fed-batch",6.8,48 h,30 °C,,E. coli W,"ldhA, adhE, pta, frdA","acetolactate-synthase, ketol-acid reductoisomerase, dihydroxy-acid dehydratase, α-ketoisovalerate decarboxylase, alcohol dehydrogenase","alsS from Bacillus subtilis, budB from Enterobacter cloacae, kdcA, adhA from Lactobacillus lactis, ilvD, ilvC from E. coli W",strain
,,,,,,,,,,,,,,,,,,
p26,10.1007.s10529-008-9906-z,AJ12741/pHYGG,Escherichia coli,l-phenylalanine (l-phenylalanine),6.4 g l-phenylalanine l−1,phenylalanine production medium (PP medium),glucose,40 g/l,"shake-flask, batch culture",7,84 h,37°C,,E. coli AJ12741,,yggG,,yes
p26,10.1007.s10529-008-9906-z,AJ12741 (original),Escherichia coli,l-phenylalanine (l-phenylalanine),3.7 g l-phenylalanine l−1,phenylalanine production medium (PP medium),glucose,40 g/l,"shake-flask, batch culture",7,84 h,37°C,,E. coli AJ12741,,,,yes
,,,,,,,,,,,,,,,,,,
p27,10.1007.s10529-018-2580-x,BTAL02,Escherichia coli,caffeoylmalic acid (caffeoylmalic acid),79.0 mg/L,M9Y,glucose,20 g/L,"Flask, two-stage cultivation",Not mentioned,48 h,30°C,,E. coli BL21 (DE3),None mentioned,"RgTAL, HpaBC, At4CL2, HCT2","RgTAL, At4CL2, HCT2, HpaBC",KO
p27,10.1007.s10529-018-2580-x,BTAL02,Escherichia coli,p-coumaroylmalic acid (p-coumaroylmalic acid),210.5 mg/L,M9Y,glucose,20 g/L,"Flask, two-stage cultivation",Not mentioned,48 h,30°C,,E. coli BL21 (DE3),None mentioned,"RgTAL, HpaBC, At4CL2, HCT2","RgTAL, At4CL2, HCT2, HpaBC",KO
p27,10.1007.s10529-018-2580-x,BTAL03:BTAL04 co-culture (6:1),Escherichia coli,caffeoylmalic acid (caffeoylmalic acid),570.1 mg/L,M9Y,glucose,20 g/L,"Flask, two-stage cultivation",Not mentioned,72 h,30°C,,E. coli BL21 (DE3),"tyrR, pheA, trpE","RgTAL, HpaBC, At4CL2, HCT2","RgTAL, At4CL2, HCT2, HpaBC",yes
p27,10.1007.s10529-018-2580-x,BTAL03:BTAL04 co-culture (6:1),Escherichia coli,p-coumaroylmalic acid (p-coumaroylmalic acid),224.3 mg/L,M9Y,glucose,20 g/L,"Flask, two-stage cultivation",Not mentioned,72 h,30°C,,E. coli BL21 (DE3),"tyrR, pheA, trpE","RgTAL, HpaBC, At4CL2, HCT2","RgTAL, At4CL2, HCT2, HpaBC",yes
,,,,,,,,,,,,,,,,,,
p28,10.1007.s11274-023-03705-1,SN01-TD5-IM,Escherichia coli,4-HIL (4-hydroxyisoleucine),140.9 ± 11.5 mM,LBB medium,C6H12O6•H2O,140 g/L,500-mL shake flask,,144 h,30 °C,,C. glutamicum SN01,"ldhA, pyk2",P_brnFE_D5-ido M,,yes
p28,10.1007.s11274-023-03705-1,SC00-TD5-IM,Escherichia coli,4-HIL (4-hydroxyisoleucine),114.5 ± 12.2 mM,LBB medium,C6H12O6•H2O,140 g/L,500-mL shake flask,,144 h,30 °C,,C. glutamicum SN01,"ldhA, pyk2",P_brnFE_D5-ido M,,yes
p28,10.1007.s11274-023-03705-1,SC01-TD5-IM,Escherichia coli,4-HIL (4-hydroxyisoleucine),137.0 ± 33.9 mM,LBB medium,C6H12O6•H2O,140 g/L,500-mL shake flask,,144 h,30 °C,,C. glutamicum SN01,"ldhA, pyk2",P_brnFE_D5-ido M,,yes
p28,10.1007.s11274-023-03705-1,SC05-TD5-IM,Escherichia coli,4-HIL (4-hydroxyisoleucine),12.4 ± 1.0 mM,LBB medium,C6H12O6•H2O,140 g/L,500-mL shake flask,,144 h,30 °C,,C. glutamicum SN01,lysE,,P_brnFE_D5-ido M,KO
p28,10.1007.s11274-023-03705-1,SC06-TD5-IM,Escherichia coli,4-HIL (4-hydroxyisoleucine),67.2 ± 21.8 mM,LBB medium,C6H12O6•H2O,140 g/L,500-mL shake flask,,144 h,30 °C,,C. glutamicum SN01,lysE,,P_brnFE_D5-ido M,KO
p28,10.1007.s11274-023-03705-1,SC07-TD5-IM,Escherichia coli,4-HIL (4-hydroxyisoleucine),15.9 ± 0.9 mM,LBB medium,C6H12O6•H2O,140 g/L,500-mL shake flask,,144 h,30 °C,,C. glutamicum SN01,lysE,,P_brnFE_D5-ido M,KO
p28,10.1007.s11274-023-03705-1,SC08-TD5-IM,Escherichia coli,4-HIL (4-hydroxyisoleucine),15.2 ± 0.4 mM,LBB medium,C6H12O6•H2O,140 g/L,500-mL shake flask,,144 h,30 °C,,C. glutamicum SN01,lysE,,P_brnFE_D5-ido M,KO
,,,,,,,,,,,,,,,,,,
p29,10.1007.s12010-017-2673-3,M1,Methylobacterium extorquens,mevalonate (mevalonate),55.0 ± 1.0 mg/L,MC medium,methanol,1% (v/v),"flask culture, rotary",-,5 days,30 °C,,M. extorquens AM1,celABC,mvt3,-,yes
p29,10.1007.s12010-017-2673-3,M2,Methylobacterium extorquens,mevalonate (mevalonate),-,MC medium,methanol,1% (v/v),"flask culture, rotary",-,-,30 °C,,M. extorquens AM1,celABC,mvt3,-,titer
p29,10.1007.s12010-017-2673-3,Mvt3,Methylobacterium extorquens,mevalonate (mevalonate),-,MC medium,methanol,1% (v/v),"flask culture, rotary",-,5 days,30 °C,,M. extorquens AM1,-,mvt3,-,titer
p29,10.1007.s12010-017-2673-3,M2/pCre,Methylobacterium extorquens,mevalonate (mevalonate),-,MC medium,methanol,1% (v/v),"flask culture, rotary",-,-,30 °C,,M. extorquens AM1,celABC,mvt3,-,titer
p29,10.1007.s12010-017-2673-3,multicopy mutants (G1),Methylobacterium extorquens,mevalonate (mevalonate),110 mg/L,MC medium,methanol,1% (v/v),deep-well microplates,-,-,30 °C,,M. extorquens AM1,celABC,mvt3,-,yes
p29,10.1007.s12010-017-2673-3,multicopy mutants (G2),Methylobacterium extorquens,mevalonate (mevalonate),up to 172 mg/L,MC medium,methanol,1% (v/v),deep-well microplates,-,-,30 °C,,M. extorquens AM1,celABC,mvt3,-,yes
p29,10.1007.s12010-017-2673-3,CH69,Methylobacterium extorquens,mevalonate (mevalonate),210 mg/L,MC medium,methanol,1% (v/v),deep-well microplates,-,-,30 °C,,M. extorquens AM1,celABC,mvt3,-,yes
,,,,,,,,,,,,,,,,,,
p30,10.1007.s12257-020-0313-1,YHP05,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),"4.00 ± 0.06 g/L (flask), 38.6 g/L (30 L fed-batch)",PHE medium,glucose,700 g/L,"Flask, 5 L, 30 L fed-batch",6.8,36 h (30 L),37°C,,YHP02,"trpE, tyrA","aroG8/15, pheAfbr/dm, glk, galP, aroK, ydiB",,yes
p30,10.1007.s12257-020-0313-1,YHP06,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),3.58 g/L (flask),PHE medium,glucose,700 g/L,Flask,7.0,--,37°C,,YHP02,pykA,"aroG8/15, pheAfbr/dm",,KO OE
p30,10.1007.s12257-020-0313-1,H-01,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),3.46 g/L (flask),PHE medium,glucose,700 g/L,Flask,7.0,--,37°C,,YHP06,pykA,aroG8/15 (constitutive),,KO OE
p30,10.1007.s12257-020-0313-1,H-02,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),"3.62 g/L (flask), 30.5 g/L (5 L), 38.6 g/L (30 L)",PHE medium,glucose,700 g/L,"Flask, 5 L fed-batch, 30 L fed-batch",6.8,"38 h (5 L), 36 h (30 L)",37°C,,YHP06,pykA,"aroG8/15, galP, and glk (constitutive)",,KO OE
p30,10.1007.s12257-020-0313-1,H-03,Escherichia coli,L-phenylalanine (L-Phe) (L-phenylalanine),1.74 ± 0.02 g/L (flask),PHE medium,glucose,700 g/L,Flask,7.0,--,37°C,,YHP06,pykA,"aroG8/15, galP, glk, aroK, and ydiB (constitutive)",,KO OE
,,,,,,,,,,,,,,,,,,
p31,10.1007.s13205-020-2114-9,CCM01,Corynebacterium crenatum,l-arginine (l-arginine),12.02 g/L,LB medium,Glucose,30 g/L,"Flask, batch",7.0,108 h,30 °C,,C. crenatum MT strain CCM01,,,,KO
p31,10.1007.s13205-020-2114-9,CCM02,Corynebacterium crenatum,l-arginine (l-arginine),14.20 g/L,LB medium,Glucose,120 g/L,"Flask, batch",7.0,108 h,30 °C,,CCM01,putP,,,yes
p31,10.1007.s13205-020-2114-9,CCM03,Corynebacterium crenatum,l-arginine (l-arginine),15.27 g/L,LB medium,Glucose,120 g/L,"Flask, batch",7.0,108 h,30 °C,,CCM01,pta,,,yes
p31,10.1007.s13205-020-2114-9,CCM04,Corynebacterium crenatum,l-arginine (l-arginine),15.34 g/L,LB medium,Glucose,120 g/L,"Flask, batch",7.0,108 h,30 °C,,CCM01,cgl2310,,,yes
p31,10.1007.s13205-020-2114-9,CCM05,Corynebacterium crenatum,l-arginine (l-arginine),13.29 g/L,LB medium,Glucose,120 g/L,"Flask, batch",7.0,108 h,30 °C,,CCM01,Ncgl1221,,,yes
p31,10.1007.s13205-020-2114-9,CCM06,Corynebacterium crenatum,l-arginine (l-arginine),14.9 g/L,LB medium,Glucose,120 g/L,"Flask, batch",7.0,108 h,30 °C,,CCM05,,lysE,,yes
p31,10.1007.s13205-020-2114-9,CCM07,Corynebacterium crenatum,l-arginine (l-arginine),24.85 g/L,LB medium,Glucose,120 g/L,"Flask, batch",7.0,108 h,30 °C,,CCM06,"putP, cgl2310, pta, Ncgl1221",lysE,,yes
,,,,,,,,,,,,,,,,,,
p32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3399,Saccharomyces cerevisiae,"Ethanol, Xylitol (Ethanol, Xylitol)","Ethanol: 2.4 g/l, Xylitol: 4.5 g/l",Defined mineral medium,D-xylose,20 g/l,Batch fermentation in 2-l Biostat® A bioreactor,5.5,Varying,30°C,,S. cerevisiae USM21,,XK,"XR, XDH",yes
p32,10.1016.S1567-1356(02)00206-4,S. cerevisiae TMB 3400,Saccharomyces cerevisiae,"Ethanol, Xylitol (Ethanol, Xylitol)","Ethanol: 3.4 g/l, Xylitol: 2.5 g/l",Defined mineral medium,D-xylose,20 g/l,Batch fermentation in 2-l Biostat® A bioreactor,5.5,Varying,30°C,,S. cerevisiae TMB 3399,,XK,"XR, XDH",yes
p32,10.1016.S1567-1356(02)00206-4,P. stipitis CBS 6054,Saccharomyces cerevisiae,Ethanol (Ethanol),Ethanol: 3.7 g/l,Defined mineral medium,D-xylose,20 g/l,Batch fermentation in 2-l Biostat® A bioreactor,5.5,Varying,30°C,,,,,,yes
,,,,,,,,,,,,,,,,,,
p33,10.1016.S1567-1356(03)00155-7,CEN.PK448,Saccharomyces cerevisiae,"ethanol, glycerol (ethanol, glycerol)","0.35 g ethanol/g glucose, 0.058 g glycerol/g glucose",Minimal medium,Glucose,10 g/l,Batch and continuous cultivation,5.0,Variable,30°C,,S. cerevisiae CEN.PK113-7D,GDH1,-,-,yes
p33,10.1016.S1567-1356(03)00155-7,CEN.MS6-1A,Saccharomyces cerevisiae,"ethanol, glycerol (ethanol, glycerol)","0.35 g ethanol/g glucose, 0.058 g glycerol/g glucose",Minimal medium,Glucose,10 g/l,Batch and continuous cultivation,5.0,Variable,30°C,,S. cerevisiae CEN.PK113-7D,GLR1,-,-,yes
p33,10.1016.S1567-1356(03)00155-7,CEN.MS1-10C T1,Saccharomyces cerevisiae,-,-,Minimal medium,Glucose,10 g/l,Batch and continuous cultivation,5.0,Variable,30°C,,S. cerevisiae CEN.PK113-7D,GDH1,GDH2,-,titer
p33,10.1016.S1567-1356(03)00155-7,CEN.MS5-3A,Saccharomyces cerevisiae,-,-,Minimal medium,Glucose,10 g/l,Batch and continuous cultivation,5.0,Variable,30°C,,S. cerevisiae CEN.PK113-7D,GDH1,"GLT1, GLN1",-,titer
,,,,,,,,,,,,,,,,,,
p34,10.1016.S1875-5364(20)60005-X,DL-A008,Escherichia coli,Astaxanthin (Astaxanthin),5.88 mg/g cdw,LB,Glycerol,20 g/L,Shake-flask,7.0,66 h,30 °C,,YL-CAR002,crtX,"crtW*, crtZ",Brevundimonas sp.,hetero
p34,10.1016.S1875-5364(20)60005-X,YL-A004,Escherichia coli,Astaxanthin (Astaxanthin),1.83 mg/g cdw,LB,Glycerol,20 g/L,Shake-flask,7.0,24 h,30 °C,,YL-CAR002,crtX,"crtW*, crtZ",Pantoea agglomerans,hetero
p34,10.1016.S1875-5364(20)60005-X,RBS54,Escherichia coli,Astaxanthin (Astaxanthin),3.46 mg/g cdw,LB,Glycerol,20 g/L,Shake-flask,7.0,24 h,30 °C,,YL-A004,crtX,"crtW*, crtZ","Brevundimonas sp., Pantoea agglomerans",hetero
p34,10.1016.S1875-5364(20)60005-X,YL-CAR002,Escherichia coli,β-carotene (β-carotene),30 mg/g cdw,LB,Glycerol,20 g/L,Shake-flask,7.0,24 h,30 °C,,CAR005,crtX,-,-,titer
p34,10.1016.S1875-5364(20)60005-X,YL-Z004,Escherichia coli,Zeaxanthin (Zeaxanthin),-,LB,Glycerol,20 g/L,Shake-flask,7.0,24 h,30 °C,,YL-CAR002,crtX,crtZ,Pantoea agglomerans,hetero
p34,10.1016.S1875-5364(20)60005-X,CAR005,Escherichia coli,β-carotene (β-carotene),30.2 mg/g cdw,LB,Glycerol,20 g/L,Shake-flask,7.0,24 h,30 °C,,-,-,-,P. agglomerans,hetero
,,,,,,,,,,,,,,,,,,
p35,10.1016.j.bej.2009.04.008,B. subtilis PK,Bacillus subtilis,riboflavin (riboflavin),Increment of 25% in yield and 31% in titer,minimal medium,glucose,100 g/l,shake flasks,-,-,41°C,,B. subtilis RH13,-,-,-,titer
p35,10.1016.j.bej.2009.04.008,B. subtilis PK-F,Bacillus subtilis,riboflavin (riboflavin),Minor variability observed,minimal medium,glucose,100 g/l,shake flasks,-,-,41°C,,B. subtilis PK,-,purF,-,titer
p35,10.1016.j.bej.2009.04.008,B. subtilis PK-P,Bacillus subtilis,riboflavin (riboflavin),Increment of 25% in yield and 31% in titer,minimal medium,glucose,100 g/l,shake flasks,-,-,41°C,,B. subtilis PK,-,"purF, purM, purN, purH, purD",-,OE
,,,,,,,,,,,,,,,,,,
p36,10.1016.j.bej.2019.03.011,GSK1,Saccharomyces cerevisiae,β-amyrin (β-amyrin),2.7 mg L−1,YPD,Glucose,20 g L−1,Shake flask,-,5 days,30 °C,,INVSc1,-,βAS,βAS,yes
p36,10.1016.j.bej.2019.03.011,GSK2,Saccharomyces cerevisiae,β-amyrin (β-amyrin),3.1 mg L−1,YPD,Glucose,20 g L−1,Shake flask,-,5 days,30 °C,,INVSc1,-,"ERG1, βAS",βAS,yes
p36,10.1016.j.bej.2019.03.011,GSK3,Saccharomyces cerevisiae,β-amyrin (β-amyrin),4.25 mg L−1,YPD,Glucose,20 g L−1,Shake flask,-,5 days,30 °C,,INVSc1,-,"ERG1, βAS",βAS,yes
p36,10.1016.j.bej.2019.03.011,GSK4,Saccharomyces cerevisiae,β-amyrin (β-amyrin),8.52 mg L−1,YPD,Glucose,20 g L−1,Shake flask,-,5 days,30 °C,,INVSc1,-,"ERG1, ERG9, ERG20, IDI, βAS",βAS,yes
p36,10.1016.j.bej.2019.03.011,GSK5,Saccharomyces cerevisiae,β-amyrin (β-amyrin),9.06 mg L−1,YPD,Glucose,20 g L−1,Shake flask,-,5 days,30 °C,,INVSc1,-,"ERG1, ERG9, ERG20, IDI, HMG1, βAS",βAS,yes
p36,10.1016.j.bej.2019.03.011,GSK6,Saccharomyces cerevisiae,β-amyrin (β-amyrin),10.86 mg L−1,YPD,Glucose,20 g L−1,Shake flask,-,5 days,30 °C,,INVSc1,-,"ERG1, ERG9, ERG20, IDI, tHMG1, βAS",βAS,yes
p36,10.1016.j.bej.2019.03.011,GSK7,Saccharomyces cerevisiae,β-amyrin (β-amyrin),108.26 mg L−1,YPD,Glucose,20 g L−1,Fed-batch fermenter,6,120 h,30 °C,,INVSc1,-,"ERG1, ERG9, ERG20, IDI, tHMG1, βAS",βAS,yes
,,,,,,,,,,,,,,,,,,
p37,10.1016.j.bej.2022.108528,BSJ00,Bacillus,fengycin (fengycin),121.20 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,56 h,30 ℃,,B. subtilis 168,–,–,–,OE
p37,10.1016.j.bej.2022.108528,BSJ02,Bacillus,fengycin (fengycin),137.05 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,56 h,30 ℃,,BSJ00,–,Pylb,–,OE
p37,10.1016.j.bej.2022.108528,BSJ04,Bacillus,fengycin (fengycin),146.22 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,56 h,30 ℃,,BSJ00,fadB,–,–,yes
p37,10.1016.j.bej.2022.108528,BSJ05,Bacillus,fengycin (fengycin),170.12 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,56 h,30 ℃,,BSJ00,–,yhfL,–,yes
p37,10.1016.j.bej.2022.108528,BSJ06,Bacillus,fengycin (fengycin),184.12 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,48 h,30 ℃,,BSJ00,–,"yngH, tesA",–,yes
p37,10.1016.j.bej.2022.108528,BSJ021,Bacillus,fengycin (fengycin),156.71 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,56 h,30 ℃,,BSJ02,fadB,–,–,yes
p37,10.1016.j.bej.2022.108528,BSJ022,Bacillus,fengycin (fengycin),142.92 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,56 h,30 ℃,,BSJ021,fadB,yhfL,–,yes
p37,10.1016.j.bej.2022.108528,BSJ023,Bacillus,fengycin (fengycin),258.41 mg/L,fermentation medium,arabinose,20 g/L,batch,7.0 initial,48 h,30 ℃,,BSJ022,–,"yngH, tesA, yhfL",–,yes
,,,,,,,,,,,,,,,,,,
p38,10.1016.j.bej.2023.109026,KN0,Escherichia coli,Succinic Acid (SA) (Succinic Acid),Not provided,AM1,Glucose,"50 g/L initial, up to 130 g/L total","5-L fermenter, batch",6.8,96 hrs,37 °C,,E. coli Suc260,,,,titer
p38,10.1016.j.bej.2023.109026,KN1,Escherichia coli,Succinic Acid (SA) (Succinic Acid),Not provided,AM1,Glucose,"50 g/L initial, up to 130 g/L total","5-L fermenter, batch",6.8,96 hrs,37 °C,,E. coli Suc260,,whiB,,titer
p38,10.1016.j.bej.2023.109026,KN2,Escherichia coli,Succinic Acid (SA) (Succinic Acid),80.0 g/L,AM1,Glucose,"50 g/L initial, up to 130 g/L total","5-L fermenter, batch",6.8,96 hrs,37 °C,,E. coli Suc260,,"whiB, cti",,hetero
p38,10.1016.j.bej.2023.109026,KN3,Escherichia coli,Succinic Acid (SA) (Succinic Acid),64.1 g/L,AM1,Glucose,"50 g/L initial, up to 130 g/L total","5-L fermenter, batch",6.8,96 hrs,37 °C,,E. coli Suc260,,"whiB, cti, fabB",,hetero
p38,10.1016.j.bej.2023.109026,KN4,Escherichia coli,Succinic Acid (SA) (Succinic Acid),29.9 g/L,AM1,Glucose,"50 g/L initial, up to 130 g/L total","5-L fermenter, batch",5.6 & 6.8,96 hrs,37 °C,,E. coli Suc260,,"whiB, cti, fabA, fabB",,hetero
,,,,,,,,,,,,,,,,,,
p39,10.1016.j.biortech.2016.06.028,P0,Yarrowia lipolytica,a-farnesene (a-farnesene),0 mg/L,YPD,glucose,2% glucose,Shake flask,7,5 d,30 °C,,Y. lipolytica Po1h,,,FS from Malus x domestica,yes
p39,10.1016.j.biortech.2016.06.028,P1,Yarrowia lipolytica,a-farnesene (a-farnesene),2.75 ± 0.29 mg/L,YPD,glucose,2% glucose,Shake flask,7,5 d,30 °C,,Y. lipolytica Po1h,,,OptFS,yes
p39,10.1016.j.biortech.2016.06.028,P2,Yarrowia lipolytica,a-farnesene (a-farnesene),6.12 ± 0.32 mg/L,YPD,glucose,2% glucose,Shake flask,7,5 d,30 °C,,Y. lipolytica Po1h,,"tHMG1, OptFS-ERG20 fusion",OptFS,OE
p39,10.1016.j.biortech.2016.06.028,P3,Yarrowia lipolytica,a-farnesene (a-farnesene),21.39 ± 0.61 mg/L,YPD,glucose,2% glucose,Shake flask,7,5 d,30 °C,,Y. lipolytica Po1h,,"tHMG1, OptFS-ERG20 fusion",OptFS,yes
p39,10.1016.j.biortech.2016.06.028,P4,Yarrowia lipolytica,a-farnesene (a-farnesene),16.50 ± 0.16 mg/L,YPD,glucose,2% glucose,Shake flask,7,5 d,30 °C,,Y. lipolytica Po1h,,"tHMG1, OptFS-ERG20 fusion",OptFS,yes
p39,10.1016.j.biortech.2016.06.028,P5,Yarrowia lipolytica,a-farnesene (a-farnesene),5.14 ± 0.61 mg/L,YPD,glucose,2% glucose,Shake flask,7,5 d,30 °C,,Y. lipolytica Po1h,,"OptFS, FPPS",OptFS,OE
p39,10.1016.j.biortech.2016.06.028,P6,Yarrowia lipolytica,a-farnesene (a-farnesene),22.41 ± 0.22 mg/L,YPD,glucose,2% glucose,Shake flask,7,5 d,30 °C,,Y. lipolytica Po1h,,IDI,OptFS,OE
p39,10.1016.j.biortech.2016.06.028,P7,Yarrowia lipolytica,a-farnesene (a-farnesene),57.08 ± 1.43 mg/L,YPD,glucose,2% glucose,Batch fermentation (1.5L),7,5 d,30 °C,,Y. lipolytica Po1h,,"tHMG1, IDI, OptFS-ERG20 fusion",OptFS,yes
p39,10.1016.j.biortech.2016.06.028,P0,Yarrowia lipolytica,a-farnesene (a-farnesene),,YPD,glucose,2%,"Shake flask, batch",Not specified,5 days,30°C,,Po1h,,,FS,titer
p39,10.1016.j.biortech.2016.06.028,P1,Yarrowia lipolytica,a-farnesene (a-farnesene),2.75 ± 0.29 mg/L,YPD,glucose,2%,"Shake flask, batch",Not specified,5 days,30°C,,Po1h,,OptFS,FS,yes
p39,10.1016.j.biortech.2016.06.028,P2,Yarrowia lipolytica,a-farnesene (a-farnesene),6.12 ± 0.32 mg/L,YPD,glucose,2%,"Shake flask, batch",Not specified,5 days,30°C,,Po1h,,"tHMG1, OptFS",FS,yes
p39,10.1016.j.biortech.2016.06.028,P3,Yarrowia lipolytica,a-farnesene (a-farnesene),21.39 ± 0.61 mg/L,YPD,glucose,2%,"Shake flask, batch",Not specified,5 days,30°C,,Po1h,,"tHMG1, OptFS-ERG20 fusion",FS,yes
p39,10.1016.j.biortech.2016.06.028,P4,Yarrowia lipolytica,a-farnesene (a-farnesene),16.50 ± 0.16 mg/L,YPD,glucose,2%,"Shake flask, batch",Not specified,5 days,30°C,,Po1h,,"tHMG1, OptFS-ERG20 fusion",FS,yes
p39,10.1016.j.biortech.2016.06.028,P5,Yarrowia lipolytica,a-farnesene (a-farnesene),5.14 ± 0.61 mg/L,YPD,glucose,2%,"Shake flask, batch",Not specified,5 days,30°C,,Po1h,,"tHMG1, FPPS-OptFS free",FS,OE
p39,10.1016.j.biortech.2016.06.028,P6,Yarrowia lipolytica,a-farnesene (a-farnesene),22.41 ± 0.22 mg/L,YPD,glucose,2%,"Shake flask, batch",Not specified,5 days,30°C,,Po1h,,IDI,FS,OE
p39,10.1016.j.biortech.2016.06.028,P7,Yarrowia lipolytica,a-farnesene (a-farnesene),57.08 ± 1.43 mg/L,"YPD, PM",glucose,1.99% in PM medium,"Shake flask/batch fermentation, batch",7.0 in batch,5 days,30°C,,Po1h,,"tHMG1, IDI",FS,OE
,,,,,,,,,,,,,,,,,,
p40,10.1016.j.biortech.2023.128911,K1-C1Q1,Escherichia coli,"1,3-BDO (1,3-Butanediol)",7.6mM,"LB, M9",Glucose,30g/L,Shake flask experiments,,24h,37°C,,E. coli K12,,"Cn_phaA, Cn_phaB",Cs_bld,hetero
p40,10.1016.j.biortech.2023.128911,K1-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",25.1mM,M9,Glucose,Variable,Shake flask experiments,,24h,37°C,,E. coli K12,,"Cn_phaA, Cn_phaB, Ec_yqhD, Cs_bld",,hetero
p40,10.1016.j.biortech.2023.128911,K6-Q10,Escherichia coli,"1,3-BDO (1,3-Butanediol)",179mM,M9,Glucose,Variable,Fed-batch bioreactor,7.0 ± 0.1,36h,37°C,,E. coli K12,"adhE, poxB, ldhA, pta-ackA,","Cn_phaA, Cn_phaB, Cs_bld, Ec_yqhD",,hetero
