doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1016.j.ymben.2014.12.005,"['myo-inositol', 'myo-inositol (myo-inositol)']","['0.25g/L', '0.61g/L', '1.31g/L']",['modified MOPS'],['glucose'],['not specified'],['30'],['not specified'],"['shake flask, batch']","['Glk', 'INO1', 'Pfk', 'Pfk-I', 'Pfk-II', 'PfkA', 'Pgi', 'SspB', 'Zwf', 'galP', 'pfkA', 'pfkB', 'ptsHIcrr', 'sspB', 'tetR', 'zwf']"
10.1016.j.ymben.2015.01.007,"['10-hydroxydecanoic acid', '10-hydroxydecanoic acid (10-hydroxydecanoic acid)', '6-hydroxyhexanoic acid', '6-hydroxyhexanoic acid (6-hydroxyhexanoic acid)', '8-hydroxyoctanoic acid', '8-hydroxyoctanoic acid (8-hydroxyoctanoic acid)', 'adipic acid', 'adipic acid (adipic acid)', 'sebacic acid', 'sebacic acid (sebacic acid)', 'suberic acid', 'suberic acid (suberic acid)']","['403±24mg/L', '150±8mg/L', '61±4mg/L', '170±7mg/L', '254±13mg/L', '271±20mg/L']","['LB', 'minimal media']",['glycerol'],['N/A'],['30°C'],['microaerobic'],['shake flask'],"['AlkBGT', 'AtoB', 'BktB', 'ChnD', 'ChnE', 'YahK', 'YjgB', 'adhE', 'alkB', 'alkBGT', 'alkG', 'alkT', 'atoB', 'bktB', 'bktBCT5', 'cat', 'chnD', 'chnE', 'cymR', 'egTER', 'egTERCT5', 'fabI', 'fadA', 'fadB', 'fadBCT5', 'frdA', 'lacZYA', 'ldhA', 'poxB', 'pta', 'tesB', 'yahK', 'ydiI', 'ydiIA1', 'yjgB']"
10.1016.j.ymben.2015.03.001,"['neurosporene', 'neurosporene (neurosporene)']","['43% higher', '791% more', '843% more', '79% higher']",['2× M9 minimal'],['0.4% w/v glucose'],[''],['37°C'],['not specified'],['short batch'],"['PntAB', 'ZMO0367/Zm-zwf', 'ZMO0368/Zm-edd', 'ZMO0997/Zm-eda', 'ZMO1212/Zm-pgi', 'ZMO1478/Zm-pgl', 'Zm-eda', 'Zm-edd', 'Zm-pgl', 'Zm-zwf', 'ZmED1', 'ZmED2', 'ZmED3', 'bioA', 'bioB', 'cat', 'crtEBI', 'dxs', 'mutS', 'pgi', 'tetA', 'tetAR']"
10.1016.j.ymben.2015.03.008,"['PHBA', 'PHBA (para-hydroxybenzoic acid)']","['1.07mM', '148mg/L', '4.93mg/gglucose']",['CBS'],['Glucose'],['N/A'],['30°C'],['Aerobic'],['Shake flask'],"['AGO1', 'ALG9', 'ARO3', 'ARO4', 'ARO4K229L', 'ARO7', 'ARO7i', 'CDC19', 'CDC19i', 'DCR1', 'FAR1', 'FUS1', 'PFUS1J2', ""PFUS1J2-ARO4-CYC1t 3'"", 'PYK2', 'SST2', 'TKL1', 'TRP2', 'TRP3', 'UbiCp', 'ZWF1', 'ZWF1i', 'ubiC']"
10.1016.j.ymben.2015.03.009,"['1,4-Butanediol (BD)', '1,4-Butanediol (BD) (1,4-Butanediol)']","['0.07mol/mol of d-xylose', '0.44g/L']",['LB'],['d-xylose'],['N/A'],['37°C'],['N/A'],['Shaking flask'],"['GFP', 'Hvo B0027', 'KivD', 'MdlC', 'Xdh', 'XylX', 'YagF', 'YjhG', 'adh', 'hvo', 'kivD', 'lacI', 'luxI', 'luxR', 'mdlC', 'sadh', 'xdh', 'xdh-hvo', 'xdh-xylX', 'xylA', 'xylX', 'yagE', 'yagF', 'yjhG', 'yjhH']"
10.1016.j.ymben.2015.03.018,"['4-hydroxycoumarin', '4-hydroxycoumarin (4-hydroxycoumarin)', 'naringenin', 'resveratrol', 'resveratrol (resveratrol)']","['59.58mg/L', '270.85mg/L', '268.20mg/L', '91.31mg/L', '173.66mg/L', '158.22mg/L', '116.95mg/L', '106.95mg/L']",['M9Y'],"['N/A', 'p-coumaric acid']",['N/A'],['30'],['N/A'],['Baffled flask'],"['16sRNA', '4CL', '4CL2', 'CHI', 'CHS', 'EntC', 'PfPchB', 'PqsD', 'RFabD', 'STS', 'SdgA', 'eGFP', 'egfp', 'entC', 'fabB', 'fabD', 'fabF', 'fabH', 'pchB', 'pqsD', 'sdgA']"
10.1016.j.ymben.2015.04.005,"['isopropanol', 'isopropanol (isopropanol)']","['61.8 mM', '0.58 mol/mol glucose', '64.3 mM', '0.59 mol/mol glucose']",['M9'],['glucose'],['N/A'],['30°C'],['N/A'],['350 mL flask'],"['TetR', 'adc', 'adhE', 'atoAD', 'gltA', 'lacI', 'lux', 'luxI', 'luxR', 'tetR', 'thlA', 'yemGFP']"
10.1016.j.ymben.2015.05.005,"['3-AP', '3-AP (3-aminopropionic acid)', 'acetic acid', 'acetic acid (acetic acid)', 'fumaric acid', 'fumaric acid (fumaric acid)']","['2.59g/L', '15.6g/L', '0.34g/g glucose', '20.1g/L', '1.45g/L', '2.78g/L', '0.299g/L', '0.25g/g glucose', '3.94g/L', '1.66g/L', '1.44g/L', '3.49g/L', '0.389g fumaric acid/g glucose', '1.63g/L', '0.855g/L', '32.3g/L', '0g/L', '1.75g/L', '2.85g/L']",['modified MR medium'],['glucose'],"['6.8', '7.0']",['37'],"['-', '20-100%*', '40% maintained']","['Fed-batch Bioreactor', 'Flask']","['AspA', 'AspC', 'PPC', 'acs', 'aspA', 'aspC', 'fumA', 'fumB', 'fumC', 'iclR', 'lacI', 'panD', 'ppc', 'ptsG']"
10.1016.j.ymben.2015.06.009,"['C11 to C19 odd chain terminal alkenes', 'C11 to C19 odd chain terminal alkenes (C11 to C19 odd chain terminal alkenes)', 'C13 alkenes', 'C13 alkenes (C13 alkenes)', 'C15 alkenes', 'C15 alkenes (C15 alkenes)', 'C17 alkenes', 'C17 alkenes (C17 alkenes)']","['1.4mg/L', '1.4μg/L', '2.1mg/L', '382.8μg/L', '54.5μg/L', '3.7mg/L', '472.7μg/L']","['Refer to BY14 row', 'Rich medium', 'YPD', 'YPD+G418']","['Glucose', 'Refer to BY14 row']","['N/A', 'Refer to BY14 row', 'pH off']","['30', 'Refer to BY14 row']","['60%', 'N/A', 'Refer to BY14 row']","['Batch', 'Fed-batch', 'Refer to BY14 row']","['ACC1', 'CCP1', 'CTA1', 'CTT1', 'FAA1', 'FAA4', 'FAS1', 'FAS2', 'FOX2', 'HEM12', 'HEM2', 'HEM3', 'OleT', 'OleTBS', 'OleTCE', 'OleTJE', 'OleTJE-CO', 'OleTMC', 'OleTMP', 'OleTSM', 'OleTSP', 'POT1', 'POX1', 'ccp1', 'cta1', 'ctt1', 'faa1', 'faa4', 'oleTBS', 'oleTCE', 'oleTJE', 'oleTJE-CO', 'oleTMC', 'oleTMP', 'oleTSM', 'oleTSP']"
10.1016.j.ymben.2015.07.007,"['ethanol', 'ethanol (ethanol)', 'fumarate', 'fumarate (fumarate)', 'glycerol', 'glycerol (glycerol)']","['5.44g/L', '13.67g/L', '8.35g/L', '4.53g/L', '24.63g/L', '0.29g/g', '20.46g/L', '16.57g/L', '10.80g/L', '12.02g/L', '3.70g/L', '28.64g/L', '22.50g/L', '5.64g/L', '6.28g/L', '33.13g/L', '0.25g/g']","['not specified', 'not specified (yield on glucose)']",['glucose'],['5.5'],['30°C'],"['decreased*', 'not specified']",['shake flask'],"['ADB2', 'ADB3', 'DIC1', 'FUM1', 'GPP', 'GPP1', 'KGD2', 'KGD2-SDH1', 'KGD2-SUCLG2', 'KSSS', 'OAC1', 'P160A', 'PDC', 'PDC1', 'PDC1/5/6', 'PDC5', 'PDC6', 'RHR2', 'RoFUM1', 'RoMDH', 'RoMDH-P160A', 'RoMDH-P160A & RoPYC', 'RoPYC', 'SDH1', 'SFC1', 'SUCLG2', 'SUCLG2-SDH1', 'SpMAE1', 'THI2', 'sRNA-PDC6', 'sRNA-RHR2']"
10.1007.s00253-006-0792-9,"['l-tyrosine', 'l-tyrosine (L-tyrosine)']","['621 mg/l', '9.7 g/l', '346 mg/l', '71 to 86 mg/l', '6 mg/l', '0.1 g l-tyrosine per gram of total glucose consumed', '127 mg/l']",['modified from Gerigk et al. (2002)'],['glucose'],['6.5'],['37°C'],['≥5%'],"['3-l glass, batch', '3-l glass, fed-batch', '50-ml batch']","['AroGfbr', 'TyrAfbr', 'aroG', 'aroG WT', 'aroG fbr', 'ppsA', 'tktA', 'tyrA', 'tyrA fbr', 'tyrR']"
10.1007.s00253-007-1170-y,"['acetate', 'acetate (acetate)', 'l-alanine', 'l-alanine (L-alanine)', 'lactate', 'lactate (L-alanine)', 'succinate', 'succinate (succinate)']","['1,279 mM', '387 mM', '832 mM', '836 mM', '483 mM', '5 mM', '181 mM', '833 mM', '7 mM', '847 mM']","['AM1', 'NBS']",['glucose'],"['7', 'Not specified']",['37°C'],"['Aereobic', 'Anaerobic']",['Batch'],"['ALD', 'ackA', 'adhE', 'alaD', 'dadX', 'frdBC', 'ldhA', 'mgsA', 'pflB', 'tet']"
10.1007.s00253-007-1246-8,"['acetone', 'acetone (acetone)', 'isopropanol', 'isopropanol (isopropanol)']","['227 ± 6 mM', '51%']",['SD8 medium'],['Glucose'],"['4.6', '5.8']",['37°C'],['Aerobic'],"['Baffled flask, fed-batch']","['ADC', 'ADH', 'CTF', 'THL', 'adc', 'adh', 'ctfAB', 'thl']"
10.1007.s00253-007-1307-z,"['phenylalanine', 'phenylalanine (phenylalanine)']","['1.41 g l−1', '1.22 g l−1', '2.33 g l−1', '1.27 g l−1', '1.20 g l−1', '1.84 g l−1', '1.67 g l−1', '2.39 g l−1', '1.61 g l−1', '1.52 g l−1']",['modified'],"['glycerol, glucose']",['N/A'],['37°C'],['N/A'],['shake flask'],"['AroF', 'PheA', 'TkTA', 'TktA', 'Zwf', 'aroF', 'aroF FR', 'aroG', 'csrA', 'csrB', 'csrD', 'pheA', 'pheA FR', 'pheO', 'tkaFpA', 'tktA', 'tktA+aroF FR+pheA FR', 'trpE', 'tyrA', 'tyrR', 'zwf']"
10.1007.s00253-009-2401-1,"['3MB', '3MB (3-methyl-1-butanol)', 'isobutanol']","['2.8 g/L', '0.08 g/g', '0.04 g/g', '120 mg/L', '1.5 g/L', '4.4 g/L', '0.10 g/g', '0.45 g/L', '0.43 g/L', '9.5 g/L', '0.11 g/g', '1.1 g/L', '0.75 g/L']","['First condition mentioned for AL2', 'M9 minimal medium', 'M9 minimal medium + AZL', 'M9 minimal medium with oleyl alcohol extraction', 'Richer M9 medium (85 g/L glucose, 10 g/L yeast extract)', 'Richer M9 medium with oleyl alcohol extraction', 'Second condition for AL2 (richer medium)']",['glucose'],"['-', 'pH adjustment']","['-', '30°C', '37°C']","['-', 'aerobic']","['-', '96-well plate', 'shake flask', 'shake flask (two-phase)']","['ADH2', 'alsS', 'ilvCD', 'kivd', 'leuA(G462D)', 'leuBCD']"
10.1007.s00253-012-4308-5,"['acetate', 'acetate (acetate)', 'pDNA', 'pDNA (plasmid DNA)']","['2.6 or 1.3 mg/g DCW', '11.2 mg/g DCW', '2.2 mg/g DCW', '6.6 mg/g DCW', '19.1 mg/g DCW', '0.3 mg/g DCW', '3.6 mg/g DCW', '11.6 mg/g DCW', '5.3 or 2.5 mg/g DCW', '1.8 mg/g DCW', 'GALG1011 produced less acetate than MG1655ΔendAΔrecA in both carbon sources', '13.1 mg/g DCW', '0.9 mg/g DCW', '5.9 mg/g DCW', 'DH5α and DH5αΔpykFΔpykA produced similar amounts of acetate', '10.5 mg/g DCW', '8.6 mg/g DCW', '10.3 mg/g DCW']","['not specified', 'rich', 'rich medium']","['glucose', 'glucose, glycerol', 'glycerol']","['', '7.1']","['', '37 °C']","['', 'not specified']","['batch', 'not specified', 'shake flask']","['GALG10', 'GALG11', 'GALG20', 'MG1655ΔendAΔrecA', 'Pgi', 'endA', 'pgi', 'pykA', 'pykF', 'recA']"
10.1007.s00253-012-4618-7,"['EG (Ethylene glycol)', 'ethylene glycol (EG)', 'glycolate', 'glycolate (glycolate)']","['11.69 g L−1', '0.29 g/g d-xylose', '0.07 g/g d-xylose', '0.27 ± 0.03 U mg−1']","['Enriched medium', 'M9 minimal盐']",['d-xylose'],['7.0'],['37 °C'],"['0.5 vvm', 'Ambient']","['5-L fermenter', 'Shake flask']","['Xdh', 'XylA', 'YagE', 'YagF', 'YjhG', 'YjhH', 'YqhD', 'aldA', 'xylA', 'yagE', 'yagF', 'yjhG', 'yjhH']"
10.1007.s00253-014-6092-x,"['acetate', 'acetate (acetate)', 'itaconate', 'itaconate (itaconate)']","['1.9 mM', '690 mg/L', '0.09 mol/mol', '55 mM']",['MM'],[],['6.9'],['30 °C'],['not specified'],"['pH-controlled bioreactor, batch']","['T7 polymerase', 'acnA', 'cadA', 'gltA', 'ldhA', 'pta']"
10.1007.s00253-014-6093-9,"['1-propanol', '1-propanol (1-propanol)', 'acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'lactate', 'lactate (lactate dehydrogenase)', 'succinate', 'succinate (succinate)']","['0.55 g/L', '3.78 g/L', '8.15 g/L', '10.9 g/L', '3.45 g/L', '5.44 g/L', '0.62 g/L', '0.11 g/L', '6.76 g/L', '2.15 g/L', '2 g/L', '25 g/L', '2.05 g/L', '9.3 g/L']","['Not Specified', 'SB', 'glycerol']","['Glucose', 'Glycerol', 'glycerol']",['7.0'],['30 °C'],"['Anaerobic', 'anaerobic']","['Batch', 'Fed-batch', 'Fed-batch (Stage I)', 'fed-batch']","['Sbm', 'Sbm operon', 'adhE', 'ldhA', 'pykF', 'sbm', 'sucCD', 'ygfD', 'ygfG']"
10.1007.s00253-015-6732-9,"['acetol', 'acetol (acetol)']","['1.82 g/L', '0.71 g/L', '1.20 g/L', '0.08 g/L', '0.44 g/L', '0.25 g/g']",['M9'],"['glucose + glycerol', 'glycerol']",['~7.0'],['37'],['-'],['baffled flask'],"['gapA', 'glpK', 'glpK22', 'mgsA', 'ptsG', 'yqhD', 'zwf']"
10.1007.s00253-015-6816-6,"['acetic acid', 'acetic acid (acetic acid)', 'fumaric acid', 'fumaric acid (fumaric acid)']","['5.30 g/L', '5.00 g/L', '1.16 g/L', '4.90 g/L', '4.59 g/L', '5.75 g/L', '35.1 g/L', '5.73 g/L', '0.500 g/g·glucose', '25.5 g/L', '0.145 g/L', '0.366 g/g·glucose', '5.16 g/L', '0.436 g/g·glucose', '0.432 g/g·glucose', '0.490 g/g·glucose', '30.5 g/L', '1.44 g/L', '6.24 g/L', '0.493 g/g·glucose', '1.82 g/L', '5.79 g/L', '2.7 g/L', '2.07 g/L', '0.96 g/L', '0.431 g/g·glucose', '5.72 g/L', '3.62 g/L', '0.708 g/L']","['MR', 'MR medium', 'Modified MR medium']",['glucose'],['7.0'],['37 °C'],"['-', '40 % (v/v)']","['6.6-L jar fermentor, fed-batch', 'Flask', 'Flask culture']","['CS', 'PPC', 'ackA', 'arcA', 'aspA', 'fumA', 'fumAC', 'fumB', 'fumC', 'gltA', 'iclR', 'lacI', 'maeB', 'ppc', 'ptsG', 'sdhCDAB', 'sfcA']"
10.1007.s00449-013-1003-6,"['acetic acid', 'acetic acid (acetic acid)', 'd-galactonate', 'd-galactonate (D-galactonate)']","['0.17 g L-1', '1.24 g L-1', '0.44 g L-1', '17.6 g L−1', '17.6 g L-1']",['M9'],"['d-galactose, glucose', 'glucose, d-galactose']","['7.0', '7.5']","['34 °C', '37 °C']","['20% air sat.', 'N/A']","['5 L batch fermenter', 'shake flask']","['dgoD', 'dgoK', 'galK', 'gld']"
10.1007.s10529-014-1600-8,"['3HP', '3HP (3-hydroxypropionate)', 'P3HP', 'P3HP (poly(3-hydroxypropionate))']","['2 g l−1', '3.1 g l−1', '2 g l^-1', '0.5 g l−1', '3.1 g l^-1', '0.41 g l−1', '0.5 g l^-1', '1.6 g l−1', '1.6 g l^-1', '0.87 g l−1']",['MM'],"['20 g glycerol l^-1, 3 g glucose l^-1', '20 g glycerol l^-1, 3 g glucose l^-1 + 5 g β-alanine l^-1', 'glycerol, glucose']","['-', 'N/A']",['30 °C'],"['-', 'N/A']","['500 ml baffled Erlenmeyer flask', 'shake flask']","['ACS', 'ACS domain', 'MCR-N', 'MmsB', 'PP0596', 'PanD', 'PanM', 'PhaC1', 'PrpE', 'YdfG', 'gabT', 'mcr -N', 'mmsB', 'panD', 'panM', 'pcs’', 'pp0596', 'ydfG']"
10.1007.s11274-014-1679-z,"['shikimic acid', 'shikimic acid (shikimic acid)']","['728.9 ± 15.6 mg/l', '1,077.6 ± 43.5 mg/l']",['LB'],['sorbitol'],['N/A'],['37'],['N/A'],['shake flask'],"['GBAE', 'aroB', 'aroE', 'aroK', 'aroL', 'tktA']"
10.1007.s12010-015-1874-x,"['acetate', 'acetate (acetate)', 'alanine', 'alanine (L-alanine)']","['0.3 g/l', '114 g L-alanine/l', '120.8 g/l', 'less than 0.02 g alanine/l', '13 g/l', '96 g/100 g glucose', 'less than 0.05 g/l', '88 g/l', '89.6 g/100 g glucose', '0.05 g/l', '1.1 g/l']","['M9-1', 'mineral salts', 'not specified', 'see above']","['glucose', 'see above']","['', '7', 'see above']","['28 °C', '42 °C', '<33 °C', 'aerobic', 'anaerobic', 'see above']","['aerobic', 'anaerobic', 'oxygen-limited', 'see above']","['bioreactor', 'not specified', 'see above', 'shake flask']","['ALD', 'PoxB', 'TdcD', 'TdcE', 'ack-pta', 'adhE', 'alaD', 'cI ts857-p R -p L -alaD-FRT', 'cvrA', 'dadA', 'dadX', 'frdA', 'ldhA', 'mgsA', 'pflB']"
10.1007.s12033-013-9721-1,"['MBO', 'MBO (2-Methyl-3-buten-2-ol)']","['103.3 μl/l', '20 μl/l', '31.5 μl/l', '50.7 μl/l']","['LB broth', 'Terrific Broth']",['not specified'],['not specified'],['37 °C'],"['ambient', 'oxygen-enriched']",['sealed tube'],"['HMGS', 'MBO synthase', 'MBOS', 'P. sabiniana MBO synthase', 'S. cerevisiae mevalonate pathway genes', 'idi']"
10.1007.s00253-011-3530-x,"['P(2HB-co-3HB)', 'P(2HB-co-3HB) (poly(2-hydroxybutyrate-co-3-hydroxybutyrate))', 'P(47 mol%2HB-co-50 mol%3HB-co-3 mol%LA)', 'P(47 mol%2HB-co-50 mol%3HB-co-3 mol%LA) (Poly(47 mol% 2-hydroxybutyrate-co-50 mol% 3-hydroxybutyrate-co-3 mol% lactate))', 'PHAs', 'PHAs (Polyhydroxyalkanoates)']","['68 g/L', '33,800 (M w )', '26.7 wt.%', '68 wt.%']","['-', 'MR']","['Glucose 20 g/L, 2HB 2 g/L, 3HB 0.5 g/L', 'Glucose, 2HB 2 g/L, 3HB 2 g/L', 'Glucose, 2HB, 3HB']",['-'],['37°C'],['-'],['Batch'],"['Pct Cp', 'Pct540', 'PhaC1 Ps6-19', 'PhaC1437', 'cimA', 'cimA3.7', 'ldhA', 'leuBCD', 'panE', 'pct540', 'phaA', 'phaAB', 'phaB', 'phaC1437']"
10.1186.1475-2859-11-132,"['acetate', 'acetate (acetate)', 'pDNA', 'pDNA (plasmid DNA)']","['7.98 ± 0.10 mg/L', '7.09 ± 0.10 mg/L', '1.14 ± 0.10 mg/L', '0.14 ± 0.01 g/L', '8.8 ± 0.22 mg/L', '12.73 ± 0.10 mg/L', '0.66 ± 0.02 g/L', '8.67 ± 0.10 mg/L', '0.08 ± 0.01 g/L', '6.25 ± 0.10 mg/L', '70 ± 4 mg/L', '186 ± 15 mg/L', '2.78 ± 0.10 mg/L', '0.62 ± 0.04 g/L', '9.5 ± 0.8 g/L', '2.2 ± 0.1 g/L', '4.12 ± 0.20 mg/g']","['3 L bioreactor, 100 g/L', '3 L bioreactor, 5 g/L', 'Mineral medium with 100 g/L glucose', 'Mineral medium with 5 g/L glucose', 'shake flask']","['Glucose', 'glucose']","['6.8+', '7.2', 'Above 6.8']",['37°C'],"['200 rpm', '>30% DOT', 'Above 30% DOT']","['3 L bioreactor, batch', 'Shake flask', 'batch', 'shake flask']","['deoR', 'endA', 'lacI', 'lacZ', 'nupG', 'ptsH', 'ptsI', 'recA', 'recB', 'recC', 'recD', 'recF', 'recJ', 'recO', 'topA']"
10.1186.1475-2859-11-153,"['4-coumaric acid', '4-coumaric acid (4-coumaric acid)', 'caffeic acid', 'caffeic acid (caffeic acid)', 'ferulic acid', 'ferulic acid (ferulic acid)', 'tyrosine', 'tyrosine (L-tyrosine)']","['59 ± 7 mg/L', '150 ± 8 mg/L', '73 ± 15 mg/L', '40 ± 16 mg/L', '42 ± 19 mg/L', '805 ± 41 mg/L', '28 ± 10 mg/L', '14 ± 2 mg/L', '38 ± 2 mg/L', '~400 mg/L', '974 ± 30 mg/L', '196 ± 26 mg/L', '244% higher', '129 ± 26 mg/L', '187 ± 12 mg/L', '10 mg/L', '144 ± 14 mg/L']","['M9 minimal', 'M9 modified']",['Glucose'],['N/A'],"['26°C', 'N/A']",['N/A'],['Batch'],"['Sam5', 'T5', 'T5M', 'TAL', 'aroGfbr', 'com', 'opT5', 'opT5M', 'opTAL', 'optall', 'sam5', 'tal', 'tyrAfbr', 'tyrR']"
10.1186.1475-2859-11-155,"['acetate', 'ethanol', 'ethanol (ethanol)', 'glycerol', 'glycerol (glycerol)', 'naringenin', 'naringenin (naringenin)']","['0.002 ± 0.000 g·g-1', '0.006 ± 0.000 g·g-1', '0.002 ± 0.000 (g·g-1)']",['synthetic'],"['glucose', 'glucose + ethanol']",['5.0'],['30°C'],['aerobic'],['batch'],"['4CL1', '4CL2', '4CL3', '4CL4', 'ARO10', 'ARO3', 'ARO4', 'ARO4G226S', 'ARO4G226Saro10', 'C4H', 'CHI1', 'CHI3', 'CHS1', 'CHS3', 'CPR1', 'CPR2', 'DAHP synthase', 'PAL1', 'PAL2', 'PDC1', 'PDC5', 'PDC6', 'PYK2', 'aro10', 'aro3', 'aro3Δ', 'at4CL3', 'atCHI1', 'atCHS3', 'atPAL1', 'coC4H', 'coCHS3', 'coCPR', 'coCPR1', 'cotal1', 'pdc5', 'pdc6', 'tal1']"
10.1186.1475-2859-12-56,"['L(-)-carnitine', 'L(-)-carnitine (L-(-)-carnitine)', 'acetate', 'acetate (acetate)', 'succinate', 'succinate (succinic acid)']","['20.7 mM', '16.4 mM', '13.9 mM', '92%', '12.2 mM', '28.7 mM', '70%', '10.2 mM', '18.1 mM', '31.2 mM', '46 mM', '8.3 mM', '21.7 mM']","['LB-CB', 'LB-CB+12.5 mM fumarate']",['crotonobetaine'],['7.5'],['37°C'],"['aerobic', 'anaerobic']",['shake flask'],"['aceA', 'aceK', 'cai operon', 'cai/fix', 'caiA', 'caiB', 'caiC', 'caiF', 'caiT', 'caiTABCDE', 'fhl', 'fix operon']"
10.1186.1475-2859-12-7,"['D-lactate', 'D-lactate (D-lactate)', 'L-lactate', 'L-lactate (L-lactate)', 'acetate', 'acetate (acetate)']","['50 g/liter', '9 g/liter', '0.82 g L-lactate/g glycerol', '0.61 g/g glycerol', '0.19 g/L/h', '0.56 g/g glycerol', '0.3 g/L', '35.1 g/liter', '0.90 g L-lactate/g glycerol', '13.7 g/L', '~0.1 g/liter', '33 g/liter', '0.86 g L-lactate/g of glycerol', '0.25 g/L/h', '0.74 g L-lactate/g glycerol']","['Minimal medium', 'Minimal medium (crude)']","['Crude glycerol', 'Glycerol']",['6.38'],['37°C'],['Microaerobic'],['Shake flask'],"['aceEF', 'adhE', 'dhaKLM', 'frdA', 'gldA', 'glpD', 'glpK', 'ldh', 'ldhA', 'ldhAldh', 'lldD', 'lpdA', 'mgsA', 'pflB', 'pta']"
10.1186.1475-2859-13-64,"['1,3-PDO', '1,3-PDO (1,3-propanediol)', '3HP', '3HP (3-hydroxypropionic acid)', 'acetate', 'acetate (acetate)', 'lactate', 'lactate (lactate)', 'methylglyoxal', 'methylglyoxal (methylglyoxal)', 'succinate', 'succinate (succinate)']","['14.7 ± 7.0 C-mol%', '5.9 ± 0.5 C-mol%', '42 g/L', '0.60 mM', '33.9 ± 1.2 C-mol%', '8.2 ± 9.9 C-mol%', '4.6 ± 0.8% C-mol%', '20.1 ± 9.2 C-mol%', '9.9 ± 1.8 C-mol%', '0.9 ± 0.1 C-mol%', '0.22 mM', '37.7 ± 13.2 C-mol%', '0.03 mM', '22.9 ± 5.2 C-mol%']",['M9 with supplements'],['glycerol'],['7.0'],['37°C'],['microaerobic'],['500 mL flask'],"['aldH', 'dhaB', 'dhaB1', 'dhaB2', 'dhaB3', 'edd', 'gdrA', 'gdrAB', 'gdrB', 'pgi', 'tpiA', 'yqhD', 'zwf']"
10.1186.1475-2859-7-36,"['n-butanol', 'n-butanol (n-butanol)']","['2.5 mg/L', '1 mg/L']",['SD'],['2% galactose'],['N/A'],['30°C'],['Semi-anaerobic'],['Capped serum vials'],"['Adhe2', 'AtoB', 'Ccr', 'Crt', 'ERG10', 'Erg10', 'Hbd', 'PhaA', 'PhaB', 'adhe2', 'bcd', 'ccr', 'crt', 'etfA', 'etfAB', 'etfB', 'hbd', 'phaA', 'phaB']"
10.1186.1475-2859-9-21,"['DAHP', 'DAHP (3-deoxy-D-arabino-heptulosonate 7-phosphate)', 'DHS', 'DHS (Dihydroshikimic acid)', 'GA', 'GA (Gentamicin)', 'SA', 'SA (shikimic acid)']","['2.8 g/L', '0.11 mol SA/mol', '0.21 mol/mol', '5.1 g/L', '0.29 mol SA/mol', '0.3 g/L', '7.1 g/L', '1.71 g/L']",['mineral broth'],['glucose'],['7.0'],['37°C'],['20% air saturation'],['batch'],"['DAHPS', 'aroB', 'aroE', 'aroGfbr', 'aroGfbrtktA', 'aroK', 'aroL', 'pykA', 'pykF', 'tktA']"
10.1186.1475-2859-9-96,"['3HB', '3HV', '3HV (3-hydroxyvalerate)', 'acetate', 'acetate (acetate)', 'threonine']","['0.50 g/L', '0.91 g/L', '0.96 g/L', '0.38 g/L', '0.19 g/L', '0.60 g/L', '0.22 g/L', '1.85 g/L', '2.04 g/L', '0.11 g/L', '0.27 g/L', '0.31 g/L', '1.02 g/L', '0.08 g/L']",['LB'],"['20 g/L glucose', '20 g/L glycerol', '20 mM sodium propionate + 20 g/L glucose', '3 g/L sodium 2-ketobutyrate + 20 g/L glucose', '3 g/L threonine + 20 g/L glucose', 'glucose']","['-', 'N/A']",['30°C'],"['-', 'ambient']","['Shake flask, batch', 'shake flask']","['PhaB', 'Ptb-Buk', 'TesB', 'ackA-pta', 'atoB', 'atoDA', 'bktB', 'endA', 'hbd', 'ilvA', 'metA', 'phaB', 'poxB', 'ptb-buk', 'recA', 'tdh', 'tesB', 'thrABC', 'thrAG1297A', 'thrAG1297ABC', 'thrAG1997ABC']"
10.1186.1754-6834-6-60,"['α-pinene', 'α-pinene (α-pinene)']","['5.44 mg/L', '0.97 g/L']","['fermentor', 'shake-flask']",['glucose'],"['7.0', 'not specified']",['30°C'],"['maintained at 20% saturation', 'not specified']","['batch', 'fed-batch']","['ERG12', 'ERG19', 'ERG8', 'GPPS', 'GPPS2', 'IDI1', 'IspA', 'MvaE', 'MvaS', 'Pt30', 'ispA', 'mvaE', 'mvaS', 'α-pinene synthase']"
