paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p32,10.1016.j.ymben.2015.01.007,JC01 (DE3) bktBCT5 fadBCT5 ΔfadA egTERCT5 ydiIA1 ΔtesB,Pseudomonas putida,C6-C10 carboxylic acids (C6-C10 carboxylic acids),~1.1g/L,Rich (LB),Glycerol,20g/L,"Shake flask, no feed",Not specified,72h,30°C,JC01 (DE3) ΔldhA Δpta ΔpoxB ΔadhE ΔfrdA,fadA,"bktB, egTER, ydiI",alkBGT (in plasmid)
p32,10.1016.j.ymben.2015.01.007,JC01 (DE3) bktBCT5 fadBCT5 ΔfadA egTERCT5 ydiIA1 ΔtesB,Pseudomonas putida,C6-C10 ω-hydroxyacids (C6-10 ω-hydroxyacids),>800mg/L,Minimal,Glycerol,20g/L,"Shake flask, no feed",Not specified,96h,30°C,JC01 (DE3) ΔldhA Δpta ΔpoxB ΔadhE ΔfrdA,fadA,"bktB, egTER",alkBGT (in plasmid)
p32,10.1016.j.ymben.2015.01.007,JC01 (DE3) bktBCT5 fadBCT5 ΔfadA egTERCT5 ydiIA1 ΔtesB,Pseudomonas putida,C6-C10 dicarboxylic acids (C6-C10 dicarboxylic acids),~400mg/L,Rich (LB),Glycerol,20g/L,"Shake flask, no feed",Not specified,72h,30°C,JC01 (DE3) ΔldhA Δpta ΔpoxB ΔadhE ΔfrdA,fadA,"bktB, egTER","alkBGT, chnD, chnE (in plasmids)"
p33,10.1016.j.ymben.2015.03.001,ED13,Escherichia coli,neurosporene (neurosporene),79% higher than EcNR2,2× M9 minimal media,glucose,0.4% w/v,batch,not specified,10h,37°C,EcNR2,-,"crtEBI operon (dxs, idi, crtE, crtB, crtI) from Rhodobacter sphaeroides",-
p33,10.1016.j.ymben.2015.03.001,ED1.0,Escherichia coli,neurosporene (neurosporene),43% higher than EcNR2,2× M9 minimal media,glucose,0.4% w/v,batch,not specified,10h,37°C,EcNR2,-,"crtEBI operon (dxs, idi, crtE, crtB, crtI) from Rhodobacter sphaeroides",-
p33,10.1016.j.ymben.2015.03.001,EcNR2 pgi-,Escherichia coli,neurosporene (neurosporene),24% higher than EcNR2,2× M9 minimal media,glucose,0.4% w/v,batch,not specified,10h,37°C,EcNR2,pgi,-,-
p33,10.1016.j.ymben.2015.03.001,"ED2, ED5, ED11",Escherichia coli,neurosporene (neurosporene),4% to 15% lower than EcNR2,2× M9 minimal media,glucose,0.4% w/v,batch,not specified,10h,37°C,EcNR2,-,"crtEBI operon (dxs, idi, crtE, crtB, crtI) from Rhodobacter sphaeroides",-
p33,10.1016.j.ymben.2015.03.001,ED11 in EcIF15,Escherichia coli,neurosporene (neurosporene),"1336% increase from EcNR2, 97% increase from EcIF15",2× M9 minimal media,glucose,"0.4% w/v, with arabinose",batch,not specified,10h,37°C,EcIF15,-,"dxs (endogenous, enhanced), PBAD-crtEBI operon","Zm-zwf, Zm-edd, Zm-eda (from Entner-Doudoroff pathway)"
p34,10.1016.j.ymben.2015.03.008,PHB10,Saccharomyces cerevisiae,para-hydroxybenzoic acid (PHBA) (para-hydroxybenzoic acid (PHBA)),1.07 mM (148 mg/L),CBS,glucose,"20 g/L initial, 10 g/L spike",shake flask,not specified,72 h,30°C,PHB03,-,"ARO4K229L, TKL1, ubiC",E. coli ubiC
p34,10.1016.j.ymben.2015.03.008,PHB04,Saccharomyces cerevisiae,PHBA (para-hydroxybenzoic acid),46 µM,CBS,glucose,20 g/L,shake flask,not specified,not specified,30°C,PHB03,-,ubiC,E. coli ubiC
p34,10.1016.j.ymben.2015.03.008,PHB06,Saccharomyces cerevisiae,PHBA (para-hydroxybenzoic acid),297 µM,CBS,glucose,20 g/L,shake flask,not specified,not specified,30°C,PHB04,-,ARO4K229L,E. coli ubiC
p34,10.1016.j.ymben.2015.03.008,PHB07,Saccharomyces cerevisiae,PHBA (para-hydroxybenzoic acid),534 µM,CBS,glucose,20 g/L,shake flask,not specified,not specified,30°C,PHB06,ARO7i,-,E. coli ubiC
p34,10.1016.j.ymben.2015.03.008,PHB08,Saccharomyces cerevisiae,PHBA (para-hydroxybenzoic acid),795 µM,CBS,glucose,20 g/L,shake flask,not specified,not specified,30°C,PHB07,-,TKL1,E. coli ubiC
p34,10.1016.j.ymben.2015.03.008,PHB09,Saccharomyces cerevisiae,PHBA (para-hydroxybenzoic acid),760 µM,CBS,glucose,20 g/L,shake flask,not specified,not specified,30°C,PHB08,-,-,E. coli ubiC
p34,10.1016.j.ymben.2015.03.008,PHB10,Saccharomyces cerevisiae,PHBA (para-hydroxybenzoic acid),1.07 mM,CBS,glucose,"20 g/L, 10 g/L spike",shake flask,not specified,72 h,30°C,PHB09,CDC19i,-,E. coli ubiC
p35,10.1016.j.ymben.2015.03.018,E. coli BW25113 + pZE-asfabD(100) + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),270.85 mg/L,M9Y,Glycerol,20 g/L,"Baffled flask, batch",Not specified,24 h,30°C,BW25113,fabD (downregulated),,"EntC, PfPchB, PqsD, SdgA"
p35,10.1016.j.ymben.2015.03.018,E. coli BW25113 + pZE-PT + pCS-EPPS,Escherichia coli,4-hydroxycoumarin (4-hydroxycoumarin),106.95 mg/L,M9Y,Glycerol,20 g/L,"Baffled flask, batch",Not specified,24 h,30°C,BW25113,,,"EntC, PfPchB, PqsD, SdgA"
p35,10.1016.j.ymben.2015.03.018,E. coli BW25113 + pZE-asfabD(100) + pCS-STS-4CL,Escherichia coli,Resveratrol (Resveratrol),268.20 mg/L,M9Y,Glycerol + p-coumaric acid,20 g/L + 1 mM,"Baffled flask, batch",Not specified,24 h,30°C,BW25113,fabD (downregulated),,"STS, 4CL"
p35,10.1016.j.ymben.2015.03.018,E. coli BW25113 + pZE-PT + pCS-STS-4CL,Escherichia coli,Resveratrol (Resveratrol),158.22 mg/L,M9Y,Glycerol + p-coumaric acid,20 g/L + 1 mM,"Baffled flask, batch",Not specified,24 h,30°C,BW25113,,,"STS, 4CL"
p35,10.1016.j.ymben.2015.03.018,E. coli BW25113 + pZE-asfabD(100) + pCS-CHI-CHS-4CL,Escherichia coli,Naringenin (Naringenin),91.31 mg/L,M9Y,Glycerol,20 g/L,"Baffled flask, batch",Not specified,24 h,30°C,BW25113,fabD (downregulated),,"CHI, CHS, 4CL"
p35,10.1016.j.ymben.2015.03.018,E. coli BW25113 + pZE-PT + pCS-CHI-CHS-4CL,Escherichia coli,Naringenin (Naringenin),59.58 mg/L,M9Y,Glycerol,20 g/L,"Baffled flask, batch",Not specified,24 h,30°C,BW25113,,,"CHI, CHS, 4CL"
p36,10.1016.j.ymben.2015.04.005,TA2445,Escherichia coli,isopropanol (isopropanol),61.8-64.3 mM,M9,glucose,20 g/L,batch,not specified,24 h,30°C,BW25113 ΔlacI ΔgltA,gltA,"luxI, luxR, isopropanol pathway enzymes (thlA, atoAD, adc, adhE)",isopropanol production enzymes from different sources
p37,10.1016.j.ymben.2015.05.005,E. coli W3110,Escherichia coli,3-aminopropionic acid (3-AP) (3-aminopropionic acid),0.299 g/L,Modified MR,Glucose,"15 g/L (flask), 20 g/L (fed-batch)",Flask,6.8,24 h,37°C,E. coli W3110,-,panD (C. glutamicum),-
p37,10.1016.j.ymben.2015.05.005,CWF4NA,Escherichia coli,3-AP (3-aminopropionic acid),0.855 g/L,Modified MR,Glucose,"15 g/L (flask), 20 g/L (fed-batch)",Flask,6.8,-,37°C,CWF4N,"iclR, fumC, fumA, fumB","aspA (native promoter replaced with trc), panD (C. glutamicum)",-
p37,10.1016.j.ymben.2015.05.005,CWF4NA2 (Fed-batch),Escherichia coli,3-AP (3-aminopropionic acid),32.3 g/L,Modified MR,Glucose,"20 g/L initial, fed","6.6-L Bioreactor, Fed-batch",7.0,39 h,37°C,CWF4NA,"iclR, fumC, fumA, fumB","aspA (native promoter replaced with trc), panD (C. glutamicum)",acs (native promoter replaced with trc)
p38,10.1016.j.ymben.2015.07.007,TGFA091-1,yeast,fumarate (fumarate),8.35 g/L,-,glucose,100 g/L,shake flask,5.5,-,30°C,TGFA091,"THI2, FUM1","RoPYC, RoMDH, RoFUM1","RoPYC, RoMDH, RoFUM1"
p38,10.1016.j.ymben.2015.07.007,TGFA091-2,yeast,fumarate (fumarate),10.80 g/L,-,glucose,100 g/L,shake flask,5.5,-,30°C,TGFA091-1,-,RoFUM1 (P160A mutant),RoFUM1 (P160A)
p38,10.1016.j.ymben.2015.07.007,TGFA091-4,yeast,fumarate (fumarate),6.28 g/L,-,glucose,100 g/L,shake flask,5.5,-,30°C,TGFA091,-,RoMDH-P160A,RoMDH-P160A
p38,10.1016.j.ymben.2015.07.007,TGFA091-6,yeast,fumarate (fumarate),12.02 g/L,-,glucose,100 g/L,shake flask,5.5,-,30°C,TGFA091-4,-,"RoFUM1 (P160A), KGD2-SUCLG2","RoFUM1 (P160A), KGD2-SUCLG2"
p38,10.1016.j.ymben.2015.07.007,TGFA091-12,yeast,fumarate (fumarate),20.46 g/L,-,glucose,100 g/L,shake flask,5.5,-,30°C,TGFA091-7,-,"Optimized RoMDH-P160A, KGD2-SUCLG2, SDH1","RoMDH-P160A, KGD2-SUCLG2, SDH1"
p38,10.1016.j.ymben.2015.07.007,TGFA091-14,yeast,fumarate (fumarate),28.64 g/L,-,glucose,100 g/L,shake flask,5.5,-,30°C,TGFA091,-,"RoPYC, RoMDH-P160A (with DNA scaffold 1:2)","RoPYC, RoMDH-P160A"
p38,10.1016.j.ymben.2015.07.007,TGFA091-16,yeast,fumarate (fumarate),33.13 g/L,-,glucose,100 g/L,shake flask,5.5,-,30°C,TGFA091-14,-,"RoPYC, RoMDH-P160A, sRNA-RHR2, sRNA-PDC6","RoPYC, RoMDH-P160A, sRNA-RHR2, sRNA-PDC6"
p39,10.1007.s00253-006-0792-9,E. coli T1,Escherichia coli,L-tyrosine (L-tyrosine),"346 mg/l (batch), 3.8 g/l (fed-batch)",MOPS-buffered minimal medium,glucose,"5 g/l (batch), variable (fed-batch)","3-l glass vessel, fed-batch",6.5,not specified,37°C,E. coli K12 ΔtyrR,tyrR,"tyrA fbr, aroG fbr",-
p39,10.1007.s00253-006-0792-9,E. coli T2,Escherichia coli,L-tyrosine (L-tyrosine),"621 mg/l (batch), 9.7 g/l (fed-batch)",MOPS-buffered minimal medium,glucose,"5 g/l (batch), variable (fed-batch)","3-l glass vessel, fed-batch",6.5,not specified,37°C,E. coli T1,tyrR,"tyrA fbr, aroG fbr, ppsA, tktA",-
p40,10.1007.s00253-007-1170-y,XZ111,Escherichia coli,L-alanine (L-alanine),181 mM,NBS,glucose,20 g L<sup>-1</sup>,Batch,Automatically controlled,96 h,37°C,E. coli SZ194,-,-,alaD (Geobacillus stearothermophilus)
p40,10.1007.s00253-007-1170-y,XZ132,Escherichia coli,L-alanine (L-alanine),"1,279 mM (114 g L<sup>-1</sup>)",AM1,glucose,120 g L<sup>-1</sup>,Batch,Automatically controlled,48 h,37°C,XZ131,"mgsA, dadX",-,alaD (Geobacillus stearothermophilus)
p41,10.1007.s00253-007-1307-z,NST [pCsrB],Escherichia coli,phenylalanine (phenylalanine),2.33 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,-,csrB,-
p41,10.1007.s00253-007-1307-z,NSTCSRA [pTktA],Escherichia coli,phenylalanine (phenylalanine),2.39 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,csrA,tktA,-
p41,10.1007.s00253-007-1307-z,NSTCSRA,Escherichia coli,phenylalanine (phenylalanine),1.67 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,csrA,-,-
p41,10.1007.s00253-007-1307-z,NSTCSRD,Escherichia coli,phenylalanine (phenylalanine),1.61 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,csrD,-,-
p41,10.1007.s00253-007-1307-z,NSTCSRACSRD,Escherichia coli,phenylalanine (phenylalanine),1.41 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,"csrA, csrD",-,-
p41,10.1007.s00253-007-1307-z,NST [pZwf],Escherichia coli,phenylalanine (phenylalanine),1.27 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,-,zwf,-
p41,10.1007.s00253-007-1307-z,NSTCSRA [pZwf],Escherichia coli,phenylalanine (phenylalanine),1.61 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,csrA,zwf,-
p41,10.1007.s00253-007-1307-z,NSTCSRA [pTkaFpA],Escherichia coli,phenylalanine (phenylalanine),1.84 g l⁻¹,modified Backman & Balakrishnan,"glycerol, glucose","1.5% v/v glycerol, 0.25% glucose","shake flask, batch",not specified,48 h,37°C,NST,csrA,"tktA, aroF FR, pheA FR",-
p42,10.1007.s00253-009-2401-1,JCL16,Escherichia coli,-,-,M9,Glucose,40 g/L,"Shake flask, batch",-,-,37°C,-,-,-,-
p42,10.1007.s00253-009-2401-1,AL1,Escherichia coli,3-methyl-1-butanol (3-methyl-1-butanol),0.75 g/L,M9,Glucose,30 g/L,"Shake flask, batch",-,24 h,30°C,JCL16,-,"kivd, ADH2","alsS (B. subtilis), ilvCD (E. coli), leuA(G462D) (E. coli), leuBCD (E. coli)"
p42,10.1007.s00253-009-2401-1,AL2,Escherichia coli,3-methyl-1-butanol (3-methyl-1-butanol),1.5 g/L,M9,Glucose,30 g/L,"Shake flask, batch",-,24 h,30°C,AL1,-,"kivd, ADH2","alsS (B. subtilis), ilvCD (E. coli), leuA(G462D) (E. coli), leuBCD (E. coli)"
p42,10.1007.s00253-009-2401-1,AL2,Escherichia coli,3-methyl-1-butanol (3-methyl-1-butanol),9.5 g/L,M9 with oleyl alcohol,Glucose,85 g/L,"Shake flask, batch",-,60 h,37°C,AL1,-,"kivd, ADH2","alsS (B. subtilis), ilvCD (E. coli), leuA(G462D) (E. coli), leuBCD (E. coli)"
p43,10.1007.s00253-012-4308-5,GALG20 (MG1655ΔendAΔrecAΔpgi),E. coli,pDNA (plasmid DNA),19.1 mg/g DCW,glucose,20 g/L,"shake flask, batch",-,-,24 h,37 °C,MG1655ΔendAΔrecA,pgi,-,-
p43,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),0.8 mg/g DCW,glucose,20 g/L,"shake flask, batch",-,-,24 h,37 °C,MG1655ΔendAΔrecA,-,-,-
p43,10.1007.s00253-012-4308-5,GALG20 (MG1655ΔendAΔrecAΔpgi),E. coli,pDNA (plasmid DNA),11.6 mg/g DCW,glucose,5 + 10 g/L,"shake flask, batch",-,-,24 h,37 °C,MG1655ΔendAΔrecA,pgi,-,-
p43,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),3.6 mg/g DCW,glucose,5 + 10 g/L,"shake flask, batch",-,-,24 h,37 °C,MG1655ΔendAΔrecA,-,-,-
p43,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,E. coli,pDNA (plasmid DNA),11.2 mg/g DCW,glycerol,20 g/L,"shake flask, batch",-,-,24 h,37 °C,MG1655ΔendAΔrecA,-,-,-
p43,10.1007.s00253-012-4308-5,GALG20 (MG1655ΔendAΔrecAΔpgi),E. coli,pDNA (plasmid DNA),similar to 11.2 mg/g DCW,glycerol,20 g/L,"shake flask, batch",-,-,24 h,37 °C,MG1655ΔendAΔrecA,pgi,-,-
p44,10.1007.s00253-012-4618-7,EWE1,Escherichia coli,EG (ethylene glycol),Low,M9,D-xylose,4 g L^-1,Shake flask,-,60 h,37 °C,E. coli W3110,-,Xdh,-
p44,10.1007.s00253-012-4618-7,EWE2,Escherichia coli,EG (ethylene glycol),Increased,M9,D-xylose,4 g L^-1,Shake flask,-,60 h,37 °C,E. coli W3110∆xylA,xylA,Xdh,-
p44,10.1007.s00253-012-4618-7,EWE3,Escherichia coli,EG (ethylene glycol),11.7 g L^-1,M9,D-xylose,4 g L^-1,5-L fermenter,7.0,48 h,37 °C,E. coli W3110∆xylA,xylA,"Xdh, YqhD",Xdh (Caulobacter crescentus)
p44,10.1007.s00253-012-4618-7,EWE4,Escherichia coli,EG (ethylene glycol),Decreased,M9,D-xylose,40 g L^-1,5-L fermenter,7.0,-,37 °C,E. coli W3110∆xylA∆aldA,"xylA, aldA","Xdh, YqhD",Xdh (Caulobacter crescentus)
p45,10.1007.s00253-014-6092-x,E. coli BW25113 (DE3) (pKV-C),Escherichia coli,itaconate (itaconate),240 mg/L,M9 minimal medium (MM),glucose,50 mM,batch,6.9,17 h,30 °C,E. coli BW25113 (DE3),-,cadA,cadA from A. terreus
p45,10.1007.s00253-014-6092-x,E. coli BW25113 (DE3) Δpta ΔldhA (pKV-CGA),Escherichia coli,itaconate (itaconate),690 mg/L,M9 minimal medium (MM),glucose,50 mM,batch,6.9,-,30 °C,E. coli BW25113 (DE3),"pta, ldhA","cadA, acnA, gltA","cadA from A. terreus, acnA, gltA from C. glutamicum"
p46,10.1007.s00253-015-6732-9,HJ01,Escherichia coli,acetol (acetol),0.08 g/L,M9 minimal,glycerol,2 g/L,batch,~7,72 h,37 °C,BW25113,-,yqhD,-
p46,10.1007.s00253-015-6732-9,HJ02,Escherichia coli,acetol (acetol),0.44 g/L,M9 minimal,glycerol,2 g/L,batch,~7,72 h,37 °C,HJ01,glpK,yqhD,glpK22 (from Lin 43)
p46,10.1007.s00253-015-6732-9,HJ04,Escherichia coli,acetol (acetol),1.20 g/L,M9 minimal,glucose + glycerol,2 g/L each,batch,~7,-,37 °C,HJ02,ptsG,yqhD,-
p46,10.1007.s00253-015-6732-9,HJ05,Escherichia coli,acetol (acetol),1.82 g/L,M9 minimal,glucose + glycerol,2 g/L each,batch,~7,-,37 °C,HJ04,"ptsG, gapA (silenced)",yqhD,-
p47,10.1007.s00253-015-6816-6,CWF4N,Escherichia coli,fumaric acid (fumaric acid),5.30 g/L,MR medium,glucose,15 g/L,shake flask,7.0,24 h,37 °C,E. coli W3110,ptsG,PPC,-
p47,10.1007.s00253-015-6816-6,CWF4N + pSynPPC18,Escherichia coli,fumaric acid (fumaric acid),5.72 g/L,MR medium,glucose,15 g/L,shake flask,7.0,24 h,37 °C,CWF4N,-,PPC,-
p47,10.1007.s00253-015-6816-6,CWF4NS,Escherichia coli,fumaric acid (fumaric acid),5.75 g/L,MR medium,glucose,15 g/L,shake flask,7.0,24 h,37 °C,CWF4N,sdhC promoter replaced,PPC,-
p47,10.1007.s00253-015-6816-6,CWF4NSA,Escherichia coli,fumaric acid (fumaric acid),30.5 g/L,MR medium,glucose,20 g/L,fed-batch,7.0,27 h,37 °C,CWF4NS,aspA,"PPC, CS",-
p47,10.1007.s00253-015-6816-6,CWF4NSA + aspartate,Escherichia coli,fumaric acid (fumaric acid),35.1 g/L,MR medium modified,glucose,20 g/L + fed-batch,fed-batch,7.0,-,37 °C,CWF4NSA,aspA,"PPC, CS",-
p48,10.1007.s00449-013-1003-6,EWG1,Escherichia coli,D-galactonate (D-galactonate),0.17 g L<sup>-1</sup>,M9 minimal salts,D-galactose,2 g L<sup>-1</sup>,shake flask,-,72 h,37 °C,E. coli BW25113 (DE3),-,gld from P. syringae,gld
p48,10.1007.s00449-013-1003-6,EWG2,Escherichia coli,D-galactonate (D-galactonate),0.44 g L<sup>-1</sup>,M9 minimal salts,D-galactose,2 g L<sup>-1</sup>,shake flask,-,-,37 °C,E. coli BW25113 (DE3),galK,gld from P. syringae,gld
p48,10.1007.s00449-013-1003-6,EWG3,Escherichia coli,D-galactonate (D-galactonate),1.24 g L<sup>-1</sup>,M9 minimal salts,D-galactose,2 g L<sup>-1</sup>,shake flask,7.5,-,37 °C,E. coli ∆galK,dgoK,gld from P. syringae,gld
p48,10.1007.s00449-013-1003-6,EWG3,Escherichia coli,D-galactonate (D-galactonate),17.6 g L<sup>-1</sup>,M9 minimal salts,D-galactose + D-glucose,20 g L<sup>-1</sup> each,5 L fermenter,7.5,72 h,37 °C → 34 °C,E. coli ∆galK∆dgoK,dgoK,gld from P. syringae,gld
p49,10.1007.s10529-014-1600-8,Q1911,Escherichia coli,P3HP (poly(3-hydroxypropionate)),0.5 g L-1,minimal medium (MM),glycerol and glucose,"20 g L-1 glycerol, 3 g L-1 glucose",shake flask,not specified,48 h,30 °C,E. coli JM109 (DE3),none,"PanD, PanM, PP0596, YdfG, PrpE, PhaC1","PP0596, YdfG, PrpE, PhaC1 (heterologous)"
p50,10.1007.s11274-014-1679-z,"E. coli BW25113 (∆aroL/aroK, DE3)/pETDuet-GBAE",Escherichia coli,shikimic acid (SA) (shikimic acid),"1,077.6 mg/l",shake flask,sorbitol,5 g/l,-,-,30 h,37 °C,E. coli BW25113,"aroL, aroK","aroG, aroB, tktA, aroE",-
p50,10.1007.s11274-014-1679-z,E. coli BW25113,Escherichia coli,shikimic acid (SA) (shikimic acid),728.9 mg/l,shake flask,sorbitol,5 g/l,-,-,30 h,37 °C,E. coli BW25113,-,-,-
p50,10.1007.s11274-014-1679-z,"E. coli BW25113 (∆aroL/aroK, DE3)",Escherichia coli,shikimic acid (SA) (shikimic acid),728.9 mg/l,shake flask,sorbitol,5 g/l,-,-,30 h,37 °C,E. coli JW0379-1,"aroL, aroK",-,-
p51,10.1007.s12010-015-1874-x,B0016-060BC,Escherichia coli,L-alanine (L-Alanine),120.8 g/l,M9-1,glucose,"5 g/l initially, 85.2 g/batch feed","shake flask, bioreactor with glucose feed",7 (maintained with NH4OH),not specified,"33 °C (aerobic growth), 42 °C (thermo-induction and oxygen-limited phase)",B0016-050,"ack-pta, pflB, adhE, frdA, ldhA, dadX",-,alaD from G. stearothermophilus
p52,10.1007.s12033-013-9721-1,BG102,Escherichia coli,2-Methyl-3-buten-2-ol (MBO) (2-Methyl-3-buten-2-ol),20 μl/l,LB,Glucose,Not specified,Batch,Not specified,48 h,37 °C,E. coli DH5α,,"mevalonate pathway genes (HMGS, idi), MBO synthase (MBOS)",Pinus sabiniana MBO synthase
p52,10.1007.s12033-013-9721-1,BG104,Escherichia coli,2-Methyl-3-buten-2-ol (MBO) (2-Methyl-3-buten-2-ol),31.5 μl/l,LB,Glucose,Not specified,Batch,Not specified,48 h,37 °C,E. coli SoluBL21,,"mevalonate pathway genes (HMGS, idi), MBO synthase (MBOS)",Pinus sabiniana MBO synthase
p53,10.1007.s00253-011-3530-x,E. coli XLdh,Escherichia coli,PHAs (2HB-co-3HB) (Poly(2-hydroxybutyrate-co-3-hydroxybutyrate)),Not specified,MR medium,glucose,20 g/L,Not specified,Not specified,Not specified,37°C,E. coli XL1-Blue,ldhA,"phaC1437, pct540","cimA3.7, leuBCD, panE"
p54,10.1186.1475-2859-11-132,VH33 Δ (recA deoR nupG),Escherichia coli,plasmid DNA (pDNA) (plasmid DNA (pDNA)),186 mg/L,mineral medium,glucose,100 g/L,batch,above 6.8,not specified,37°C,VH33,-,-,-
p54,10.1186.1475-2859-11-132,VH33,Escherichia coli,plasmid DNA (pDNA) (plasmid DNA (pDNA)),1.16 mg/g (yield),not specified,glucose,5 g/L,shake flask,not specified,18 h,37°C,E. coli W3110,-,galactose permease,-
p54,10.1186.1475-2859-11-132,VH33 Δ recA,Escherichia coli,plasmid DNA (pDNA) (plasmid DNA (pDNA)),7.09 mg/L,not specified,glucose,5 g/L,shake flask,not specified,18 h,37°C,VH33,recA,-,-
p55,10.1186.1475-2859-11-153,E. coli (pET-TAL),Escherichia coli,4-coumaric acid (4-coumaric acid),59 ± 7 mg/L,M9 minimal,15 g/L glucose,-,shake flask,-,36 hours,37°C then 26°C,"E. coli DH5α, C41 (DE3)",-,"aroGfbr, tyrAfbr, tal",tal (S. espanaensis)
p55,10.1186.1475-2859-11-153,E. coli (pET-opTAL),Escherichia coli,4-coumaric acid (4-coumaric acid),144 ± 14 mg/L,M9 minimal,15 g/L glucose,-,shake flask,-,36 hours,37°C then 26°C,"E. coli DH5α, C41 (DE3)",tyrR,"aroGfbr, tyrAfbr, opTAL",opTAL (S. espanaensis)
p55,10.1186.1475-2859-11-153,E. coli (pET-TAL),Escherichia coli,ferulic acid (ferulic acid),<10 mg/L,M9 minimal,-,-,shake flask,-,-,37°C then 26°C,"E. coli DH5α, C41 (DE3)",-,"aroGfbr, tyrAfbr, tal, sam5, com","tal, sam5, com"
p55,10.1186.1475-2859-11-153,"E. coli (ΔtyrR, pAD-AG/ΔtyrR, pET-TAL)",Escherichia coli,4-coumaric acid (4-coumaric acid),974 ± 30 mg/L,modified M9,15 g/L glucose,-,shake flask,-,36 hours,37°C then 26°C,E. coli with ΔtyrR,tyrR,"aroGfbr, tyrAfbr, tal",tal (S. espanaensis)
p55,10.1186.1475-2859-11-153,"E. coli (ΔtyrR, pAD-AG/ΔtyrR, pET-opTAL)",Escherichia coli,4-coumaric acid (4-coumaric acid),805 ± 41 mg/L,modified M9,15 g/L glucose,-,shake flask,-,36 hours,37°C then 26°C,E. coli with ΔtyrR,tyrR,"aroGfbr, tyrAfbr, opTAL",opTAL (S. espanaensis)
p55,10.1186.1475-2859-11-153,"E. coli (ΔtyrR, pAD-AG/ΔtyrR, pET-T5)",Escherichia coli,caffeic acid (caffeic acid),150 ± 8 mg/L,modified M9,15 g/L glucose,-,shake flask,-,36 hours,37°C then 26°C,E. coli with ΔtyrR,tyrR,"aroGfbr, tyrAfbr, tal, sam5","tal, sam5"
p55,10.1186.1475-2859-11-153,"E. coli (ΔtyrR, pAD-AG/ΔtyrR, pET-T5M)",Escherichia coli,ferulic acid (ferulic acid),196 ± 26 mg/L,modified M9,15 g/L glucose,-,shake flask,-,36 hours,37°C then 26°C,E. coli with ΔtyrR,tyrR,"aroGfbr, tyrAfbr, tal, sam5, com","tal, sam5, com"
p56,10.1186.1475-2859-11-155,IMU011,Saccharomyces cerevisiae,naringenin (naringenin),5.4 μM,synthetic medium,glucose,20 g·l<sup>-1</sup>,shake flask,not specified,not specified,30°C,CEN.PK2-1C,-,"atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3",A. thaliana flavonoid biosynthesis genes
p56,10.1186.1475-2859-11-155,IMX183,Saccharomyces cerevisiae,naringenin (naringenin),10.4 μM,synthetic medium,glucose,20 g·l<sup>-1</sup>,shake flask,not specified,not specified,30°C,IMU011,aro3Δ,-,"ARO4G226S, atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3"
p56,10.1186.1475-2859-11-155,IMX185,Saccharomyces cerevisiae,naringenin (naringenin),46.5 μM,synthetic medium,glucose,20 g·l<sup>-1</sup>,shake flask,not specified,not specified,30°C,IMX183,"aro3Δ, pdc5Δ, pdc6Δ",-,"ARO4G226S, atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3"
p56,10.1186.1475-2859-11-155,IMX106,Saccharomyces cerevisiae,naringenin (naringenin),46.5 μM,synthetic medium,glucose,20 g·l<sup>-1</sup>,shake flask,not specified,not specified,30°C,IMX185,"aro3Δ, pdc5Δ, pdc6Δ, aro10Δ",-,"ARO4G226S, atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3"
