identifier,doi,strain names,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
p48,10.1007.s00253-007-1170-y,XZ129,L-alanine,833 mM,NBS,glucose,80 g/l,fermentation vessel,7,42 h,,XZ123,dadX,,
p48,10.1007.s00253-007-1170-y,XZ130,L-alanine,847 mM,AM1,glucose,80 g/l,fermentation vessel,7,42 h,,XZ129,,,
p48,10.1007.s00253-007-1170-y,XZ132,L-alanine,"1,279 mmol",AM1,glucose,120 g/l,fermentation vessel,7,48 h,,XZ131,,,
p48,10.1007.s00253-007-1170-y,XZ132,L-alanine,483 mmol,AM1,xylose,50 g/l,fermentation vessel,7,72 h,,,,,
p49,10.1007.s00253-007-1246-8,E. coli JM109,Isopropanol,227 mM,SD8 medium,Glucose,30-200 mM,"Baffled flask, fed-batch",5.8,36 h,37°C,E. coli,,tac promoter,"thl, ctfAB, adc from Clostridium acetobutylicum ATCC824; adh from C. beijerinckii NRRL B593"
p50,10.1007.s00253-007-1307-z,NST [pCsrB],phenylalanine,2.33 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NST37,-,csrB,-
p50,10.1007.s00253-007-1307-z,NST [pTktA],phenylalanine,1.22 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NST37,-,tktA,-
p50,10.1007.s00253-007-1307-z,NSTCSRA [pCsrB],phenylalanine,1.52 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NSTCSRA,csrA,csrB,-
p50,10.1007.s00253-007-1307-z,NSTCSRA [pTktA],phenylalanine,2.39 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NSTCSRA,csrA,tktA,-
p50,10.1007.s00253-007-1307-z,NST [pZwf],phenylalanine,1.27 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NST37,-,zwf,-
p50,10.1007.s00253-007-1307-z,NSTCSRA [pZwf],phenylalanine,1.61 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NSTCSRA,csrA,zwf,-
p50,10.1007.s00253-007-1307-z,NSTCSRA [pTkaFpA],phenylalanine,1.84 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NSTCSRA,csrA,"tktA, aroF FR, and pheA FR",-
p50,10.1007.s00253-007-1307-z,NST,phenylalanine,1.20 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NST37,-,-,-
p50,10.1007.s00253-007-1307-z,NSTCSRA,phenylalanine,1.67 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NSTCSRA,csrA,-,-
p50,10.1007.s00253-007-1307-z,NSTCSRD,phenylalanine,1.61 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NSTCSRD,csrD,-,-
p50,10.1007.s00253-007-1307-z,NSTCSRACSRD,phenylalanine,1.41 g/l,Fermentation medium,glycerol,1.5% v/v,Shake-flask,-,48h,37°C,NSTCSRACSRD,"csrA, csrD",-,-
p51,10.1007.s00253-009-2401-1,JCL16,3-methyl-1-butanol (3MB),0.45 g/L,M9 medium with yeast extract and A5 trace metals mix,Glucose,40 g/L,"250-mL screw cap flask, batch culture",Not specified,72 h,"37°C for growth, 30°C post-induction",Not Applicable,"rrnB T14, ΔlacZ WJ16, hsdR514, ΔaraBAD AH33, ΔrhaBAD LD78",Not specified,"pIAA11 (alsS–ilvCD), pIAA13 (kivd–ADH2), pIAA16 (leuA(G462D)–leuBCD)"
p51,10.1007.s00253-009-2401-1,AL1,3-methyl-1-butanol (3MB),1.1 g/L,M9 medium with yeast extract and A5 trace metals mix,Glucose,85 g/L,"250-mL screw cap flask, batch culture",Not specified,36 h,"37°C for growth, 30°C post-induction",JCL16,Not specified,Not specified,"pIAA11 (alsS–ilvCD), pIAA13 (kivd–ADH2), pIAA16 (leuA(G462D)–leuBCD)"
p51,10.1007.s00253-009-2401-1,AL2,3-methyl-1-butanol (3MB),2.8 g/L,M9 medium with yeast extract and A5 trace metals mix,Glucose,85 g/L,"250-mL screw cap flask, batch culture",Not specified,36 h,"37°C for growth, 30°C post-induction",AL1,Not specified,Not specified,"pIAA11 (alsS–ilvCD), pIAA13 (kivd–ADH2), pIAA16 (leuA(G462D)–leuBCD)"
p51,10.1007.s00253-009-2401-1,AL2 (Richer medium),3-methyl-1-butanol (3MB),4.4 g/L,"M9 medium with yeast extract, 10 g/L yeast extract, 10M NH4OH for pH adjustment",Glucose,85 g/L,"250-mL screw cap flask, batch culture",Maintained at 7,36 h,"37°C for growth, 30°C post-induction",AL2,Not specified,Not specified,"pIAA11 (alsS–ilvCD), pIAA13 (kivd–ADH2), pIAA16 (leuA(G462D)–leuBCD)"
p51,10.1007.s00253-009-2401-1,AL2 (Two-phase),3-methyl-1-butanol (3MB),9.5 g/L,"M9 medium with yeast extract, oleyl alcohol",Glucose,85 g/L,"250-mL screw cap flask, batch culture",Not specified,60 h,"37°C for growth, 30°C post-induction",AL2,Not specified,Not specified,"pIAA11 (alsS–ilvCD), pIAA13 (kivd–ADH2), pIAA16 (leuA(G462D)–leuBCD)"
p52,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,pDNA,0.8,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,MG1655,"endA, recA",-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,GALG20 (MG1655ΔendAΔrecAΔpgi),pDNA,19.1,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,MG1655,"endA, recA, pgi",-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,GALG1011 (MG1655ΔendAΔrecAΔpykFΔpykA),pDNA,6.6,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,MG1655,"endA, recA, pykF, pykA",-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,MG1655ΔendAΔrecA,pDNA,11.2,complex medium,glycerol,20,shake flask (250 rpm),7.1,24,37,MG1655,"endA, recA",-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,DH5αΔpykFΔpykA,pDNA,0.3,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,DH5α,"pykF, pykA",-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,DH5αΔpykF,pDNA,5.9,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,DH5α,pykF,-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,DH5αΔpykA,pDNA,0.9,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,DH5α,pykA,-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,DH5α,pDNA,1.8,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,DH5α,-,-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,GALG10 (MG1655ΔendAΔrecAΔpykF),pDNA,10.5,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,MG1655,"endA, recA, pykF",-,pVAX1GFP
p52,10.1007.s00253-012-4308-5,GALG11 (MG1655ΔendAΔrecAΔpykA),pDNA,13.1,complex medium,glucose,20,shake flask (250 rpm),7.1,24,37,MG1655,"endA, recA, pykA",-,pVAX1GFP
p53,10.1007.s00253-012-4618-7,EWE3,"EG, glycolate",11.69 g/L  (EG in lab-scale fermenter),"M9 minimal medium, LB broth, enriched medium",D-xylose,"4 g/L in shake-flask, 40 g/L in lab-scale fermenter","300 mL shake-flask, 5-L lab-scale fermenter",7.0,48 h in lab-scale fermenter,37 °C,E. coli W3110,xylA,YqhD,Xdh from C. crescentus
p54,10.1007.s00253-014-6092-x,E. coli BW25113 (DE3) (pKV-C),itaconate,<10 mg/L,Luria-Bertani (LB),glucose,50 mmoles,shake flask,-,-,37 °C,E. coli BW25113,-,cadA (low activity),cadA from Aspergillus terreus
p54,10.1007.s00253-014-6092-x,E. coli BW25113 (DE3) (pKV-C),itaconate,240 mg/L,M9 minimal medium (MM),glucose,50 mmoles,pH-controlled bioreactors,6.9,-,30 °C,E. coli BW25113,-,cadA,cadA from Aspergillus terreus
p54,10.1007.s00253-014-6092-x,E. coli BW25113 (DE3) (pKV-CGA),itaconate,1.9 mM,M9 minimal medium (MM),glucose,50 mmoles,pH-controlled bioreactors,6.9,72 h,30 °C,E. coli BW25113,-,"cadA, gltA, acnA",cadA from Aspergillus terreus
p54,10.1007.s00253-014-6092-x,E. coli BW25113 (DE3) Δpta-ΔldhA (pKV-CGA),itaconate,690 mg/L,M9 minimal medium (MM),glucose,50 mmoles,pH-controlled bioreactors,6.9,-,30 °C,E. coli BW25113,"Δpta, ΔldhA","cadA, gltA, acnA",cadA from Aspergillus terreus
p55,10.1007.s00253-014-6093-9,CPC-PrOH3,"1-propanol, ethanol","6.76 g/L, 31.1 g/L",LB,glycerol,30 g/L,"stirred-tank, fed-batch",7.0 ± 0.1,-,30 °C,E. coli BW25141,"ldhA, pykF",sbm operon with P_trc,-
p55,10.1007.s00253-014-6093-9,CPC-PrOH2,"1-propanol, ethanol","3.78 g/L, 25 g/L",LB,glycerol,30 g/L,"stirred-tank, fed-batch",7.0 ± 0.1,-,30 °C,E. coli BW25141,ldhA,sbm operon episomal,-
p55,10.1007.s00253-014-6093-9,CPC-PrOH1,"1-propanol, ethanol","0.55 g/L, -",LB,glucose,30 g/L,"bioreactor, batch",-,18 h,-,E. coli BW25141,-,sbm operon episomal,-
p56,10.1007.s00253-015-6732-9,HJ01,Acetol,0.08 g/L,M9 minimal,Glycerol,2 g/L,500-mL baffled Erlenmeyer flasks,7,72 h,37 °C,BW25113,,yqhD,
p56,10.1007.s00253-015-6732-9,HJ02,Acetol,0.44 g/L,M9 minimal,Glycerol,2 g/L,500-mL baffled Erlenmeyer flasks,7,72 h,37 °C,BW25113,,yqhD,glpK22 (from Lin 43)
p56,10.1007.s00253-015-6732-9,HJ02,Acetol,0.71 g/L,M9 minimal,Glycerol + Glucose,2 g/L of each,500-mL baffled Erlenmeyer flasks,7,72 h,37 °C,BW25113,,yqhD,glpK22 (from Lin 43)
p56,10.1007.s00253-015-6732-9,HJ04,Acetol,1.20 g/L,M9 minimal,Glycerol + Glucose,2 g/L of each,500-mL baffled Erlenmeyer flasks,7,72 h,37 °C,BW25113,ptsG,yqhD,glpK22 (from Lin 43)
p56,10.1007.s00253-015-6732-9,HJ05,Acetol,1.82 g/L,M9 minimal,Glycerol + Glucose,2 g/L of each,500-mL baffled Erlenmeyer flasks,7,72 h,37 °C,BW25113,"ptsG, gapA",yqhD,glpK22 (from Lin 43)
p57,10.1007.s00253-015-6816-6,CWF4N,Fumaric acid,5.30 g/L,MR medium,Glucose,15 g/L,"Flask, batch",7.0,24 h,37 °C,CWF4,,ppc,
p57,10.1007.s00253-015-6816-6,CWF4N with pSynPPC18,Fumaric acid,5.72 g/L,MR medium,Glucose,15 g/L,"Flask, batch",7.0,24 h,37 °C,CWF4,,ppc,
p57,10.1007.s00253-015-6816-6,CWF4NS strains harboring pSynPC39,Fumaric acid,6.24 g/L,MR medium,Glucose,15 g/L,"Flask, batch",7.0,24 h,37 °C,CWF4NS,,"ppc, gltA",
p57,10.1007.s00253-015-6816-6,CWF4NSA strains harboring pSynPC39,Fumaric acid,30.5 g/L,MR medium with 0.5 g/L aspartate initial and 5 g/L aspartate in feeding solution,Glucose,20 g/L,"Jar fermentor, fed-batch",7.0,27 h,37 °C,CWF4NS,aspA,"ppc, gltA",
p57,10.1007.s00253-015-6816-6,CWF4NSA strains harboring pSynPC39,Fumaric acid,35.1 g/L,MR medium with 0.5 g/L aspartate initial and 5 g/L aspartate in feeding solution,Glucose,20 g/L,"Jar fermentor, fed-batch",7.0,27 h,37 °C,CWF4NS,aspA,"ppc, gltA",
p58,10.1007.s00449-013-1003-6,EWG1,D-galactonate,0.17 g/L,M9 minimal salts,D-galactose + D-glucose,2 g/L each,Shake flask cultivation,7.0,72 h,37 °C,E. coli BW25113,,gld,gld
p58,10.1007.s00449-013-1003-6,EWG2,D-galactonate,0.44 g/L,M9 minimal salts,D-galactose + D-glucose,2 g/L each,Shake flask cultivation,7.0,72 h,37 °C,E. coli BW25113,galK,gld,gld
p58,10.1007.s00449-013-1003-6,EWG3,D-galactonate,1.24 g/L,M9 minimal salts,D-galactose + D-glucose,2 g/L each,Shake flask cultivation,7.5,72 h,37 °C,E. coli BW25113,"galK, dgoK",gld,gld
p58,10.1007.s00449-013-1003-6,EWG3,D-galactonate,17.6 g/L,M9 minimal salts,D-galactose,20 g/L,"5-L batch fermentation, constant feed",7.5,72 h,34 °C,E. coli BW25113,"galK, dgoK",gld,gld
p59,10.1007.s10529-014-1600-8,Q1430,P3HP,1.6 g l−1,MM,"glycerol, glucose","20 g l−1, 3 g l−1",500 ml baffled Erlenmeyer flasks,-,48 h,30°C,E. coli JM109 (DE3),-,"PP0596, YdfG, PrpE, PhaC1",-
p59,10.1007.s10529-014-1600-8,Q1911,P3HP,0.5 g l−1,MM,"glycerol, glucose","20 g l−1, 3 g l−1",500 ml baffled Erlenmeyer flasks,-,48 h,30°C,E. coli JM109 (DE3),-,"PanD, PanM, PP0596, YdfG, PrpE, PhaC1",-
p60,10.1007.s11274-014-1679-z,"E. coli BW25113 (ΔaroL/aroK, DE3)/pETDuet-GBAE",Shikimic acid,"1,077.6 mg/l",LB and fermentation,Sorbitol,5 g/l,"Shake flask, batch",3.0,30 h,37 °C,E. coli JW0379-1,"aroL, aroK","aroG, aroB, tktA, aroE",
p60,10.1007.s11274-014-1679-z,E. coli BW25113 (ΔaroL/aroK),Shikimic acid,728.9 ± 15.6 mg/l,LB and fermentation,Sorbitol,5 g/l,"Shake flask, batch",3.0,30 h,37 °C,E. coli JW0379-1,"aroL, aroK",,
p61,10.1007.s12010-015-1874-x,B0016-060BC,L-Alanine,120.8 g/l,M9-1,Glucose,5 g/l and batches of 85.2 g,"Bioreactor, batch",7,,"33°C (aerobic growth), 42°C (oxygen-limited phase)",B0016-050,"ack, pta, pflB, adhE, frdA, ldhA",,dadX::cI ts857-p R -p L -alaD-FRT
p62,10.1007.s12033-013-9721-1,BG102,MBO,20 μl/l,LB,,,Sealable tubes (Batch culture),,48 h,37 °C,DH5α,,,"pMevT, pMBI, pMBO"
p62,10.1007.s12033-013-9721-1,BG104,MBO,31.5 μl/l,LB,,,Sealable tubes (Batch culture),,48 h,37 °C,SoluBL21,,,"pMevT, pMBI, pMBO"
p62,10.1007.s12033-013-9721-1,BG104,MBO,50.7 μl/l,LB with O2,,,Sealable tubes (Batch culture),,48 h,37 °C,SoluBL21,,,"pMevT, pMBI, pMBO"
p62,10.1007.s12033-013-9721-1,BG104,MBO,103.3 μl/l,Terrific Broth with O2,,,Sealable tubes (Batch culture),,48 h,37 °C,SoluBL21,,,"pMevT, pMBI, pMBO"
p63,10.1007.s00253-011-3530-x,E. coli XLdh,"PHAs containing 2HB, 3HB, and lactate",26.7 wt.%,MR,Glucose,20 g/L,,,,37°C,E. coli XL1-Blue,ldhA,"phaC1437, pct540, cimA3.7, leuBCD","panE, phaAB"
p64,10.1186.1475-2859-11-132,E. coli W3110,pDNA,1.14 mg/L,custom (various components),glucose,5 g/L,shake flask/bioreactor,6.8,,37°C,ATCC 27325,,,
p64,10.1186.1475-2859-11-132,E. coli VH33,pDNA,2.78 mg/L,custom (various components),glucose,5 g/L,shake flask/bioreactor,6.8,,37°C,,,,
p64,10.1186.1475-2859-11-132,E. coli DH5α,pDNA,12.73 mg/L,custom (various components),glucose,5 g/L,shake flask/bioreactor,6.8,,37°C,,"endA1, recA 1, gyrA 96, thi, hsd R17, relA 1, sup E44, ΔlacU 169, Φ80, lacZ ΔM15",,
p64,10.1186.1475-2859-11-132,E. coli VH33 Δ(recA),pDNA,7.09 mg/L,custom (various components),glucose,5 g/L,shake flask/bioreactor,6.8,,37°C,VH33,recA,,
p64,10.1186.1475-2859-11-132,E. coli VH33 Δ(recA deoR),pDNA,7.98 mg/L,custom (various components),glucose,5 g/L,shake flask/bioreactor,6.8,,37°C,VH33,"recA, deoR",,
p64,10.1186.1475-2859-11-132,E. coli VH33 Δ(recA nupG),pDNA,7.09 mg/L,custom (various components),glucose,5 g/L,shake flask/bioreactor,6.8,,37°C,VH33,"recA, nupG",,
p64,10.1186.1475-2859-11-132,E. coli VH33 Δ(recA deoR nupG),pDNA,186 mg/L,custom (various components),glucose,100 g/L,shake flask/bioreactor,6.8,,37°C,VH33,"recA, deoR, nupG",,
p65,10.1186.1475-2859-11-153,E. coli C41 (DE3),4-coumaric acid,974 mg/L,M9 medium,glucose,15 g/L,shake flask,-,36 hr,26°C,C41 (DE3),ΔtyrR,"aroG<sub>fbr</sub>, tyrA<sub>fbr</sub>","tal, sam5, com, opTAL, optal"
p65,10.1186.1475-2859-11-153,E. coli C41 (DE3),caffeic acid,150 mg/L,M9 medium,glucose,15 g/L,shake flask,-,36 hr,26°C,C41 (DE3),ΔtyrR,"aroG<sub>fbr</sub>, tyrA<sub>fbr</sub>","tal, sam5, com, opTAL, optal"
p65,10.1186.1475-2859-11-153,E. coli C41 (DE3),ferulic acid,196 mg/L,M9 medium,glucose,15 g/L,shake flask,-,36 hr,26°C,C41 (DE3),ΔtyrR,"aroG<sub>fbr</sub>, tyrA<sub>fbr</sub>","tal, sam5, com, opTAL, optal"
p66,10.1186.1475-2859-11-155,IMU011,naringenin,5.4 μM,synthetic medium,glucose,20 g·l-1,shake flask cultures,6.0,,30°C,CEN.PK2-1C,,,"PAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3"
p66,10.1186.1475-2859-11-155,IMX183,naringenin,10.4 μM,synthetic medium,glucose,20 g·l-1,shake flask cultures,6.0,,30°C,CEN.PK2-1C,aro3Δ,"atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3",
p66,10.1186.1475-2859-11-155,IMX106,naringenin,46.5 μM,synthetic medium,glucose,20 g·l-1,shake flask cultures,6.0,,30°C,CEN.PK2-1C,"aro3Δ, pdc5Δ, pdc6Δ, aro10Δ","atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3",
p66,10.1186.1475-2859-11-155,IMX197,naringenin,134.5 μM,synthetic medium,glucose,20 g·l-1,shake flask cultures,6.0,,30°C,CEN.PK2-1C,"aro3Δ, pdc5Δ, pdc6Δ, aro10Δ","atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3, coCHS3",
p66,10.1186.1475-2859-11-155,IMX198,naringenin,414.63 μM,synthetic medium,glucose,20 g·l-1,"bioreactor, batch",5.0,38 h,30°C,CEN.PK2-1C,"aro3Δ, pdc5Δ, pdc6Δ, aro10Δ","atPAL1, coC4H, coCPR1, atCHI1, atCHS3, at4CL3, coCHS3, cotal1",
p67,10.1186.1475-2859-12-56,BW25113,L(-)-carnitine,21.7 mM,LB-CB,crotonobetaine,50 mM,"Anaerobic batch, 100 mL vessels",7.5,24h,37°C,BW25113,"aceA, aceK",,
p67,10.1186.1475-2859-12-56,BW ΔaceK,L(-)-carnitine,20% increase,LB-CB,crotonobetaine,50 mM,"Anaerobic batch, 100 mL vessels",7.5,24h,37°C,BW25113,aceK,,
p67,10.1186.1475-2859-12-56,BW ΔcaiA,L(-)-carnitine,28.7 mM,LB-CB,crotonobetaine,50 mM,"Anaerobic batch, 100 mL vessels",7.5,24h,37°C,BW25113,caiA,,
p67,10.1186.1475-2859-12-56,BW p37cai,L(-)-carnitine,20.7 mM,LB-CB,crotonobetaine,50 mM,"Anaerobic batch, 100 mL vessels",7.5,24h,37°C,BW25113,,p37 (constitutive promoter),
p67,10.1186.1475-2859-12-56,BW ΔaceK ΔcaiA p37cai,L(-)-carnitine,46 mM,LB-CB,crotonobetaine,50 mM,"Anaerobic batch, 100 mL vessels",7.5,24h,37°C,BW25113,"aceK, caiA",p37 (constitutive promoter),
p67,10.1186.1475-2859-12-56,BW p8caiF,L(-)-carnitine,40-60% yield,LB-CB,crotonobetaine,50 mM,"Aerobic batch, 250 mL Erlenmeyer flasks",7.5,24h,37°C,BW25113,,p8 (constitutive promoter),
p67,10.1186.1475-2859-12-56,BW ΔaceK p37cai,L(-)-carnitine,31.2 mM,LB-CB,crotonobetaine,50 mM,"Aerobic batch, 250 mL Erlenmeyer flasks",7.5,24h,37°C,BW25113,aceK,p37 (constitutive promoter),
p68,10.1186.1475-2859-12-7,LA01,D-lactate,0.34 g/L/h,mineral salts,glycerol,20 g/L,Shake flasks (15 ml),6.38,36 h,37°C,MG1655,"ΔpflB, ΔfrdA","GlpK, GlpD",
p68,10.1186.1475-2859-12-7,LA02,D-lactate,0.30 g/L/h,mineral salts,glycerol,20 g/L,Shake flasks (15 ml),6.38,36 h,37°C,MG1655,"Δpta, ΔadhE, ΔfrdA","GlpK, GlpD",
p68,10.1186.1475-2859-12-7,LA06,-,~0.1 g/L final,minimal,glycerol,10 g/L,Shake flasks (15 ml),6.38,36 h,37°C,LA01,ΔldhA,"GlpK, GlpD",
p68,10.1186.1475-2859-12-7,LA07,-,~0.1 g/L final,minimal,glycerol,10 g/L,Shake flasks (15 ml),6.38,36 h,37°C,LA02,ΔldhA,"GlpK, GlpD",
p68,10.1186.1475-2859-12-7,LA19,L-lactate,~0.25 g/L/h,minimal,glycerol,20 g/L,Shake flasks (15 ml),6.38,36 h,37°C,LA01,"ΔpflB, ΔfrdA, ΔmgsA, ΔldhA","GlpK, GlpD",S. bovis ldh
p68,10.1186.1475-2859-12-7,LA20,L-lactate,~0.25 g/L/h,minimal,glycerol,20 g/L,Shake flasks (15 ml),6.38,36 h,37°C,LA02,"Δpta, ΔadhE, ΔfrdA, ΔmgsA, ΔldhA","GlpK, GlpD",S. bovis ldh
p68,10.1186.1475-2859-12-7,LA20 (pZSglpKglpD),L-lactate,0.38 g/L/h,minimal,glycerol,40 g/L,Shake flasks (15 ml),6.38,72 h,37°C,LA20,"Δpta, ΔadhE, ΔfrdA, ΔmgsA, ΔldhA","GlpK, GlpD",S. bovis ldh
p68,10.1186.1475-2859-12-7,LA20 ΔlldD (pZSglpKglpD),L-lactate,~0.55 g/L/h,minimal,glycerol,41.6 g/L,Shake flasks (15 ml),6.38,64 h,37°C,LA20,"ΔlldD, Δpta, ΔadhE, ΔfrdA, ΔmgsA, ΔldhA","GlpK, GlpD",S. bovis ldh
p69,10.1186.1475-2859-13-64,TK52,3HP,4.6 ± 0.8% C-mol%,M9,Glycerol,Not specifically mentioned,"Sakaguchi flask, 500mL flask with 50mL culture",Not mentioned,Not mentioned,37°C,MG1655(DE3),,"dhaB-gdrAB, aldH","dhaB-gdrAB - K. pneumoniae, aldH - E. coli"
p69,10.1186.1475-2859-13-64,TK52t,3HP,14.7 ± 7.0% C-mol%,M9,Glycerol,Not specifically mentioned,"Sakaguchi flask, 500mL flask with 50mL culture",Not mentioned,Not mentioned,37°C,MG1655(DE3),tpiA,"dhaB-gdrAB, aldH","dhaB-gdrAB - K. pneumoniae, aldH - E. coli"
p69,10.1186.1475-2859-13-64,TK52tz,3HP,20.1 ± 9.2% C-mol%,M9,Glycerol,Not specifically mentioned,"Sakaguchi flask, 500mL flask with 50mL culture",Not mentioned,"Specific growth: 0-6h, 48-72h",37°C,MG1655(DE3),"tpiA, zwf","dhaB-gdrAB, aldH","dhaB-gdrAB - K. pneumoniae, aldH - E. coli"
p69,10.1186.1475-2859-13-64,TK52tzy,3HP,33.9 ± 1.2% C-mol%,M9,Glycerol,Not specifically mentioned,"Sakaguchi flask, 500mL flask with 50mL culture",Not mentioned,Not mentioned,37°C,MG1655(DE3),"tpiA, zwf, yqhD","dhaB-gdrAB, aldH","dhaB-gdrAB - K. pneumoniae, aldH - E. coli"
p70,10.1186.1475-2859-7-36,ESY2,n-butanol,1 mg/L,SD,galactose,2%,"5 mL SD medium, inoculated in 100 mL serum vials (50 mL SD medium, ""semi"" anaerobic condition)",,"24, 72, 120, 144 h",30°C,S. cerevisiae BY4742,,,"phaA, phaB (R. eutropha), ccr (S. collinus)"
p70,10.1186.1475-2859-7-36,ESY7,n-butanol,2.5 mg/L,SD,galactose,2%,"5 mL SD medium, inoculated in 100 mL serum vials (50 mL SD medium, ""semi"" anaerobic condition)",,"24, 72, 120, 144 h",30°C,S. cerevisiae BY4742,,"ERG10, hbd (S. cerevisiae, C. beijerinckii)","phaA, adhe2 (R. eutropha, C. beijerinckii)"
p71,10.1186.1475-2859-9-21,PB12.SA11,Shikimic acid,2.8 g/L,LB,glucose,25 g/L,"1 L Fermentor, Batch",7.0,50 h,37°C,PB12.SA1,,"aroG<sub>fbr</sub>, tktA, aroB",
p71,10.1186.1475-2859-9-21,PB12.SA21,Shikimic acid,5.1 g/L,LB,glucose,25 g/L,"1 L Fermentor, Batch",7.0,50 h,37°C,PB12.SA2,,"aroG<sub>fbr</sub>, tktA, aroB",
p71,10.1186.1475-2859-9-21,PB12.SA22,Shikimic acid,7.1 g/L,LB,glucose,25 g/L,"1 L Fermentor, Batch",7.0,50 h,37°C,PB12.SA21,,"aroG<sub>fbr</sub>, tktA, aroB, aroE",
p71,10.1186.1475-2859-9-21,PB12.SA31,Shikimic acid,"Lower than 7.1 g/L, exact value not specified",LB,glucose,25 g/L,"1 L Fermentor, Batch",7.0,50 h,37°C,PB12.SA22,pykF,"aroG<sub>fbr</sub>, tktA, aroB, aroE",
p72,10.1186.1475-2859-9-96,HCT 10,(S)-3HV,0.31 g/L,LB,glucose,20 g/L,shake-flask,,48h,30°C,MG1655,,"ptb-buk, tesB, hbd","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 10,(R)-3HV,0.50 g/L,LB,glucose,20 g/L,shake-flask,,48h,30°C,MG1655,,"ptb-buk, tesB, phaB","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 10,(S)-3HV,0.38 g/L,LB,glucose with,"20 g/L glucose, 3 g/L 2-ketobutyrate",shake-flask,,48h,30°C,MG1655,,"ptb-buk, tesB, hbd","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 10,(R)-3HV,1.02 g/L,LB,glucose with,"20 g/L glucose, 3 g/L 2-ketobutyrate",shake-flask,,48h,30°C,MG1655,,"ptb-buk, tesB, phaB","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 20,(S)-3HV,0.60 g/L,LB,glucose,20 g/L,shake-flask,,48h,30°C,HCT 10,"ackA-pta, poxB, atoDA","ptb-buk, tesB, hbd","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 20,(R)-3HV,2.04 g/L,LB,glucose,20 g/L,shake-flask,,48h,30°C,HCT 10,"ackA-pta, poxB, atoDA","ptb-buk, tesB, phaB","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 10,(S)-3HV,0.08 g/L,LB,glycerol,20 g/L,shake-flask,,48h,30°C,MG1655,,"ptb-buk, tesB, hbd","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 10,(R)-3HV,0.96 g/L,LB,glycerol,20 g/L,shake-flask,,48h,30°C,MG1655,,"ptb-buk, tesB, phaB","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 21,(S)-3HV,0.19 g/L,LB,glycerol,20 g/L,shake-flask,,48h,30°C,HCT 20,"metA, tdh","thrABC, ilvA","bktB, phaB (from R. eutropha), ptb-buk"
p72,10.1186.1475-2859-9-96,HCT 21,(R)-3HV,0.60 g/L,LB,glycerol,20 g/L,shake-flask,,48h,30°C,HCT 20,"metA, tdh","thrABC, ilvA","bktB, phaB (from R. eutropha), ptb-buk"
