paper number,paper_number,doi,strain,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene
P85,P3581,10.1186.1475-2859-10-97,E. coli BW25113,Escherichia coli,1-propanol (1-propanol),0.25 g/L,low-phosphate media,glucose,20 g/L,shake flask,6.8,48 hours,30°C,,,budC;mgsA;ydjG,ppdABC (K. oxytoca)
P85,P3581,10.1186.1475-2859-10-97,E. coli BW25113,Escherichia coli,lactate (lactate),over 7 g/L,low-phosphate media,glucose,20 g/L,shake flask,6.8,24 hours or 48 hours,30°C,,,budC;mgsA;ydjG,ppdABC (K. oxytoca)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P88,P791,10.1007.s10295-011-0978-8,FB-01/pSV03,Escherichia coli,L-Phe (l-phenylalanine),0.41 g/l,Fed-batch,Glucose,Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,E. coli W3110/pSV03,trpR,trpE;trpE fbr D,
P88,P791,10.1007.s10295-011-0978-8,FB-01/pSV03,Escherichia coli,L-Phe (l-phenylalanine),1.8 g/l,Fed-batch,Glucose,Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,E. coli W3110/pSV03,trpR,trpE;trpE fbr D,
P88,P791,10.1007.s10295-011-0978-8,FB-01/pSV03,Escherichia coli,L-Trp (l-tryptophan),2.8 g/l,Fed-batch,Glucose,Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,E. coli W3110/pSV03,trpR,trpE;trpE fbr D,
P88,P791,10.1007.s10295-011-0978-8,FB-03/pSV03,Escherichia coli,L-Phe (l-phenylalanine),0.9 g/l,Fed-batch,Glucose,Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,FB-02/pSV03,pheA;tnaA;trpR,trpE;trpE fbr D,
P88,P791,10.1007.s10295-011-0978-8,FB-03/pSV03,Escherichia coli,L-Trp (l-tryptophan),10.8 g/l,Fed-batch,Glucose,Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,FB-02/pSV03,pheA;tnaA;trpR,trpE;trpE fbr D,
P88,P791,10.1007.s10295-011-0978-8,W3110/pSV01,Escherichia coli,L-Trp (l-tryptophan),0.05 g/l,Fed-batch,Glucose,Not specified,Shake Flask,-,-,-,E. coli W3110,,aroF wt,
P88,P791,10.1007.s10295-011-0978-8,E. coli W3110/pSV03,Escherichia coli,L-Trp (l-tryptophan),0.87 g/l,Fed-batch,Glucose,Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,E. coli W3110,,trpE;trpE fbr D,
P88,P791,10.1007.s10295-011-0978-8,FB-04/pSV03,Escherichia coli,L-Trp (l-tryptophan),13.3 g/l,Fed-batch,Glucose + L-Phe(2g/l)+L-Tyr(3g/l),Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,FB-03/pSV03,pheA;tnaA;trpR;tyrA,aroF;trpE;trpE fbr D,
P88,P791,10.1007.s10295-011-0978-8,FB-02/pSV03,Escherichia coli,L-Trp (l-tryptophan),7.8 g/l,Fed-batch,Glucose,Not specified,"3-l fermentor, fed-batch",6.8,30 h,33°C→38°C,FB-01/pSV03,tnaA;trpR,trpE;trpE fbr D,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P91,P1730,10.1016.j.jbiotec.2010.11.009,E. coli JLXF5,Escherichia coli,P(3HB-co-52.3 mol% LA) copolymer (P(3HB-co-52.3 mol% LA) copolymer),53.9 wt%,MR medium with 20 g l^-1 glucose,Glucose,20 g l^-1,Flask culture at 30°C in a rotary shaker at 220 rpm for 72 h,7.0,72 h,30°C,,,,
P91,P1730,10.1016.j.jbiotec.2010.11.009,E. coli JLXF5,Escherichia coli,P(3HB-co-67.4 mol% LA) copolymer (P(3HB-co-67.4 mol% LA) copolymer),15.2 wt%,MR medium with 20 g l^-1 glucose and 2 g l^-1 3HB,Glucose and 3HB,20 g l^-1 glucose and 2 g l^-1 3HB,Fed-batch culture in a 6.6-l jar fermentor at 30°C with pH-stat strategy,7.0,Not specified,30°C,,,,
P91,P1730,10.1016.j.jbiotec.2010.11.009,E. coli JLXF5,Escherichia coli,PLA homopolymer (Polylactic acid (PLA)),4.2 wt%,MR medium with 20 g l^-1 glucose,Glucose,20 g l^-1,Flask culture at 30°C in a rotary shaker at 220 rpm for 72 h,7.0,72 h,30°C,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P93,P3617,10.1186.1475-2859-12-7,LA02,Escherichia coli,D-lactate (D-lactate),0.30 g/L/h,Minimal,Glycerol,20 g/liter,Shake flask,6.38,36 hours,37°C,,adhE;frdA;ldh;ldhA;pta,,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA01,Escherichia coli,D-lactate (D-lactate),0.34 g/L/h,Minimal,Glycerol,20 g/liter,Shake flask,6.38,36 hours,37°C,,frdA;ldh;ldhA;pflB,,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA20,Escherichia coli,L-lactate (L-lactic acid),0.61 g/g glycerol,Minimal,Glycerol,20 g/liter,Shake flask,6.38,36 hours,37°C,LA02,adhE;frdA;ldh;ldhA;ldhAldh;mgsA;pta,,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA20,Escherichia coli,acetate (acetate),0.61 g/g glycerol compared to 0.56 g/g glycerol in LA19,Minimal,Glycerol,20 g/liter,Shake flask,6.38,36 hours,37°C,LA02,adhE;frdA;ldh;ldhA;ldhAldh;mgsA;pta,,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA20 ΔlldD (pZSglpKglpD),Escherichia coli,L-lactate (L-lactic acid),0.82 g L-lactate/g glycerol,Minimal,Glycerol,40 g/liter,Shake flask,6.38,72 hours,37°C,LA20,adhE;frdA;ldh;ldhA;ldhAldh;lldD;mgsA;pta,glpD;glpK,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA20 ΔlldD (pZSglpKglpD),Escherichia coli,L-lactate (L-lactic acid),0.86 g L-lactate/g of glycerol,Minimal,Glycerol,40 g/liter,Shake flask,6.38,64 hours,37°C,LA20,adhE;frdA;ldh;ldhA;ldhAldh;lldD;mgsA;pta,glpD;glpK,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA20 ΔlldD (pZSglpKglpD),Escherichia coli,L-lactate (L-lactic acid),0.90 g L-lactate/g glycerol,Minimal,Crude glycerol,60 g/liter,Shake flask,6.38,84 hours,37°C,LA20,adhE;frdA;ldh;ldhA;ldhAldh;lldD;mgsA;pta,glpD;glpK,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA20 ΔlldD (pZSglpKglpD),Escherichia coli,L-lactate (L-lactic acid),35.1g/liter,Minimal,Crude glycerol,60 g/liter,Shake flask,6.38,84 hours,37°C,LA20,adhE;frdA;ldh;ldhA;ldhAldh;lldD;mgsA;pta,glpD;glpK,ldh (Streptococcus bovis)
P93,P3617,10.1186.1475-2859-12-7,LA20 ΔlldD (pZSglpKglpD),Escherichia coli,L-lactate (L-lactic acid),more than 50 g/liter,Minimal,Crude glycerol,60 g/liter,Shake flask,6.38,84 hours,37°C,LA20,adhE;frdA;ldh;ldhA;ldhAldh;lldD;mgsA;pta,glpD;glpK,ldh (Streptococcus bovis)
,,,,,,,,,,,,,,,,,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC001,Escherichia coli,"1,3-PDO (1,3-propanediol)",2g/L,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Shake flask culture,7.8,48h,35°C,E. coli W3110(DE3),,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC001,Escherichia coli,3-HP (3-hydroxypropionic acid),0.106g/g (10.9% of the theoretical maximum yield),Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Shake flask culture,7.8,48h,35°C,E. coli W3110(DE3),,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC001,Escherichia coli,3-HP (3-hydroxypropionic acid),22.1±2.1g/L,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Fed-batch fermentation in a 5-L bioreactor,7.0,35h,35°C,E. coli W3110(DE3),,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC001,Escherichia coli,3-HP (3-hydroxypropionic acid),9g/L,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Shake flask culture,7.8,48h,35°C,E. coli W3110(DE3),,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC001,Escherichia coli,acetic acid (acetic acid),0.113g/g,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Shake flask culture,7.8,48h,35°C,E. coli W3110(DE3),,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC001,Escherichia coli,acetic acid (acetic acid),15g/L,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Fed-batch fermentation in a 5-L bioreactor,7.0,35h,35°C,E. coli W3110(DE3),,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC002,Escherichia coli,3-HP (3-hydroxypropionic acid),0.217g/g (22.3% of the theoretical maximum yield),Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Fed-batch fermentation in a 5-L bioreactor,7.0,35h,35°C,E. coli W3110(DE3);SPC001,ackA-pta;yqhD,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB;glpK,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC002,Escherichia coli,3-HP (3-hydroxypropionic acid),12.2g/L,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Shake flask culture,7.8,48h,35°C,E. coli W3110(DE3);SPC001,ackA-pta;yqhD,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB;glpK,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC002,Escherichia coli,3-HP (3-hydroxypropionic acid),28.1±3.5g/L,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Fed-batch fermentation in a 5-L bioreactor,7.0,35h,35°C,E. coli W3110(DE3);SPC001,ackA-pta;yqhD,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB;glpK,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC003-1,Escherichia coli,3-HP (3-hydroxypropionic acid),0.25g/g,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Shake flask culture,7.8,48h,35°C,SPC003,ackA-pta;glpK;yqhD,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB;glpK,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC003-1,Escherichia coli,3-HP (3-hydroxypropionic acid),15.1g/L,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Shake flask culture,7.8,48h,35°C,SPC003,ackA-pta;glpK;yqhD,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB;glpK,
P94,P2252,10.1016.j.ymben.2014.03.001,SPC005,Escherichia coli,3-HP (3-hydroxypropionic acid),0.265g/g,Modified M9 medium with 40g/L glycerol,Glycerol,40g/L,Fed-batch fermentation in a 5-L bioreactor,7.0,32h,35°C,SPC002,ackA-pta;glpR;yqhD,aldH;dhaB;dhaB1;dhaB2;dhaB3;gdrA;gdrAB;gdrB;glpK,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P97,P797,10.1007.s10295-012-1151-8,E. coli EG03 (pEAG13),Clostridium acetobutylicum,butanol (butanol),"1,254 mg l^-1",Minimal salts,Glucose,50 g l^-1,"Serum bottle, stirred",-,60 h,30 °C,EG03,ackA;adhE;frdABCD;ldhA;pflB,,adheII (Clostridium);bcd (Clostridium);crt (Clostridium);etfA (Clostridium);etfB (Clostridium);hbd (Clostridium);thiL (Clostridium)
P97,P797,10.1007.s10295-012-1151-8,E. coli EG03 (pEAG13),Clostridium acetobutylicum,ethanol (Ethanol),"2,072 mg l⁻¹",Minimal salts,Glucose,50 g l^-1,"Serum bottle, stirred",-,60 h,30 °C,EG03,ackA;adhE;frdABCD;ldhA;pflB,,adheII (Clostridium);bcd (Clostridium);crt (Clostridium);etfA (Clostridium);etfB (Clostridium);hbd (Clostridium);thiL (Clostridium)
P97,P797,10.1007.s10295-012-1151-8,E. coli EG03,Clostridium acetobutylicum,ethanol (Ethanol),"1,637 mg l⁻¹",LB,Glucose,50 g l^-1,Shaking flask,-,Not specified,30 °C,,ackA;adhE;frdABCD;ldhA;pflB,,adheII (Clostridium);bcd (Clostridium);crt (Clostridium);etfA (Clostridium);etfB (Clostridium);hbd (Clostridium);thiL (Clostridium)
,,,,,,,,,,,,,,,,,
P98,P2133,10.1016.j.ymben.2011.01.004,BL21 Star DE3 DhyaB DhybC DhycE DhyfG,Escherichia coli,hydrogen (hydrogen),8.4 mmol H<sub>2</sub> per litre of culture,semi-defined medium,glucose,10 g L<sup>-1</sup>,shake flask,7,22 h,25°C,BL21 Star (DE3),hyaB;hybC;hycE;hyfG,,HypA1 (Synechocystis sp. PCC6803);hoxE (Synechocystis sp. PCC6803);hoxF (Synechocystis sp. PCC6803);hoxH (Synechocystis sp. PCC6803);hoxU (Synechocystis sp. PCC6803);hoxW (Synechocystis sp. PCC6803);hoxY (Synechocystis sp. PCC6803);hypB1 (Synechocystis sp. PCC6803);hypC (Synechocystis sp. PCC6803);hypD (Synechocystis sp. PCC6803);hypE (Synechocystis sp. PCC6803);hypF (Synechocystis sp. PCC6803)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P101,P2144,10.1016.j.ymben.2011.05.003,DALA,Escherichia coli,5-aminolevulinic acid (ALA) (5-aminolevulinic acid),0.168 g ALA per g glucose,Modified minimal medium,Glucose,35 g/L,Batch fermentation in a 5 L fermentor,6.0-7.2,48 h,37°C,E. coli DH5a,,hemA;hemA M;hemL;rhtA,hemA (S. arizona);hemA M (S. arizona)
P101,P2144,10.1016.j.ymben.2011.05.003,DALA,Escherichia coli,5-aminolevulinic acid (ALA) (5-aminolevulinic acid),4.13 g/L,Modified minimal medium,Glucose,35 g/L,Batch fermentation in a 5 L fermentor,6.0-7.2,48 h,37°C,E. coli DH5a,,hemA;hemA M;hemL;rhtA,hemA (S. arizona);hemA M (S. arizona)
P101,P2144,10.1016.j.ymben.2011.05.003,E. coli DA,Escherichia coli,5-aminolevulinic acid (ALA) (5-aminolevulinic acid),176 mg/L,Modified minimal medium,Glucose,18 g/L,Flask cultivation in a 300 mL Erlenmeyer flask,7.2,32 h,37°C,E. coli DH5a,,hemA;hemA M,hemA (S. arizona);hemA M (S. arizona)
P101,P2144,10.1016.j.ymben.2011.05.003,DAL,Escherichia coli,5-aminolevulinic acid (ALA) (5-aminolevulinic acid),2052 mg/L,Modified minimal medium,Glucose,18 g/L,Flask cultivation in a 300 mL Erlenmeyer flask,7.2,32 h,37°C,E. coli DH5a,,hemA;hemA M;hemL,hemA (S. arizona);hemA M (S. arizona)
,,,,,,,,,,,,,,,,,
P102,P136,10.1002.bit.24828,BW25113(DE3) ΔcadA ΔldcC pCDF-lysCfbr-dapAfbr pSTV-davBA,Escherichia coli,AMV (5-aminovalerate),0.86 ± 0.02 g/L,M10,glucose,25 g/L,Shake flask,-,48 h,37°C,BW25113(DE3) ΔcadA ΔldcC,cadA;ldcC,dapA;lysC,davBA (Pseudomonas putida)
P102,P136,10.1002.bit.24828,BW25113(DE3) ΔcadA ΔldcC pCDF-lysCfbr-dapAfbr pSTV-davBA,Escherichia coli,AMV (5-aminovalerate),71 ± 3 mmol/mol,M10,glucose,25 g/L,Shake flask,-,48 h,37°C,BW25113(DE3) ΔcadA ΔldcC,cadA;ldcC,dapA;lysC,davBA (Pseudomonas putida)
P102,P136,10.1002.bit.24828,BW25113(DE3) ΔcadA pCDF-dapAfbr-lysCfbr,Escherichia coli,cadaverine (Cadaverine),0.63 ± 0.07 g/L,M10,glucose,25 g/L,Shake flask,-,48 h,37°C,,cadA,dapA;lysC,
P102,P136,10.1002.bit.24828,BW25113(DE3) ΔcadA pCDF-dapAfbr-lysCfbr,Escherichia coli,lysine (lysine),0.75 ± 0.21 g/L,M10,glucose,25 g/L,Shake flask,-,29 h,37°C,,cadA,dapA;lysC,
P102,P136,10.1002.bit.24828,BW25113(DE3) ΔcadA pCDF-dapAfbr-lysCfbr,Escherichia coli,lysine (lysine),1.53 ± 0.10 g/L,M10,glucose,25 g/L,Shake flask,-,48 h,37°C,,cadA,dapA;lysC,
P102,P136,10.1002.bit.24828,BW25113(DE3) ΔcadA ΔldcC pCDF-dapAfbr-lysCfbr,Escherichia coli,lysine (lysine),138 ± 10 mmol/mol,Minimal media,glucose,Not specified,Shake flask,-,-,37°C,,cadA;ldcC,dapA;lysC,
P102,P136,10.1002.bit.24828,BW25113(DE3) ΔcadA ΔldcC pCDF-dapAfbr-lysCfbr,Escherichia coli,lysine (lysine),2.25 ± 0.17 g/L,M10,glucose,25 g/L,Shake flask,-,48 h,37°C,,cadA;ldcC,dapA;lysC,
,,,,,,,,,,,,,,,,,
P103,P2268,10.1016.j.ymben.2014.07.010,"E. coli JM109SGIK (p68orfZ-ispH, pMCSH5-folK, p15asulA)",Escherichia coli,P(3HB-co-4HB) (poly(3-hydroxybutyrate-co-4-hydroxybutyrate)),8.2 to 9.2g/L,,Glucose,20g/L,Shake flask,Not specified,48h,37°C,"E. coli JM109SGIK (p68orfZ-ispH, pMCSH5-folK)",folK;ispH,sulA,4hbD (Clostridium kluyveri);orfZ (Clostridium kluyveri);phaCAB (Ralstonia eutropha);sucD (Clostridium kluyveri)
P103,P2268,10.1016.j.ymben.2014.07.010,"E. coli JM109SGIK (p68orfZ-ispH, pMCSH5-folK, p15asulA)",Escherichia coli,P(3HB-co-4HB) (poly(3-hydroxybutyrate-co-4-hydroxybutyrate)),9.2g/L,,Glucose,20g/L,Shake flask,Not specified,48h,37°C,"E. coli JM109SGIK (p68orfZ-ispH, pMCSH5-folK)",folK;ispH,sulA,4hbD (Clostridium kluyveri);orfZ (Clostridium kluyveri);phaCAB (Ralstonia eutropha);sucD (Clostridium kluyveri)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P107,P3587,10.1186.1475-2859-11-132,VH33,Escherichia coli,acetate (Acetate),0.14 ± 0.01 g/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,W3110,lacI;lacZ;ptsH;ptsI,,
P107,P3587,10.1186.1475-2859-11-132,VH33,Escherichia coli,pDNA (plasmid DNA),2.4 times higher than W3110,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,W3110,lacI;lacZ;ptsH;ptsI,,
P107,P3587,10.1186.1475-2859-11-132,VH33,Escherichia coli,pDNA (plasmid DNA),2.78 ± 0.10 mg/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,W3110,lacI;lacZ;ptsH;ptsI,,
P107,P3587,10.1186.1475-2859-11-132,W3110,Escherichia coli,acetate (Acetate),0.32 ± 0.03 g/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,,,,
P107,P3587,10.1186.1475-2859-11-132,W3110,Escherichia coli,pDNA (plasmid DNA),1.14 ± 0.10 mg/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,,,,
P107,P3587,10.1186.1475-2859-11-132,DH5α,Escherichia coli,acetate (Acetate),0.62 ± 0.04 g/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,,deoR;endA;nupG;recA,,
P107,P3587,10.1186.1475-2859-11-132,DH5α,Escherichia coli,pDNA (plasmid DNA),12.73 ± 0.10 mg/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,,deoR;endA;nupG;recA,,
P107,P3587,10.1186.1475-2859-11-132,DH5α,Escherichia coli,pDNA (plasmid DNA),70 ± 4 mg/L,batch cultivations with an initial glucose concentration of 100 g/L,glucose,100 g/L,bioreactor,7.2,not specified,37°C,,deoR;endA;nupG;recA,,
P107,P3587,10.1186.1475-2859-11-132,VH33 Δ (recA deoR nupG),Escherichia coli,pDNA (plasmid DNA),186 ± 15 mg/L,batch cultivations with an initial glucose concentration of 100 g/L,glucose,100 g/L,bioreactor,7.2,not specified,37°C,VH33,deoR;lacI;lacZ;nupG;ptsH;ptsI;recA,,
P107,P3587,10.1186.1475-2859-11-132,VH33 Δ (recA deoR nupG),Escherichia coli,pDNA (plasmid DNA),8.67 ± 0.10 mg/L,batch cultivations with an initial glucose concentration of 100 g/L,glucose,100 g/L,bioreactor,7.2,not specified,37°C,VH33,deoR;lacI;lacZ;nupG;ptsH;ptsI;recA,,
P107,P3587,10.1186.1475-2859-11-132,VH33 Δ (recA deoR nupG),Escherichia coli,pDNA (plasmid DNA),8.8 ± 0.22 mg/L,batch cultivations with an initial glucose concentration of 5 g/L,glucose,5 g/L,bioreactor,7.2,not specified,37°C,VH33,deoR;lacI;lacZ;nupG;ptsH;ptsI;recA,,
P107,P3587,10.1186.1475-2859-11-132,VH33 Δ (recA endA),Escherichia coli,pDNA (plasmid DNA),6.25 ± 0.10 mg/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,VH33,endA;lacI;lacZ;ptsH;ptsI;recA,,
P107,P3587,10.1186.1475-2859-11-132,VH33 Δ recA,Escherichia coli,pDNA (plasmid DNA),7.09 ± 0.10 mg/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,VH33,lacI;lacZ;ptsH;ptsI;recA,,
P107,P3587,10.1186.1475-2859-11-132,VH33 Δ (recA deoR),Escherichia coli,pDNA (plasmid DNA),7.98 ± 0.10 mg/L,shake flask cultivation,glucose,5 or 100 g/L,shake flask,6.8,not specified,37°C,VH33,deoR;lacI;lacZ;ptsH;ptsI;recA,,
,,,,,,,,,,,,,,,,,
P108,P2206,10.1016.j.ymben.2013.01.006,LW06,Escherichia coli,ethanol (ethanol),15g/L,AMX media with 100g/L glucose and antibiotics,glucose,100g/L,batch fermentation in shake flasks,7.2,24h,37°C,,,otsA,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P111,P2192,10.1016.j.ymben.2012.09.002,DN1,Escherichia coli,GlcNAc (N-acetylglucosamine),6.48gl^-1,modified TB,glucose,30gl^-1,Shake Flask,7.0,30h,37°C,E. coli DH5α,glmS;nagA;nagB,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (Escherichia coli W3110);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,DN1,Escherichia coli,acetate (acetate),13.07gl^−1,modified TB,glucose,30gl^-1,Shake Flask,7.0,30h,37°C,E. coli DH5α,glmS;nagA;nagB,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (Escherichia coli W3110);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,DN1/pNnsGM,Escherichia coli,ManNAc (mannose-6-phosphate),1.55gl^-1,modified TB,glucose,30gl^-1,Shake Flask,7.0,30h,37°C,DN1,glmS;nagA;nagB,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (Escherichia coli);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,DN1/pNnsGM,Escherichia coli,NeuAc (N-acetylneuraminic acid),0.30 gl^(-1),modified TB,glucose,30gl^-1,Shake Flask,7.0,30h,37°C,DN1,glmS;nagA;nagB,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (Escherichia coli);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,E. coli DH5α,Escherichia coli,NeuAc (N-acetylneuraminic acid),0.19 gl^(-1),modified TB,glucose,30gl^-1,Shake Flask,7.0,30h,37°C,,glmS,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (E. coli W3110);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,E. coli DH5α,Escherichia coli,NeuAc (N-acetylneuraminic acid),0.26 gl^(-1),modified TB,glucose,30gl^-1,Shake Flask,7.0,30h,37°C,,glmS,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (E. coli W3110);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,E. coli DH5α,Escherichia coli,acetate (acetate),33.21gl^−1,modified TB,glucose,30gl^-1,Shake Flask,7.0,30h,37°C,,glmS,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (E. coli W3110);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,DN3,Escherichia coli,pyruvate (Pyruvic acid),2.82gl^-1,modified TB,glucose,3%,Shake Flask,7.0,30h,37°C,DN2,ackA;glmS;nagA;nagB;poxB,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (Escherichia coli);slr1975 (Synechocystis sp. PCC6803)
P111,P2192,10.1016.j.ymben.2012.09.002,DN2,Escherichia coli,pyruvate (Pyruvic acid),9.7gl^-1,modified TB,glucose,3%,Shake Flask,7.0,30h,37°C,DN1,ackA;glmS;nagA;nagB,GNA1;glmS;glmSM;glmSMU;nanA;rffE;slr1975,GNA1 (Saccharomyces cerevisiae);nanA (Escherichia coli);slr1975 (Synechocystis sp. PCC6803)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P113,P2186,10.1016.j.ymben.2012.08.002,E. coli JW1380,Escherichia coli,hydroxytyrosol (hydroxytyrosol),0.08mM,M9Y medium,glucose,1% (w/v),shake flask,,3 days,30°C,,,,
P113,P2186,10.1016.j.ymben.2012.08.002,E. coli JW1380,Escherichia coli,hydroxytyrosol (hydroxytyrosol),0.19mM,M9Y medium,l-tyrosine (1mM),,shake flask,,,30°C,,,,
,,,,,,,,,,,,,,,,,
P114,P126,10.1002.bit.23259,H,Escherichia coli,hydrogen (hydrogen),6.19 mmol H2 mol-1 glucose,M63A,glucose,7.5 g L-1,60-mL serum vials sealed with rubber septa,7.0,26 h,25°C,E. coli BL21(DE3),,fdxA;glpX;hydAEFG;yumC;zwf,fdxA (C. pasteurianum);hydA (C. acetobutylicum);hydE (C. acetobutylicum);hydF (C. acetobutylicum);hydG (C. acetobutylicum);yumC (B. subtilis)
