doi,product,product titer,medium,carbon source,ph,temperature,oxygen level,vessel and feed mode,gene
10.1007.s00253-011-3530-x,"['P(2HB-co-3HB)', 'P(2HB-co-3HB) (poly(2-hydroxybutyrate-co-3-hydroxybutyrate))']","['68 g/l', '26.7 g/l']",['MR'],['Glucose'],[''],['37°C'],[''],[''],"['Pct Cp', 'Pct540', 'PhaC1 Ps6-19', 'PhaC1437', 'cimA', 'cimA3.7', 'ldhA', 'leuBCD', 'panE', 'pct540', 'phaA', 'phaAB', 'phaB', 'phaC1437']"
10.1186.1475-2859-11-132,"['acetate', 'acetate (acetate)', 'pDNA', 'pDNA (plasmid DNA)']","['7.98 mg/L', '12.73 mg/L', '5–6 mg/g', '4.12 mg/g', '70 mg/L', '1.14 mg/L', '8.67 mg/L', '3 mg/g', '9.5 ± 0.8 g/L', '0.32 ± 0.03 g/L', '186 mg/L', '6.25 mg/L', '13.09 mg/L', '0.08 ± 0.01 g/L', '0.19 ± 0.03 g/g', '2.78 mg/L', '4 mg/g', '7.09 mg/L', '0.14 ± 0.01 g/L', '0.66 ± 0.02 g/L', '1.46 mg/g h', '0 g/L', '2.2 ± 0.1 g/L', '0.62 ± 0.04 g/L', '8.8 mg/L']","['Cultivation medium with K2HPO4, KH2PO4, (NH4)2SO4, (NH4)Cl, sodium citrate, MgSO4·7H2O, ampicillin, thiamine hydrochloride, trace elements', 'mineral medium']",['glucose'],"['6.8', '7.2']",['37°C'],"['', '200 rpm orbital shaker', '>30%', 'DO maintained above 30%']","['250 mL baffled shake flasks', '3 L bioreactor', 'bioreactor, batch', 'shake flask']","['deoR', 'endA', 'lacI', 'lacZ', 'nupG', 'ptsH', 'ptsI', 'recA', 'recB', 'recC', 'recD', 'recF', 'recJ', 'recO', 'topA']"
10.1186.1475-2859-11-153,"['4-coumaric acid', '4-coumaric acid (4-coumaric acid)', 'caffeic acid', 'caffeic acid (caffeic acid)', 'ferulic acid', 'ferulic acid (ferulic acid)', 'tyrosine', 'tyrosine (tyrosine)']","['974 ± 30 mg/L', '38 ± 2 mg/L', '10 mg/L', '40 mg/L', '59 ± 7 mg/L', '196 ± 26 mg/L', '46 mg/L', '187 mg/L', '196 mg/L', '14 mg/L', '805 ± 41 mg/L', '307 mg/L', '511 mg/L', '150 mg/L', '22 mg/L', '129 ± 26 mg/L', '73 ± 15 mg/L', '144 ± 14 mg/L', '346 mg/L', '28 ± 10 mg/L', '400 mg/L', '113 mg/L', '187 ± 12 mg/L', '42 mg/L']","['M9 medium', 'M9 minimal', 'M9 modified', 'M9 modified medium']","['Glucose', 'glucose']","['', 'not specified']","['', '26°C', 'not specified']","['', 'not specified']","['', 'not specified']","['Sam5', 'T5', 'T5M', 'TAL', 'aroGfbr', 'com', 'opT5', 'opT5M', 'opTAL', 'optall', 'sam5', 'tal', 'tyrAfbr', 'tyrR']"
10.1186.1475-2859-11-155,"['naringenin', 'naringenin (naringenin)']","['0.002 g/g', '0.006 g/g']",['synthetic'],['glucose'],['5.0'],['30°C'],"['aerobic', 'well-aerated']","['batch bioreactor', 'shake flask']","['4CL1', '4CL2', '4CL3', '4CL4', 'ARO10', 'ARO3', 'ARO4', 'ARO4G226S', 'ARO4G226Saro10', 'C4H', 'CHI1', 'CHI3', 'CHS1', 'CHS3', 'CPR1', 'CPR2', 'DAHP synthase', 'PAL1', 'PAL2', 'PDC1', 'PDC5', 'PDC6', 'PYK2', 'aro10', 'aro3', 'aro3Δ', 'at4CL3', 'atCHI1', 'atCHS3', 'atPAL1', 'coC4H', 'coCHS3', 'coCPR', 'coCPR1', 'cotal1', 'pdc5', 'pdc6', 'tal1']"
10.1186.1475-2859-12-56,"['L(-)-carnitine', 'L(-)-carnitine (L(-)-carnitine)', 'acetate', 'acetate (acetate)', 'succinate', 'succinate (succinate)']","['31.2 mM', '12.2 mM', '18.1 mM', '21.7 mM', '28.5 mmol/l', '8.3 mM', '46 mM', '59.6 mmol/l', '10.2 mM', '20.7 mM', '12.5 mM', '13.9 mM', '16.4 mM', '7.4 mM']","['', 'LB-CB', 'Phosphate buffer']","['', 'crotonobetaine']","['', '7.5']",['37°C'],"['Aerobic', 'Anaerobic']","['Batch', 'Resting cells']","['aceA', 'aceK', 'cai operon', 'cai/fix', 'caiA', 'caiB', 'caiC', 'caiF', 'caiT', 'caiTABCDE', 'fhl', 'fix operon']"
10.1186.1475-2859-12-7,"['D-lactate', 'D-lactate (D-lactate)', 'L-lactate', 'L-lactate (L-lactic acid)']","['50 g/liter', '13.7 g/liter', '0.25 g/L/h', '33 g/liter', '0.74 g L-lactate/g glycerol', '0.56 g/g glycerol', '0.86 g L-lactate/g of glycerol', '9 g/liter', '0.82 g L-lactate/g glycerol', '0.90 g L-lactate/g glycerol', '35.1 g/liter', '0.38 g/L/h', '0.1 g/liter', '0.61 g/g glycerol']",['minimal medium'],"['crude glycerol', 'glycerol']",[''],['37°C'],['microaerobic'],"['shake flasks', 'shake flasks, sequential feed']","['aceEF', 'adhE', 'dhaKLM', 'frdA', 'gldA', 'glpD', 'glpK', 'ldh', 'ldhA', 'ldhAldh', 'lldD', 'lpdA', 'mgsA', 'pflB', 'pta']"
10.1186.1475-2859-13-64,"['1,3-propanediol', '1,3-propanediol (1,3-propanediol)', '3-hydroxypropionic acid', '3-hydroxypropionic acid (3-hydroxypropionic acid)', 'acetate', 'acetate (acetate)', 'methylglyoxal', 'methylglyoxal (methylglyoxal)', 'succinate', 'succinate (succinate)']","['20.1 ± 9.2 C-mol%', '37.7 ± 13.2 C-mol%', '9.9 ± 1.8 C-mol%', '14.7 ± 7.0 C-mol%', '33.9 ± 1.2 C-mol%', '8.2 ± 9.9 C-mol%', '0.8 ± 0.4 C-mol%', '39.0 ± 0.01 C-mol%', '0.60 mM at maximum', '5.9 ± 0.5 C-mol%', '0.9 ± 0.1 C-mol%', '4.6 ± 0.8 C-mol%', '40 C-mol%', '22.9 ± 5.2 C-mol%', '0.22 mM at maximum', '26.2 C-mol%', '0.03 mM at maximum']",['M9'],['glycerol'],['not specified'],['37°C'],['microaerobic (OUR = 10 mmol/(g DC●h))'],['Sakaguchi flask'],"['aldH', 'dhaB', 'dhaB1', 'dhaB2', 'dhaB3', 'edd', 'gdrA', 'gdrAB', 'gdrB', 'pgi', 'tpiA', 'yqhD', 'zwf']"
10.1186.1475-2859-7-36,"['n-butanol', 'n-butanol (n-butanol)']","['1 mg/L', '2.5 mg/L']",['SD'],['galactose'],[''],['30°C'],['semi-anaerobic'],"['serum vial, semi-anaerobic']","['Adhe2', 'AtoB', 'Ccr', 'Crt', 'ERG10', 'Erg10', 'Hbd', 'PhaA', 'PhaB', 'adhe2', 'bcd', 'ccr', 'crt', 'etfA', 'etfAB', 'etfB', 'hbd', 'phaA', 'phaB']"
10.1186.1475-2859-9-21,"['DAHP', 'DAHP (3-deoxy-D-arabino-heptulosonate-7-phosphate)', 'DHS', 'DHS (3-dehydroshikimate)', 'GA', 'GA (protocatechuic acid)', 'SA', 'SA (shikimic acid)']","['0.21 mol/mol', '2.8 g/L', '0.3 g/L', '1.71 g/L', '0.29 mol/mol', '5.1 g/l', '7.1 g/l', '0.11 mol/mol']",['mineral broth'],['glucose'],['7.0'],['37°C'],['20% air saturation'],['1 L fermentor'],"['DAHPS', 'aroB', 'aroE', 'aroGfbr', 'aroGfbrtktA', 'aroK', 'aroL', 'pykA', 'pykF', 'tktA']"
10.1186.1475-2859-9-96,"['Me-(R)-3HV', 'Me-(R)-3HV (Methyl-(R)-3-Hydroxyvalerate)', 'acetate', 'acetate (acetate)', 'chiral 3HV', 'chiral 3HV (chiral 3-hydroxyvalerate)']","['0.31 g/L', '0.60 g/L', '0.96 g/L', '0.11 g/L', '1.02 g/L', '0.27 g/L', '2.04 g/L', '0.08 g/L', '0.38 g/L', '2 g/L', '0.91 g/L', '0.50 g/L', '1.85 g/L', '0.22 g/L', '0.19 g/L']",['LB'],"['Glucose', 'Glucose + 2-Ketobutyrate', 'Glucose + Threonine', 'Glycerol']",[''],['30°C'],"['', 'Aerobic']","['250 mL shake flask', 'Shake Flask']","['PhaB', 'Ptb-Buk', 'TesB', 'ackA-pta', 'atoB', 'atoDA', 'bktB', 'endA', 'hbd', 'ilvA', 'metA', 'phaB', 'poxB', 'ptb-buk', 'recA', 'tdh', 'tesB', 'thrABC', 'thrAG1297A', 'thrAG1297ABC', 'thrAG1997ABC']"
10.1186.1754-6834-6-60,"['α-pinene', 'α-pinene (α-pinene)']","['0.26 mg/L', '0.165 mg/L', '0.172 mg/L', '0.65 mg/L', '1.77 mg/L', '1.35 mg/L', '0.86 mg/L', '0.97 g/L', '1.31 mg/L', '5.44 mg/L']","['Fermentation medium', 'Fermentation medium with MD beef extract']",['Glucose'],"['', '7.0']","['25°C', '30°C']","['', '20% DO']","['Fed-batch fermentation', 'Shake-flask']","['ERG12', 'ERG19', 'ERG8', 'GPPS', 'GPPS2', 'IDI1', 'IspA', 'MvaE', 'MvaS', 'Pt30', 'ispA', 'mvaE', 'mvaS', 'α-pinene synthase']"
10.1186.s12934-014-0096-1,"['L-phenylalanine', 'L-phenylalanine (L-phenylalanine)', 'acetic acid', 'acetic acid (acetic acid)', 'lactate']","['0.23 g/l h', '26 mM', '3.0 mM', '0.08 g/l', '3 mM', '0.19 mM CPhe/CGlc', '0.37 g/l h', '0.36 g/l with glucose', '0.72 g/l with glycerol', '0.11 g/l', '0.18 mM CPhe/CGly', '0.20 mM CPhe/CGly', '0.26 mM CPhe/CGly', '25 mM', '15 mM', '0.90 g/l with crude glycerol', '0.25 g/l h', '0.23 mM CPhe/CGly']",['MM'],"['crude glycerol', 'glycerol', 'pure glycerol']",['7.0'],['37°C'],"['-', '20%', '60%']","['Fed-batch bioreactor', 'Shake flask']","['aroB', 'aroF', 'aroL', 'glpK', 'glpK G232D', 'glpX', 'pheA', 'tktA', 'tyrA']"
10.1186.s12934-014-0099-y,"['DAMP4', 'DAMP4 (DAMP4)', 'acetate', 'acetate (acetate)', 'biomass', 'biomass (biomass)']","['~5 g/L', '4.3 g/L', '6.3 g/L', '50 g in 15 hours', '7.4 g/L', '6.7 g/L', '1 g/L', '2.5 g/L', '55 g/L', 'below 1 g/L', '4.7 g/L', 'around 4 g/L', '~1.2 g/L', '0.5 g/L', '50 g/L']","['CDM', 'LB']","['glucose', 'glucose/sucrose', 'sucrose']",['6.9'],['37°C'],"['-', '70% of air sat.']","['Batch', 'Fed-batch', 'Fed-batch (after induction)', 'Fed-batch, fast feeding (5.5 mL/h)']","['DAMP4', 'cscAKB']"
10.1186.s12934-014-0123-2,"['2-phenylethanol', '2-phenylethanol (2-phenylethanol)', 'styrene', 'styrene (styrene)']","['0.44 mM', '1.13 mM', '42 ± 3 mg/L', '1.44 ± 0.11 mg/g', '29 ± 2 mg/L', '2.09 ± 0.16 mg/g', '0.63 mM', '20 ± 1 mg/L', '18 ± 2 mg/L', '23 ± 2 mg/L', '0.80 mM', '0.35 mM']","['SD', 'SD-Leu']",['Glucose'],['n/a'],['32°C'],['Limited'],['Shake flask'],"['26S', 'ADH1-6', 'ALD1-6', 'ARO1', 'ARO10', 'ARO2', 'ARO3', 'ARO4', 'ARO7', 'ARO8', 'ARO9', 'FDC1', 'GCN4', 'PAL', 'PAL2', 'PHA2']"
10.1186.s12934-014-0185-1,"['CA', 'CA (cinnamic acid)', 'pHCA', 'pHCA (p-hydroxycinnamic acid)']","['3.6 fold higher (YCA/Glu compared to WPJAt)', '1.03 μmolpHCA/mmolC', 'YpHCA/Ara of 0.437 μmolpHCA/mmolC', '736.8 μmol/L']",['M9'],"['Arabinose', 'Glucose', 'Xylose']",[''],['37°C'],['300 rpm'],['Shake flask'],"['PAL/TAL', 'PALAt', 'PALRg', 'aroG', 'pheA', 'tktA']"
10.1186.s12934-015-0192-x,"['tryptophan', 'violacein', 'violacein (violacein)']","['0.18 g L−1', '0.153 g/L', '1.75 g/L', '0.603 g/L', '0.116 g-violacein/g-glucose']",['M9-YE'],['glucose'],['7.0'],['20°C'],"['', '> 25±5%']","['5-L bioreactor', 'Flask']","['pheA', 'tnaA', 'trpD', 'trpE', 'trpE fbr', 'trpR', 'vio']"
10.1186.s12934-015-0232-6,"['isobutanol', 'isobutanol (isobutanol)']","['2.7 g/L', '2.3 g/L', '4.2 g/L', '4.1 g/L', '3.6 g/L', '5.1 g/L', '2 g/L', '1.4 g/L', '2.4 g/L', '4 g/L', '4.9 g/L']","['Hydrolysate', 'Production Media']","['glucose', 'glucose + synthesized CBA', 'synthesized CBA']",['7'],['30°C'],['250 rpm'],['Batch'],"['AscB', 'CBA phosphorylase', 'CBAP', 'ascB', 'bglA', 'bglB', 'chbF', 'treB']"
10.1186.s12934-015-0285-6,"['ethanol', 'ethanol (ethanol)']","['1.41-fold increase over wild type (molar yield, dimensionless ratio, representing product per substrate molar ratio)', '1.1 (molar yield, dimensionless ratio, representing product per substrate molar ratio)']",['LB-glycerol'],['glycerol'],['7.5'],['37°C'],['Below 1% (anaerobic glove box purged with Ar)'],['12 mL crimp-top vials sealed with a butyl rubber septum and aluminum caps'],"['cpsG', 'deoB', 'dhaKL', 'fdhF', 'fhl', 'fhlA', 'focA', 'frdA', 'frdB', 'frdBC', 'frdC', 'frmA', 'fumA', 'gadB', 'gldABC', 'glgC', 'gnd', 'ldhA', 'nanE', 'pflB', 'rpiA', 'sucB', 'tdcB', 'tdcE']"
10.1186.s12934-015-0291-8,"['dCyd', 'dCyd (deoxycytidine)']","['650 mg/L', '552 mg/L', '401 mg/L', '410 mg/L', '967 mg/L']",['LB'],"['Glucose', 'Glycerol']",[''],['37°C'],['250 rpm'],['Flask'],"['ArgR', 'DeoA', 'DeoD', 'PepA', 'PurR', 'Udp', 'argG', 'argR', 'cdd', 'codA', 'dcd', 'deoA', 'deoD', 'nrdCAB', 'pepA', 'pgi', 'purR', 'pyrG', 'thyA', 'udp', 'yfbR']"
10.1186.s12934-015-0301-x,"['lycopene', 'lycopene (lycopene)', 'neurosporene', 'neurosporene (neurosporene)']","['1.64 mg/g', '17.8 mg/g', '3.20 mg/g DCW', '2.05 mg/g DCW', '10.71 mg/g DCW', '5.30 mg/g DCW', '9.40 mg/g DCW', '5.03 mg/g DCW', '6.94 mg/g DCW']",['LB'],['Glucose'],[''],['37°C'],['Aerobic'],['Flask with shaking'],"['Dxs', 'Eda', 'GCgnd', 'GalP', 'MEP', 'crtEBI', 'crtI', 'dxs', 'dxs-idi', 'dxs-idi-ispDF', 'eda', 'eda-GCgnd', 'edd', 'fbaA', 'fbaB', 'galR', 'glk', 'gnd', 'idi', 'ispDF', 'pfkA', 'pfkAB', 'pfkB', 'pgi', 'ptsG', 'pykFA', 'ytjC', 'zwf']"
10.1186.s13068-015-0270-7,"['12-methyltetradecanoate', '12-methyltetradecanoate (12-methyltetradecanoate)', '14-methylhexadecanoate', '14-methylpentadecanoate', '14-methylpentadecanoate (14-methylpentadecanoate)', 'BFABCEs', 'Branched-Chain Alcohols', 'Branched-Chain Alcohols (Branched-Chain Alcohols)', 'FABCEs', 'FABCEs (fatty acid branched-chain esters)', 'isoamylol', 'isoamylol (isoamylol)', 'isobutanol', 'isobutanol (isobutanol)']","['513 mg/L', '0.017 g/L', '0.231 g/L', '2.015 g/L', '0.513 g/L', '0.033 g/l', '0.056 g/L', '0.273 g/L', '0.0137 g/g', '0.0019 g/g', '1.9 ± 0.28 mg/g glycerol', '231 mg/L', '0.033 g/L', '0.0028 g/g', '0.169 g/L', '0.205 g/L', '35 ± 5.7 mg/L', '838 mg/L', '205 mg/L', '485 mg/L', '345 mg/L', '33 mg/L', '0.0089 g/g', '2015 mg/L', '0.177 g/L', '499 mg/L']","['Modified M9', 'YPD', 'modified M9']","['Glucose', 'Glycerol', 'glycerol']","['', 'Not specified']",['30 °C'],"['', '220 rpm', 'Shaken at 220 rpm']","['500 mL flask', 'Shake flask']","['BCKD', 'FabH', 'adh2', 'alsS', 'aro10', 'bckd', 'fabHB', 'fadD', 'fadE', 'his4', 'ilvC', 'ilvCD', 'ilvD', ""tesA'"", 'ws/dgat']"
10.1021.jf500355p,"['butyrate', 'butyrate (butyrate)']","['6.8 g/L', '1 g/L', '>10 g/L', '4.1 g/L', '3.4 g/L', '2.5 g/L']",['modified Terrific broth'],"['glucose', 'glucose + acetate']",[''],['37 °C'],['oxygen-limited'],"['shake-flask, batch', 'shake-flask, batch with additional glucose feed']","['ackA', 'adhE', 'atoD', 'atoDA', 'atoDAEB', 'crt', 'f rdA', 'frdA', 'glf', 'hbd', 'ldhA', 'phaA', 'poxB', 'pta', 'ter']"
10.1021.sb400158w,"['fatty acids', 'fatty acids (fatty acids)']","['1.59 ± 0.21 g/L', '1.2 g/L', '2.03 ± 0.1 g/L']",['minimal medium'],['glucose'],[''],['37 °C'],[''],[''],"['Acc', 'FapR', 'FapRO', 'acc', 'accBC', 'accDA', 'fadE', 'fapR', 'lacI', 'tesA']"
10.1073.pnas.0308171100,"['acetate', 'acetate (acetate)', 'dicarboxylic acids', 'dicarboxylic acids (dicarboxylic acids)', 'pyruvate', 'pyruvate (pyruvate)']","['25% of the maximum theoretical yield', '195 mM', '12 mM', '20 mM', '749 mM', '28.9 mM', '5.5-fold higher', '81 mM', '17% higher', '58% of the theoretical maximum', '252 mM']",['mineral salts medium'],['glucose'],['7.0'],['37°C'],"['100% air saturation initially, then 5% air saturation', '5% air saturation']","['BioFlo 3000, fed-batch mode']","['ackA', 'adhE', 'atpFH', 'focA', 'frdBC', 'ldhA', 'pflB', 'poxB', 'pta', 'sucA']"
10.1073.pnas.0702609104,"['L-valine', 'L-valine (L-valine)']","['5.25 g/liter', '0.5 g/liter', '3.43 g/liter', '4.00 g/liter', '7.61 g/liter', '7.55 g/liter', '4.34 g/liter', '3.73 g/liter', '3.33 g/liter', '0.378 g/g', '1.31 g/liter', '2.75 g/liter']","['', 'NM1', 'NM2']","['', '20 g/liter glucose']",[''],"['', '31°C']","['', 'shaking']","['', 'batch culture', 'flask cultivation']","['aceF', 'brnFE', 'ilvA', 'ilvBN', 'ilvCDE', 'ilvCED', 'ilvED', 'ilvG', 'ilvGM', 'ilvH', 'ilvI', 'ilvIH', 'leuA', 'leuABCD', 'lrp', 'mdh', 'panB', 'pfkA', 'tpiA', 'ygaZH']"
10.1073.pnas.1206346109,"['L-tyrosine', 'L-tyrosine (L-tyrosine)']","['798 mg/L', '418 mg/l', '902 mg/l', '13.8 g/l', '893 mg/L', '0.120 g/g', '5.7 g/l', '0.18 g/g', '0.204 g/g']","['MOPS minimal', 'R medium']",['Glucose'],"['', '7.0']",['37°C'],"['', '≥25%']","['2-l glass vessel', '50-ml flask with shaking']","['aroG', 'aroG fbr', 'evgA', 'fbr', 'gadE', 'hisH', 'pheA', 'purF', 'relA', 'rpoA', 'rpoA14', 'rpoA27', 'rpoD', 'rpoD3', 'spoT', 'tyrA', 'tyrA fbr', 'tyrR', 'ydeO']"
10.1073.pnas.1502866112,"['G-7-ADCA', 'G-7-ADCA (G-7-ADCA)']","['4.19 mM', '11.10 mM', '2.5 mol%', '10.04 mol%', '4.19 mol%', '3.79 mol%', '2.50 mM', '11.10 mol%', '3.79 mM', '21.48 mM', '8.79 mM', '17.88 mM', '12.19 mol%', '9.63 mol%', '29.01 mol%', '21.48 mol%', '3.59 mol%', '1.73 mM', '9.63 mM', '3.59 mM', '17.88 mol%', '12.19 mM', '10.04 mM', '8.79 mol%', '1.73 mol%', '29.01 mM']","['LB', 'ZYM medium']","['Glucose', 'glucose']","['7.0', 'neutral']",['30 °C'],"['200 rpm', 'High (shaking)']","['Shaking flask', 'shake flask']","['AceA', 'SucA', 'SucB', 'SucC', 'SucD', 'aceA', 'acs', 'ampC', 'iclR', 'poxB', 'scDAOCS', 'scDAOCS-H7', 'sucA']"
10.1073.pnas.1506781112,"['4-hydroxybenzoic acid', 'muconic acid', 'muconic acid (muconic acid)']","['1,209 mg/L', '0.35 g/g', '850 mg/L', '2.3 g/L', '1,185 mg/L', '4.7 g/L', '682 mg/L', '68 mg/L', '0.11 g/g', '4 g/L']",['sugar medium'],"['glucose, xylose']",['6.8'],['37 °C'],"['100 rpm, 12% DO', '250 rpm']","['1.3-L BioFlo110 batch-mode', '14-mL culture tubes, batch']","['AroE', 'AroY', 'AroZ', 'CatA', 'DHS', 'DHS transporter', 'YdiB', 'aroD', 'aroG', 'phosphotransferase system', 'ppsA', 'shiA', 'tktA', 'xylA']"
10.1002.biot.201300263,"['phenol', 'phenol (phenol)', 'tyrosine', 'tyrosine (tyrosine)']","['412.4 mg/L', 'ca. 1 g/L', '380.6 mg/L', '419.8 mg/L', '3.55 g/L', '0.02 g/g glucose', '1.2 ± 0.0 g/L', '2.0 ± 2.1 g/L', '1.3 ± 1.2 g/L', '392.6 g/L', '0.017 g/g glucose', '1.69 g/L', '3.79 g/L', '16.6 mg/L', '27.6 mg/L', '1.7 ± 0.2 g/L', '1.0 ± 1.4 g/L', '1.2 ± 0.7 g/L', '0.47 ± 0.47 g/L', '0.0026 g/g glucose', '7.5 mg/L']","['LB', 'MR', 'Modified MR medium']","['Glucose', 'glucose']",['6.8'],"['25°C', '37°C']","['', '-', '40% DO']","['Fed-batch', 'Fed-batch with tributyrin', 'Flask', 'Flask culture']","['TPL', 'aroF', 'aroG A146N', 'aroK', 'csrA', 'ppsA', 'tktA', 'tpl', 'tyrA A354V,M53I', 'tyrC', 'tyrR']"
10.1002.bit.20159,"['DHS', 'DHS (3-Dehydroshikimate)', 'L-Phe', 'L-Phe (L-phenylalanine)']","['0.33 g/g', '0.15 ± 0.01 g/l', '0.054 ± 0.004 g/l', '0.16 g/l', '0.22 g/g', '0.1 g/l', '0.14 g/g', '0.05 g/g', '0.21 g/g']",['M9'],['Glucose'],[''],[''],[''],"['Shake flask, resting']","['DAHP synthase', 'aroG', 'aroG fbr', 'crr', 'pheA', 'pheA ev1', 'pheA ev2', 'pheA fbr', 'ptsHI', 'tktA', 'transketolase']"
10.1002.bit.20298,"['pyruvate', 'pyruvate (pyruvate)', 'succinate', 'succinate (succinate)']","['48 mM', '1.68 g/L', '2.274 mole pyruvate/mole glucose', '2.398 mole pyruvate/mole glucose', '0.338 mole pyruvate/mole glucose', '0.7 g/g', '22 mM', '0.223 g/g', '1.26 g/L', '0.344 g/g', '0.5 g/g', '3.8 g/L', '2.58 g/L']",['LB'],['Glucose'],"['7.0', '7.5']",['37°C'],"['>80%', 'Aerobic']","['1.0-L Bioreactor', '250-mL flask']","['aceA', 'aceB', 'ackA-pta', 'icd', 'iclR', 'poxB', 'sdh', 'sdhAB']"
10.1002.bit.20542,"['lactate', 'lactate (lactate)']","['1.69 g/L', '0.89 g/L', '0.87 g/L']",['M9 minimal'],['glucose'],[''],['37°C'],['anaerobic'],['batch culture'],"['adhE', 'glk', 'pfk', 'pfkA', 'pfkB', 'pta', 'ptsG']"
10.1002.bit.22502,"['putrescine', 'putrescine (putrescine)']","['1.30 g/L', '1.68 g/L', '0.168 g/g', '0.25 g/L', '21.7 g/L', '1.18 g/L', '24.2 g/L', '0.09 g/L', '1.57 g/L', '0.84 g/L']",['R/2 medium'],['glucose'],['6.8'],['37°C'],"['20% of air saturation', 'Not given']","['Batch culture', 'Fed-batch culture']","['ODC', 'argA', 'argB', 'argC', 'argD', 'argE', 'argECBH', 'argF', 'argH', 'argI', 'argR', 'atoC', 'potE', 'puuPA', 'rpoS', 'speC', 'speE', 'speF', 'speG']"
10.1002.bit.22918,"['cadaverine', 'cadaverine (cadaverine)']","['0.79 g/L', '9.61 g/L', '0.12 g/g', '0.119 g/g', '1.31 g/L', '0.131 g/g', '0.079 g/g', '1.19 g/L']",['R/2'],['glucose'],['6.80'],['37°C'],[''],"['Batch culture', 'Fed-batch, pH-stat feeding']","['CadA', 'PuuA', 'PuuP', 'YdcW', 'YgjG', 'aceBA', 'cadA', 'dapA', 'dapB', 'dapD', 'ddh', 'iclR', 'lysA', 'lysC', 'pta', 'puuPA', 'speE', 'speG', 'ygjG']"
10.1002.bit.22984,"['acetate', 'acetate (acetate)', 'ethanol', 'ethanol (ethanol)', 'lactate', 'lactate (lactate)', 'propanol', 'propanol (propanol)']","['2 mM', '0.25 mM', '0.48 mM', '1.71 g/g', '0.55 g/g', '0.52 g/g', '0.71 g/g', '<0.4 mM', '1.58 g/g', '0.45 mM', '0.98 g/g', '1.33 g/g', '0.49 g/g', '0.23 mM']",['NF medium'],['glucose'],[''],['25°C'],['maintained through feeding'],"['100mL-fermentor, 5 L/hr mixture']","['AdhLdh', 'DadhE', 'Dldh', 'Dndh', 'DnuoA-N', 'Dpgi', 'P450 BM3', 'P450 PMO R2', 'Pgi', 'Zwf', 'ackA', 'dc1-12G', 'dcP450 PMO R2', 'ndh', 'pta']"
10.1002.bit.23069,"['6-dEB', '6-dEB (6-deoxyerythronolide B)']","['33.1 ± 7.4 mg/L', '75.2 ± 3.9 mg/L', '75.6 ± 3.2 mg/L', '1.27 ± 0.29 mg/L', '96.4 ± 5.6 mg/L', '101.0 ± 7.5 mg/L', '52.1 ± 2.4 mg/L', '3.39 ± 0.74 mg/L', '0.32 ± 0.11 mg/L', '73.4 ± 2.0 mg/L', '60.9 ± 2.43 mg/L', '61.1 ± 2.18 mg/L', '58.6 ± 1.19 mg/L', '5 mg/L', '0.1 mg/L', '97.9 ± 7.32 mg/L', '71.7 ± 3.74 mg/L', '134.1 ± 6.6 mg/L']","['Production medium', 'Production medium + matBC', 'Production medium + matBC-mce', 'Production medium + mce']","['Methylmalonate', 'Propionate', 'Propionate + Methylmalonate']",[''],['22°C'],[''],['Shake-flask'],"['MatB', 'MatBC', 'MatC', 'PCC', 'YgfG', 'accA1', 'atoC', 'eryA1', 'eryA2', 'eryA3', 'matB', 'matBC', 'matC', 'mce', 'pcc', 'pccB', 'prpE', 'sbm', 'ygf operon', 'ygfH']"
10.1002.bit.23259,['hydrogen'],"['6.19 mmol H2/mol glucose', '9.40 mmol H2/mol glucose']",['M63A'],['glucose'],['7.0'],['25°C'],['anaerobic'],['60-mL serum vials'],"['fbp', 'fdxA', 'glpX', 'hydA', 'hydAEFG', 'hydE', 'hydF', 'hydG', 'hydrogenase', 'pgi', 'yumC', 'zwf']"
10.1002.bit.24868,"['acetic acid', 'acetic acid (acetic acid)', 'fumaric acid', 'fumaric acid (fumaric acid)']","['0.415 g/g', '1.45 g/L', '0.389 g/g', '28.2 g/L', '7.85 g/L', '26.2 g/L', '8.23 g/L', '5.24 g/L', '9.55 g/L', '6.25 g/L', '5.85 g/L', '4.9 g/L', '1.13 g/L', '2.29 g/L', '0.410 g/g', '4.09 g/L', '2 g/L', '1.65 g/L', '5.35 g/L', '0.350 g/g', '0.361 g/g']",['MR'],['glucose'],['7.0'],['37°C'],"['220 rpm', '40%', 'aerobic']","['6.6-L jar fermentor; fed-batch', 'Flask; batch', 'batch', 'fed-batch', 'flask']","['ICL', 'PPC', 'adhE', 'arcA', 'aspA', 'aspC', 'frdABCD', 'fumA', 'fumB', 'fumC', 'galP', 'iclR', 'lacI', 'ldhA', 'ppc', 'ptsG']"
10.1002.bit.25123,"['amorpha-4,11-diene (amorpha-4,11-diene)', 'amorphi-4,11-diene', 'beta-carotene', 'caryophyllene equivalents', 'caryophyllene equivalents (caryophyllene equivalents)']","['100 mg/g', '64 mg/L']",['SD + URA'],['galactose'],['7'],['30 °C'],['Aerobic'],['liquid culture'],"['ADS', 'BTS1', 'ERG10', 'ERG12', 'ERG13', 'ERG19', 'ERG20', 'ERG8', 'HMGR', 'IDI1', 'crtE', 'crtI', 'crtYB', 'erg10', 'erg12', 'erg13', 'erg20', 'idi1', 'tHMG1', 'thmg1']"
