paper number,doi,strain names,strain type,product,product titer,medium,carbon source,carbon source concentration,vessel and feed mode,ph,time,temperature,parent strain,knock out gene,overexpress gene,heterologous gene,check
p34,10.1016.S1875-5364(20)60005-X,YL-Z004,Escherichia coli,zeaxanthin (zeaxanthin),not specified,not specified,glycerol,not specified,shake-flask,not specified,not specified,30°C,YL-CAR002,none,crtZ,crtZ,yes
p34,10.1016.S1875-5364(20)60005-X,MutW1,Escherichia coli,canthaxanthin (canthaxanthin),51%,not specified,glycerol,not specified,shake-flask,not specified,not specified,30°C,YL-CAR002,none,crtW* (MutW1),crtW (mutant),yes
p34,10.1016.S1875-5364(20)60005-X,MutW1 (in YL-Z004 background),Escherichia coli,astaxanthin (astaxanthin),2.76 mg•g<sup>-1</sup> cdw,not specified,glycerol,not specified,shake-flask,not specified,not specified,30°C,YL-Z004,none,crtW* (MutW1),crtW (mutant),yes
p34,10.1016.S1875-5364(20)60005-X,RBS54,Escherichia coli,astaxanthin (astaxanthin),3.46 mg•g<sup>-1</sup> cdw,not specified,glycerol,not specified,shake-flask,not specified,not specified,30°C,YL-A004,none,"crtW*, crtZ","crtW* (balanced), crtZ (balanced)",yes
,,,,,,,,,,,,,,,,,
p35,10.1016.j.bej.2009.04.008,B. subtilis PK,Bacillus subtilis,riboflavin (riboflavin),not specified,minimal medium,glucose,100 g/L,shake flask,not specified,not specified,41°C,B. subtilis RH13,none,purF,none,OE
p35,10.1016.j.bej.2009.04.008,B. subtilis PK-F,Bacillus subtilis,riboflavin (riboflavin),not specified,minimal medium,glucose,100 g/L,shake flask,not specified,not specified,41°C,B. subtilis PK,none,purF,none,yes
p35,10.1016.j.bej.2009.04.008,B. subtilis PK-P,Bacillus subtilis,riboflavin (riboflavin),increased by 31%,fermentation medium,glucose,100 g/L,shake flask,not specified,not specified,41°C,B. subtilis PK,none,"purF, purM, purN, purH, purD",none,OE
,,,,,,,,,,,,,,,,,
p36,10.1016.j.bej.2019.03.011,GSK1,Saccharomyces cerevisiae,β-amyrin (β-amyrin),2.7 mg L<sup>-1</sup>,YPD,Glucose,2%,Shake flask,6,120,30,INVSc1,-,β-amyrin synthase (βAS),β-amyrin synthase (βAS from Glycyrrhiza glabra),yes
p36,10.1016.j.bej.2019.03.011,GSK2,Saccharomyces cerevisiae,β-amyrin (β-amyrin),3.1 mg L<sup>-1</sup>,YPD,Glucose,2%,Shake flask,6,120,30,GSK1,-,ERG1,"β-amyrin synthase, ERG1",yes
p36,10.1016.j.bej.2019.03.011,GSK3,Saccharomyces cerevisiae,β-amyrin (β-amyrin),4.25 mg L<sup>-1</sup>,YPD,Glucose,2%,Shake flask,6,120,30,GSK1,-,PERG1-driven ERG1,"β-amyrin synthase, ERG1 with PERG1 promoter",yes
p36,10.1016.j.bej.2019.03.011,GSK4,Saccharomyces cerevisiae,β-amyrin (β-amyrin),8.52 mg L<sup>-1</sup>,YPD,Glucose,2%,Shake flask,6,120,30,GSK3,-,"ERG9, ERG20, IDI","β-amyrin synthase, ERG9, ERG20, IDI",hetero
p36,10.1016.j.bej.2019.03.011,GSK5,Saccharomyces cerevisiae,β-amyrin (β-amyrin),9.06 mg L<sup>-1</sup>,YPD,Glucose,2%,Shake flask,6,120,30,GSK4,-,HMG1,"β-amyrin synthase, ERG9, ERG20, IDI, HMG1",hetero
p36,10.1016.j.bej.2019.03.011,GSK6,Saccharomyces cerevisiae,β-amyrin (β-amyrin),10.86 mg L<sup>-1</sup>,YPD,Glucose,2%,Shake flask,6,120,30,GSK4,-,tHMG1,"β-amyrin synthase, ERG9, ERG20, IDI, truncated HMG1 (tHMG1)",hetero
p36,10.1016.j.bej.2019.03.011,GSK7,Saccharomyces cerevisiae,β-amyrin (β-amyrin),32.8 mg L<sup>-1</sup>,YPD,Glucose,"2% initially, fed-batch","5 L fermenter, fed-batch",6,120,30,GSK6,-,"ERG9, ERG20, IDI, tHMG1 with SST","β-amyrin synthase, ERG9, ERG20, IDI, tHMG1 with synthetic terminators (SST)",hetero
p36,10.1016.j.bej.2019.03.011,GSK7 (fed-batch),Saccharomyces cerevisiae,β-amyrin (β-amyrin),108.26 mg L<sup>-1</sup>,YPD,Glucose,2% + 5 mg L<sup>-1</sup> fed,"5 L fermenter, fed-batch",6,120,30,GSK6,-,"ERG9, ERG20, IDI, tHMG1 with SST","Same as GSK7, in fed-batch mode",hetero
,,,,,,,,,,,,,,,,,
p37,10.1016.j.bej.2022.108528,BSJ00,Bacillus,fengycin (fengycin),121.20 mg/L,fermentation medium,arabinose,20 g/L,batch,7,56 h,30 ℃,B. subtilis 168,-,"sfp, degQ",-,yes
p37,10.1016.j.bej.2022.108528,BSJ01,Bacillus,fengycin (fengycin),88.18 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ00,-,P srfA,-,OE
p37,10.1016.j.bej.2022.108528,BSJ02,Bacillus,fengycin (fengycin),137.05 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ00,-,P ylb,-,OE
p37,10.1016.j.bej.2022.108528,BSJ03,Bacillus,fengycin (fengycin),11.53 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ00,-,P fen,-,OE
p37,10.1016.j.bej.2022.108528,BSJ04,Bacillus,fengycin (fengycin),146.22 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ00,fadB,-,-,yes
p37,10.1016.j.bej.2022.108528,BSJ05,Bacillus,fengycin (fengycin),170.12 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ00,-,yhfL (P ylb ),-,yes
p37,10.1016.j.bej.2022.108528,BSJ021,Bacillus,fengycin (fengycin),156.71 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ02,fadB,-,-,yes
p37,10.1016.j.bej.2022.108528,BSJ022,Bacillus,fengycin (fengycin),142.92 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ021,-,yhfL (P ylb ),-,yes
p37,10.1016.j.bej.2022.108528,BSJ06,Bacillus,fengycin (fengycin),184.12 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ00,-,"yngH, tesA (plasmid)",-,yes
p37,10.1016.j.bej.2022.108528,BSJ023,Bacillus,fengycin (fengycin),258.41 mg/L,fermentation medium,arabinose,20 g/L,batch,7,-,30 ℃,BSJ022,-,"yngH, tesA (plasmid)",-,yes
,,,,,,,,,,,,,,,,,
p38,10.1016.j.bej.2023.109026,KN0,Escherichia coli,Succinic Acid (SA) (Succinic Acid),-,AM1,Glucose,50 g/L,"5-L fermenter, batch",6.8,-,37 °C,E. coli Suc260,-,-,-,titer
p38,10.1016.j.bej.2023.109026,KN1,Escherichia coli,Succinic Acid (SA) (Succinic Acid),80.0 g/L,AM1,Glucose,50 g/L,"5-L fermenter, batch",6.8,-,37 °C,E. coli Suc260,-,whiB,-,strain
p38,10.1016.j.bej.2023.109026,KN2,Escherichia coli,Succinic Acid (SA) (Succinic Acid),"89.1 g/L glucose consumed, SA not specified",AM1,Glucose,50 g/L,"5-L fermenter, batch",6.8,-,37 °C,E. coli KN1,-,"whiB, cti",cti,yes
p38,10.1016.j.bej.2023.109026,KN3,Escherichia coli,Succinic Acid (SA) (Succinic Acid),64.1 g/L,AM1,Glucose,50 g/L,"5-L fermenter, batch",6.8,-,37 °C,E. coli KN2,-,"whiB, cti, fabB",fabB,strain
p38,10.1016.j.bej.2023.109026,KN4,Escherichia coli,Succinic Acid (SA) (Succinic Acid),"64.1 g/L (5-L, pH 6.8), 29.9 g/L (5-L, pH 5.6)",AM1,Glucose,50 g/L,"5-L fermenter, batch","6.8, 5.6",-,37 °C,E. coli KN2,-,"whiB, cti, fabA, fabB","fabA, fabB",yes
,,,,,,,,,,,,,,,,,
p39,10.1016.j.biortech.2016.06.028,P0,Yarrowia lipolytica,a-farnesene (a-farnesene),0 mg/L,YPD,glucose,2%,shake flask,7.0,120 h,30 °C,Po1h,-,FS,-,yes
p39,10.1016.j.biortech.2016.06.028,P1,Yarrowia lipolytica,a-farnesene (a-farnesene),2.75 mg/L,YPD,glucose,2%,shake flask,7.0,120 h,30 °C,Po1h,-,OptFS,-,yes
p39,10.1016.j.biortech.2016.06.028,P2,Yarrowia lipolytica,a-farnesene (a-farnesene),6.12 mg/L,YPD,glucose,2%,shake flask,7.0,-,30 °C,P1,-,tHMG1,-,yes
p39,10.1016.j.biortech.2016.06.028,P3,Yarrowia lipolytica,a-farnesene (a-farnesene),21.39 mg/L,Various*,"mixed (glucose, fructose)",variable,shake flask,7.0,-,30 °C,-,-,OptFS-ERG20,-,OE
p39,10.1016.j.biortech.2016.06.028,P4,Yarrowia lipolytica,a-farnesene (a-farnesene),16.50 mg/L,Various*,"mixed (glucose, fructose)",variable,shake flask,7.0,-,30 °C,-,-,ERG20-OptFS,-,OE
p39,10.1016.j.biortech.2016.06.028,P5,Yarrowia lipolytica,a-farnesene (a-farnesene),5.14 mg/L,-,-,-,-,-,-,-,-,-,OptFS & FPPS,-,OE
p39,10.1016.j.biortech.2016.06.028,P6,Yarrowia lipolytica,a-farnesene (a-farnesene),22.41 mg/L,-,-,-,-,-,-,-,-,-,IDI,-,OE
p39,10.1016.j.biortech.2016.06.028,P7,Yarrowia lipolytica,a-farnesene (a-farnesene),57.08 mg/L,PM,"glucose, fructose","1%, 2%","1.5 L fermenter, batch",7.0,5 days,30 °C,-,-,"tHMG1, IDI, OptFS-ERG20",-,yes
p39,10.1016.j.biortech.2016.06.028,P0,Yarrowia lipolytica,a-farnesene (a-farnesene),0 mg/L,YPD,glucose,-,flask,7.0,120 h,30 °C,Po1h,-,FS,FS (apple peel),yes
p39,10.1016.j.biortech.2016.06.028,P1,Yarrowia lipolytica,a-farnesene (a-farnesene),2.75 ± 0.29 mg/L,YPD,glucose,-,flask,7.0,-,30 °C,Po1h,-,OptFS,OptFS (optimized FS),yes
p39,10.1016.j.biortech.2016.06.028,P2,Yarrowia lipolytica,a-farnesene (a-farnesene),6.12 ± 0.32 mg/L,YPD,glucose,-,flask,7.0,-,30 °C,P1,-,tHMG1,OptFS,yes
p39,10.1016.j.biortech.2016.06.028,P3,Yarrowia lipolytica,a-farnesene (a-farnesene),21.39 ± 0.61 mg/L,-,-,-,flask,-,-,-,-,-,OptFS-ERG20 fusion,-,OE
p39,10.1016.j.biortech.2016.06.028,P4,Yarrowia lipolytica,a-farnesene (a-farnesene),16.50 ± 0.16 mg/L,-,-,-,flask,-,-,-,-,-,ERG20-OptFS fusion,-,OE
p39,10.1016.j.biortech.2016.06.028,P5,Yarrowia lipolytica,a-farnesene (a-farnesene),5.14 ± 0.61 mg/L,-,-,-,flask,-,-,-,-,-,"OptFS, FPPS",-,OE
p39,10.1016.j.biortech.2016.06.028,P6,Yarrowia lipolytica,a-farnesene (a-farnesene),22.41 ± 0.22 mg/L,-,-,-,flask,-,-,-,-,-,IDI,OptFS,OE
p39,10.1016.j.biortech.2016.06.028,P7,Yarrowia lipolytica,a-farnesene (a-farnesene),57.08 ± 1.43 mg/L,PM,"glucose, fructose","1.99%, 2%","1.5 L fermenter, batch",7.0,5 days,30 °C,Po1h,-,"tHMG1, IDI, OptFS-ERG20 fusion",OptFS,yes
,,,,,,,,,,,,,,,,,
p40,10.1016.j.biortech.2023.128911,K1-C1Q1,Escherichia coli,"1,3-Butanediol (BDO) (1,3-Butanediol (BDO))",7.6 mM,Modified M9,Glucose,30 g/L,Shake flask,7.0±0.1,24h,37°C,E. coli K12 MG1655,-,"Cn_phaA, Cn_phaB, Cs_bld",Cs_bld,yes
p40,10.1016.j.biortech.2023.128911,K6-Q10,Escherichia coli,"1,3-Butanediol (BDO) (1,3-Butanediol (BDO))",∼42 mM,M9,Glucose,30 g/L,Shake flask,7.0±0.1,-,37°C,E. coli K12 MG1655,"adhE, poxB, ldhA, pta-ackA, yciA","Cs_bld, Ec_yqhD","Cs_bld, Ec_yqhD",OE hetero
p40,10.1016.j.biortech.2023.128911,K6Q10,Escherichia coli,"1,3-Butanediol (BDO) (1,3-Butanediol (BDO))",215 mM (23.1g/L),Not specified,Glucose,Not specified,Fed-batch bioreactor,Not specified,36h,37°C,E. coli K12 MG1655,"adhE, poxB, ldhA, pta-ackA, yciA","Cs_bld, Ec_yqhD","Cs_bld, Ec_yqhD with cysteine or glutamate addition",OE hetero
,,,,,,,,,,,,,,,,,
p41,10.1016.j.biortech.2023.129540,ARG12,Escherichia coli,L-arginine (L-arginine),110g/L,betaine-supplemented fermentation medium,glucose,10g/L,"5-L fermenter, fed-batch",Not specified,36h,37℃,E. coli DH5α,,,,yes
,,,,,,,,,,,,,,,,,
p42,10.1016.j.biortech.2023.130145,C1,E.coli,,,soy whey,"sucrose, stachyose, raffinose, galactose, glucose, fructose",native,,,,E. coli BL21(DE3),"sucrose, stachyose, raffinose utilization genes",,,,yes
p42,10.1016.j.biortech.2023.130145,C12,E.coli,MCFA (Medium-chain fatty acids),8.20 g/L (batch),soy whey,native,,3-L batch,7.0,20 h,"37°C (initial), 30°C (post-induction)",E. coli C3,"lacY, mglCAB, galP","galP, pETM6-r-BOX enzymes","r-BOX enzymes (Re_BktB, Se_FadB, Eg_ter, Ec_YidI)",strain
p42,10.1016.j.biortech.2023.130145,S8 (fed-batch),E.coli,MCFA (Medium-chain fatty acids),16.42 g/L,"soy whey, glucose feed",glucose (fed-batch),20 g/L addition,3-L fed-batch,7.0,,,E. coli C3 derivatives,"poxB, ldhA, pta-ackA, pflB, gltA, fumA","Bs_mdh, FalDH, Cb_Fdh, optimized r-BOX enzymes","r-BOX enzymes, methanol oxidation pathway enzymes",yes
,,,,,,,,,,,,,,,,,
p43,10.1016.j.cels.2023.10.005,WLPAN2,Escherichia coli,D-panthenol (D-panthenol),177.6 mg/L,flask,not specified,not specified,flask,not specified,48 h,37 °C,WLPAN1,,ilvBNmut,,yes
p43,10.1016.j.cels.2023.10.005,WLPAN3,Escherichia coli,D-panthenol (D-panthenol),10.3 g/L (fed-batch),MR,glucose,20 g/L,"5L Bioreactor, fed-batch",7.0,not specified,37 °C,WLPAN1,icd,ilvBNmut,,yes
p43,10.1016.j.cels.2023.10.005,XQSAG,Escherichia coli,putrescine (putrescine),42.3 g/L,R/2,"glucose, (NH4)2SO4",10 g/L glucose,5L Bioreactor,6.8,not specified,37 °C,E. coli XQ52,,speC-S112SargF,,yes
p43,10.1016.j.cels.2023.10.005,XQSAGP,Escherichia coli,putrescine (putrescine),63.7 g/L,R/2,"glucose, (NH4)2SO4",10 g/L glucose,5L Bioreactor,6.8,not specified,37 °C,XQSAG,,pyc (C. glutamicum),,yes
p43,10.1016.j.cels.2023.10.005,WL4PL2,Escherichia coli,4HPLA (4-hydroxyphenyllactate),4.8 g/L (fed-batch),not specified,glucose,not specified,"5L Bioreactor, fed-batch",7.0,not specified,37 °C,WL4PL1,,ppsA,,yes
p43,10.1016.j.cels.2023.10.005,WL4PL3,Escherichia coli,4HPLA (4-hydroxyphenyllactate),8.2 g/L (fed-batch),not specified,glucose,not specified,"5L Bioreactor, fed-batch",7.0,not specified,37 °C,WL4PL2,pykF,,,yes
,,,,,,,,,,,,,,,,,
p44,10.1016.j.ces.2016.06.014,M1EG,Saccharomyces cerevisiae,squalene (squalene),"34 mg/L (without terbinafine), 119.08 mg/L (with terbinafine)",YPD broth,glucose,20 g/L,batch,not specified,48h,30°C,Saccharomyces cerevisiae INVSc1,none,"HMG1, IDI1, ERG20, ERG9",none,yes
p44,10.1016.j.ces.2016.06.014,FOH-2,Saccharomyces cerevisiae,squalene (squalene),304.49 mg/L,YPD broth,glucose,20 g/L,batch,not specified,not specified,30°C,Saccharomyces cerevisiae INVSc1,none,"ERG10, ERG13, HMG1, ERG12, ERG8, MVD1, IDI1, ERG20, ERG9",none,yes
,,,,,,,,,,,,,,,,,
p45,10.1016.j.enzmictec.2019.109437,BDPP101,Pseudomonas putida,mevalonate (mevalonate),0.31 g/L,M9B,"2,3-BDO",7.5 g/L,shake flask,,30 h,30 °C,P. putida KT2440,,,"mvaE, mvaS (optimized)",yes
p45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),1.52 g/L,M9B,"2,3-BDO",7.5 g/L,shake flask,,30 h,30 °C,P. putida KT2440,,atoB,"mvaE, mvaS (optimized)",yes
p45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),0.23 g/L,M9G,glucose,10 g/L,shake flask,,12 h,30 °C,P. putida KT2440,,atoB,"mvaE, mvaS (optimized)",yes
p45,10.1016.j.enzmictec.2019.109437,BDPP102,Pseudomonas putida,mevalonate (mevalonate),0.18 g/L,M9Gly,glycerol,10.2 g/L,shake flask,,,30 °C,P. putida KT2440,,atoB,"mvaE, mvaS (optimized)",yes
,,,,,,,,,,,,,,,,,
p46,10.1016.j.jbiosc.2020.05.003,A. hydrophila 4AK4 (pMCS-phaAB),Aeromonas hydrophila,PHB (poly-3hydroxybutyrate),0.03 g/L,MS + 2g/L YE + 10g/L acetate,acetate,10 g/L,shake flask,,24 h,30°C,A. hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase",R. eutropha phaAB,yes
p46,10.1016.j.jbiosc.2020.05.003,A. hydrophila 4AK4 (pMCS-phaAB-pta-ackAAh),Aeromonas hydrophila,PHB (poly-3hydroxybutyrate),0.55 g/L,MS + 2g/L YE + 10g/L acetate,acetate,10 g/L,shake flask,,24 h,30°C,A. hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, pta-ackAAh",-,hetero
p46,10.1016.j.jbiosc.2020.05.003,A. hydrophila 4AK4 (pMCS-phaAB-acs),Aeromonas hydrophila,PHB (poly-3hydroxybutyrate),0.49 g/L,MS + 2g/L YE + 10g/L acetate,acetate,10 g/L,shake flask,,24 h,30°C,A. hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, acs",E. coli acs,yes
p46,10.1016.j.jbiosc.2020.05.003,A. hydrophila 4AK4 (pMCS-phaAB-acsAh),Aeromonas hydrophila,PHBV (Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)),0.59 g/L (approx.),MS + 2g/L YE + 10g/L acetate + 2g/L propionate,"acetate, propionate","10 g/L acetate, 2 g/L propionate",shake flask,,24 h,30°C,A. hydrophila 4AK4,-,"β-ketothiolase, acetoacetyl-CoA reductase, acsAh",-,hetero
,,,,,,,,,,,,,,,,,
p47,10.1016.j.jbiosc.2020.07.013,BT7AiY,Escherichia coli,"DAP (1,5-diaminopentane)",38 g/L,LB with 50g/L lysine,lysine,50 g/L,batch,Not specified,24 h,37°C,BL21(DE3),ygjG,CadA,,yes
p47,10.1016.j.jbiosc.2020.07.013,BT7AdEPGY,Escherichia coli,"DAP (1,5-diaminopentane)",37.45 g/L,LB with 50g/L lysine,lysine,50 g/L,batch,Not specified,24 h,37°C,BL21(DE3),"speE, puuA, speG, ygjG",CadA,,yes
p47,10.1016.j.jbiosc.2020.07.013,BT7AiEPGY (CRISPRi),Escherichia coli,"DAP (1,5-diaminopentane)",Not specified,LB with 50g/L lysine,lysine,50 g/L,batch,Not specified,24 h,37°C,BL21(DE3),"speE, puuA, speG, ygjG",CadA,,yes
p47,10.1016.j.jbiosc.2020.07.013,BT7AdEGYP (gene deletion),Escherichia coli,"DAP (1,5-diaminopentane)",37.45 g/L,LB with 50g/L lysine,lysine,50 g/L,batch,Not specified,24 h,37°C,BL21(DE3),"speE, puuA, speG, ygjG",CadA,,yes
,,,,,,,,,,,,,,,,,
p48,10.1016.j.jbiotec.2014.09.021,JM109/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),6.16 g/L,shake flask,glucose,20 g/L,-,-,-,37 °C,JM109,-,-,Ralstonia eutropha PHB biosynthetic genes,yes
p48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),28.23 g/L,5-L fermentor,glucose,20 g/L (initial),intermittent fed-batch,-,28 h,-,JM109,ndh,-,Ralstonia eutropha PHB biosynthetic genes,yes
p48,10.1016.j.jbiotec.2014.09.021,LJ03/pBHR68,Escherichia coli,PHB (poly(3-hydroxybutyrate)),3.50 g/L,shake flask,xylose,20 g/L,-,-,-,37 °C,JM109,ndh,-,Ralstonia eutropha PHB biosynthetic genes,yes
,,,,,,,,,,,,,,,,,
p49,10.1016.j.mec.2022.e00206,PSP,Pseudomonas putida,indigoidine (indigoidine),1.1-fold increase over Eng at 6h,M9 minimal,glucose,10g/L,"shaking flask, no feed",-,-,30°C,Eng,"CRISPRi targets (gcd, tal, lldp, ppsA, maeB, mdh, mqo-II, mqo-II, putA, argE, speC, anmK, phaA, phaC-II)","cpf1-dCpf1, gRNA cassette",-,yes
p49,10.1016.j.mec.2022.e00206,ΔphaAZC-IID,Pseudomonas putida,indigoidine (indigoidine),2.2-fold increase over optimized Cpf1-RBS construct at end of growth phase (~6h),M9 minimal,glucose,10g/L,"shaking flask, no feed",-,-,30°C,PSP,phaAZC-IID,-,-,KO
,,,,,,,,,,,,,,,,,
p50,10.1016.j.synbio.2019.05.002,C. glutamicum ATCC 13032,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),0.5 g/L,Not specified,Glucose and corn syrup,"25 g/L glucose, 20 g/L corn syrup","Shaker flask, batch",7,72 h,30 °C,,,GNA1,,OE
p50,10.1016.j.synbio.2019.05.002,C. glutamicum ATCC 13869,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),1.2 g/L,Not specified,Glucose and corn syrup,"25 g/L glucose, 20 g/L corn syrup","Shaker flask, batch",7,72 h,30 °C,,,GNA1,,OE
p50,10.1016.j.synbio.2019.05.002,C. glutamicum ATCC 14067,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),0.8 g/L,Not specified,Glucose and corn syrup,"25 g/L glucose, 20 g/L corn syrup","Shaker flask, batch",7,72 h,30 °C,,,GNA1,,OE
p50,10.1016.j.synbio.2019.05.002,C. glutamicum S9114,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),3.1 g/L,Not specified,Glucose and corn syrup,"25 g/L glucose, 20 g/L corn syrup","Shaker flask, batch",7,72 h,30 °C,,,GNA1,,yes
p50,10.1016.j.synbio.2019.05.002,CGGN1,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),4.8 g/L,Not specified,Glucose and corn syrup,"25 g/L glucose, 20 g/L corn syrup","Shaker flask, batch",7,72 h,30 °C,S9114,"nagA, gamA",GNA1,,yes
p50,10.1016.j.synbio.2019.05.002,CGGN2 (Δldh),Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),5.4 g/L,Not specified,Glucose and corn syrup,"25 g/L glucose, 20 g/L corn syrup","Shaker flask, batch",7,72 h,30 °C,CGGN1,"nagA, gamA, ldh",GNA1,,yes
p50,10.1016.j.synbio.2019.05.002,CGGN2-GNA1-CgglmS,Corynebacterium glutamicum,GlcNAc (N-acetylglucosamine),6.9 g/L,Not specified,Glucose and corn syrup,"25 g/L glucose, 20 g/L corn syrup","Shaker flask, batch",7,72 h,30 °C,CGGN2,"nagA, gamA, ldh","GNA1, CgglmS",CgglmS,yes
,,,,,,,,,,,,,,,,,
p51,10.1016.j.synbio.2022.03.001,LJM4,E. coli,resveratrol (resveratrol),78.32 mg/L,M9,glucose,10 g/L,"shake flask, batch",not specified,48h,30°C,E. coli LJM2,-,-,VvSTS-At4CL,yes
p51,10.1016.j.synbio.2022.03.001,LJM24,E. coli,resveratrol (resveratrol),199.56 mg/L,M9,glucose,10 g/L,"shake flask, batch",not specified,-,30°C,E. coli LJM2,fabB (CRISPRi),VvSTS-At4CL,-,OE
p51,10.1016.j.synbio.2022.03.001,LJM28,E. coli,resveratrol (resveratrol),14.87 mg/L,M9,glucose,-,"shake flask, batch",not specified,-,30°C,E. coli BAK11(DE3),-,"PcTAL, VvSTS-At4CL",-,OE KO
,,,,,,,,,,,,,,,,,
p52,10.1016.j.xplc.2020.100079,DG-Cho,yeast,cholesterol (cholesterol),16 mg/l,SD medium with 2% glucose,glucose,2%,shake flask,not specified,120 h,30°C,BY-T3,ATF2,-,"DHCR7 (from Danio rerio), DHCR24 (from Danio rerio)",KO
p52,10.1016.j.xplc.2020.100079,DG002,yeast,diosgenin (diosgenin),3.2 mg/l,SD medium with 2% glucose followed by SD medium with 2% galactose,"glucose (initial), galactose (induction)","2% (glucose), 2% (galactose)",shake flask,not specified,"120 h (glucose), 90 h (galactose)",30°C,DG-Cho,-,"DzinCYP90G6, VvCPR",DzinCYP94D144,yes
p52,10.1016.j.xplc.2020.100079,DG003,yeast,diosgenin (diosgenin),10 mg/l,SD medium with 2% glucose followed by SD medium with 2% galactose,"glucose (initial), galactose (induction)","2% (glucose), 2% (galactose)",shake flask,not specified,"120 h (glucose), 90 h (galactose)",30°C,DG-Cho,-,"DzinCYP90G6, VcCYP94N1",-,yes
,,,,,,,,,,,,,,,,,
p53,10.1016.j.ymben.2008.04.001,,Escherichia coli,Not specified (Gaussia princeps luciferase (GLuc)),,Defined,Glucose,,,Not specified,,30,E. coli A19,"DtnaA, DspeA, DtonA, DendA",,GLuc gene optimized for mammalian codon usage,strain titer
p53,10.1016.j.ymben.2008.04.001,,Escherichia coli,Not specified (Gaussia princeps luciferase (GLuc)),,Defined,Glucose,,,Not specified,,30,NMR2,"DompT, DptrC, DdegP",,GLuc gene,strain titer
p53,10.1016.j.ymben.2008.04.001,,Escherichia coli,Not specified (Gaussia princeps luciferase (GLuc)),,Defined,Glucose,,,Not specified,,30,KC6,OmpTD83A mutation,,GLuc gene,strain titer
p53,10.1016.j.ymben.2008.04.001,,Escherichia coli,Not specified (Gaussia princeps luciferase (GLuc)),,Defined,Glucose,,,Not specified,,30,KGK10,OmpTD83A mutation,,GLuc gene,strain titer
,,,,,,,,,,,,,,,,,
p54,10.1016.j.ymben.2009.08.005,TM89,Geobacillus thermoglucosidasius,ethanol (ethanol),0.24 g/g,TGP,glucose,not specified,shake flask,not specified,12.5 h,60 °C,NCIMB 11955,ldh,-,-,yes
p54,10.1016.j.ymben.2009.08.005,DL44,Geobacillus thermoglucosidasius,ethanol (ethanol),0.31-0.35 g/g,USYE,glucose,10 g/L,chemostat,7,variable (0.05-0.35 h⁻¹),66 °C,DL33,ldh,-,-,yes
p54,10.1016.j.ymben.2009.08.005,"TM180 (ldh⁻, pdh up)",Geobacillus thermoglucosidasius,ethanol (ethanol),0.37 g/g,ASYE,glucose,2%,shake flask,7.0,not specified,60 °C,TM89,ldh,pdh (inducible promoter),-,yes
p54,10.1016.j.ymben.2009.08.005,"TM236 (ldhA⁻, pflB⁻)",Geobacillus thermoglucosidasius,ethanol (ethanol),not specified,ASYE,glucose,not specified,shake flask,not specified,not specified,60 °C,TM89,"ldh, pflB",-,-,yes
p54,10.1016.j.ymben.2009.08.005,"TM242 (pdh⁻, pdh up, pfl⁻)",Geobacillus thermoglucosidasius,ethanol (ethanol),0.47 g/g*,fermenter medium,glucose,not specified,fermenter,6.7,not specified,60 °C,TM180,pflB,pdh (inducible promoter),-,yes
,,,,,,,,,,,,,,,,,
p55,10.1016.j.ymben.2013.05.005,TB3(pBPJW130/pBPJW144),Escherichia coli,6dEB (6-deoxyerythronolide B),Comparable to >1g/L,Production medium,Glycerol,15g/L,Batch,7.6,4 days,"37°C, then 22°C",TB3,,PrpE-driven pathway,"cimA3.7, LiCMS",
